scenario,week,intruding_activity,full_blocking_component,full_collision_locations,matches_official_display
A,15,A003,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,15,A040,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,15,A057,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,15,A041,A003;A007;A040;A057,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB,True
A,16,A008,A038,PLAT:BET:S17:EB;PLAT:BET:S18:EB;SEC:BET:S17_S18:EB,True
A,16,A038,A008,PLAT:BET:S17:EB;PLAT:BET:S18:EB;SEC:BET:S17_S18:EB,True
A,16,A009,A047,PLAT:ALP:S05:EB;PLAT:ALP:S06:EB;SEC:ALP:S05_S06:EB,True
A,16,A047,A009,PLAT:ALP:S05:EB;PLAT:ALP:S06:EB;SEC:ALP:H02_S05:EB;SEC:ALP:S05_S06:EB,True
A,16,A012,A064,PLAT:BET:S15:WB,True
A,16,A064,A012,PLAT:BET:S15:WB;SEC:BET:S15_S16:WB,True
A,17,A009,A054,PLAT:ALP:S05:EB,True
A,17,A054,A009,PLAT:ALP:S05:EB;SEC:ALP:H02_S05:EB,True
A,17,A046,A059,PLAT:ALP:S06:WB,True
A,17,A059,A046,PLAT:ALP:S06:WB;SEC:ALP:S06_S07:WB,True
A,18,A019,A038,PLAT:BET:S17:EB,True
A,18,A038,A007;A019;A040;A057,PLAT:BET:S17:EB,True
A,19,A043,A008,PLAT:BET:S17:EB;SEC:BET:S16_S17:EB,True
A,19,A008,A007;A017;A043;A057,PLAT:BET:S17:EB;SEC:BET:S17_S18:EB,True
A,19,A046,A056;A059,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:S05_S06:WB,True
A,19,A056,A046,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:H02_S05:WB;SEC:ALP:S05_S06:WB;SEC:ALP:S06_S07:WB,True
A,19,A059,A046,PLAT:ALP:S06:WB;SEC:ALP:S06_S07:WB,True
A,20,A002,A039,PLAT:BET:S11:WB;PLAT:BET:S12:WB;PLAT:BET:S13:WB;SEC:BET:S11_S12:WB;SEC:BET:S12_S13:WB,True
A,20,A039,A002,PLAT:BET:S11:WB;PLAT:BET:S12:WB;PLAT:BET:S13:WB;SEC:BET:S11_S12:WB;SEC:BET:S12_S13:WB;SEC:BET:S13_S14:WB,True
A,21,A001,A074,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB,True
A,21,A011,A074,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB,True
A,21,A017,A074,PLAT:BET:H01:EB;PLAT:BET:H02:EB;PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H01_H02:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,21,A057,A074,PLAT:BET:H02:EB;PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,21,A009,A074,PLAT:ALP:S05:EB;PLAT:ALP:S06:EB;SEC:ALP:S05_S06:EB,True
A,21,A013,A074,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:S05_S06:WB,True
A,21,A023,A074,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
A,23,A001,A017;A036;A042;A057,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
A,23,A017,A001,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,23,A042,A001,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB;SEC:BET:S17_S18:EB,True
A,23,A057,A001,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,24,A011,A017;A036;A042;A057,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
A,24,A017,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,24,A042,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB;SEC:BET:S17_S18:EB,True
A,24,A057,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,24,A023,A070,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
A,24,A070,A023,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB;SEC:ALP:S04_H01:WB,True
A,25,A008,A017;A036;A040;A042,PLAT:BET:S17:EB;PLAT:BET:S18:EB;SEC:BET:S17_S18:EB,True
A,25,A071,A017;A036;A040;A042,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
A,25,A017,A008;A071,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,25,A040,A008;A071,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,25,A042,A008;A071,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;PLAT:BET:S18:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB;SEC:BET:S17_S18:EB,True
A,25,A035,A070,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S02_S03:WB;SEC:ALP:S03_S04:WB,True
A,25,A070,A035,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
A,27,A023,A069,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
A,27,A069,A023,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB;SEC:ALP:S04_H01:WB,True
