activity_id,week,eclo
A001,21,0
A001,22,0
A002,1,0
A003,11,0
A003,12,0
A003,15,0
A003,16,0
A003,17,0
A003,18,0
A004,19,0
A004,22,0
A004,23,0
A006,2,0
A006,4,0
A007,15,0
A007,18,0
A007,19,0
A007,20,0
A007,21,0
A007,22,0
A007,23,0
A008,17,0
A008,18,0
A008,19,0
A008,20,0
A008,22,0
A009,3,0
A009,7,0
A009,8,0
A009,12,0
A009,13,0
A009,16,0
A009,20,0
A011,18,0
A011,19,0
A012,3,0
A012,4,0
A012,5,0
A012,10,0
A012,11,0
A012,13,0
A012,15,0
A012,17,0
A012,19,0
A013,21,0
A013,22,0
A013,23,0
A013,24,0
A013,25,0
A014,13,0
A014,14,0
A014,15,0
A014,16,0
A014,17,0
A014,18,0
A014,19,0
A014,20,0
A017,17,0
A017,18,0
A017,19,0
A017,20,0
A017,22,0
A017,23,0
A017,25,0
A017,26,0
A019,11,0
A019,12,0
A020,13,0
A020,15,0
A021,8,0
A021,14,0
A021,19,0
A023,21,0
A023,22,0
A023,23,0
A023,24,0
A023,26,0
A023,27,0
A023,28,0
A025,8,0
A025,9,0
A025,10,0
A025,12,0
A025,13,0
A025,15,0
A025,16,0
A025,18,0
A028,9,0
A028,10,0
A031,3,0
A031,4,0
A035,1,0
A035,6,0
A035,7,0
A036,22,0
A036,23,0
A036,24,0
A036,25,0
A036,26,0
A036,27,0
A036,28,0
A037,9,0
A037,10,0
A038,11,0
A038,12,0
A038,14,0
A039,8,0
A039,11,0
A039,12,0
A039,13,0
A039,14,0
A039,15,0
A039,17,0
A039,19,0
A040,13,0
A040,14,0
A040,15,0
A040,16,0
A040,17,0
A040,18,0
A040,19,0
A041,12,0
A041,13,0
A042,23,0
A042,25,0
A042,26,0
A043,13,0
A043,16,0
A046,15,0
A046,18,0
A046,19,0
A046,20,0
A046,21,0
A046,24,0
A047,13,0
A047,19,0
A048,1,0
A048,4,0
A048,6,0
A049,9,0
A049,10,0
A049,14,0
A049,16,0
A049,18,0
A050,17,0
A050,18,0
A051,26,0
A051,27,0
A054,17,0
A054,18,0
A055,16,0
A056,22,0
A056,25,0
A057,15,0
A057,16,0
A057,17,0
A057,21,0
A057,23,0
A057,24,0
A057,25,0
A058,2,0
A058,4,0
A058,6,0
A058,9,0
A058,11,0
A058,12,0
A058,13,0
A058,14,0
A059,14,0
A059,15,0
A059,16,0
A059,17,0
A059,18,0
A059,19,0
A059,20,0
A060,13,0
A060,14,0
A060,16,0
A061,5,0
A061,8,0
A061,9,0
A061,11,0
A061,12,0
A061,18,0
A061,20,0
A063,5,0
A064,16,0
A065,19,0
A066,25,0
A069,9,0
A069,15,0
A070,11,0
A070,12,0
A070,18,0
A070,20,0
A070,23,0
A071,15,0
A072,27,0
A073,27,0
A074,21,0
A075,29,0
