activity_id,week,eclo
A001,21,0
A001,22,0
A002,1,0
A003,11,0
A003,12,0
A003,13,0
A003,14,0
A003,18,0
A004,19,0
A004,21,0
A004,22,0
A004,23,0
A006,9,0
A006,14,0
A007,15,0
A007,16,0
A007,17,0
A007,18,0
A007,19,0
A007,21,0
A007,23,0
A008,17,0
A008,19,0
A008,20,0
A008,21,0
A008,22,0
A009,6,0
A009,7,0
A009,9,0
A009,12,0
A009,13,0
A009,19,0
A009,24,0
A011,15,0
A011,16,0
A012,6,0
A012,10,0
A012,11,0
A012,15,0
A012,16,0
A012,17,0
A012,20,0
A013,21,0
A013,22,0
A013,24,0
A013,25,0
A013,26,0
A014,14,0
A014,15,0
A014,16,0
A014,17,0
A014,18,0
A014,20,0
A014,22,0
A017,17,0
A017,18,0
A017,19,0
A017,20,0
A017,21,0
A017,23,0
A017,25,0
A017,26,0
A019,12,0
A019,13,0
A020,13,0
A020,14,0
A021,8,0
A021,14,0
A021,19,0
A023,21,0
A023,22,0
A023,23,0
A023,24,0
A023,25,0
A023,28,0
A023,29,0
A025,10,0
A025,12,0
A025,14,0
A025,21,0
A025,22,0
A025,24,0
A025,29,0
A028,10,0
A028,11,0
A031,6,0
A031,8,0
A035,4,0
A035,9,0
A035,17,0
A035,20,0
A035,29,0
A036,22,0
A036,23,0
A036,24,0
A036,25,0
A036,26,0
A036,28,0
A036,29,0
A037,10,0
A037,13,0
A038,16,0
A038,17,0
A038,18,0
A039,11,0
A039,12,0
A039,13,0
A039,14,0
A039,15,0
A039,17,0
A039,18,0
A039,19,0
A040,15,0
A040,17,0
A040,18,0
A040,19,0
A040,22,0
A040,23,0
A040,24,0
A040,25,0
A041,14,0
A041,16,0
A042,24,0
A042,25,0
A042,26,0
A043,17,0
A043,20,0
A046,15,0
A046,17,0
A046,18,0
A046,20,0
A046,25,0
A047,17,0
A047,19,0
A048,5,0
A048,6,0
A048,11,0
A049,13,0
A049,14,0
A049,16,0
A049,26,0
A049,28,0
A050,18,0
A050,19,0
A051,26,0
A051,27,0
A051,28,0
A054,17,0
A054,18,0
A055,16,0
A056,22,0
A056,25,0
A057,15,0
A057,16,0
A057,17,0
A057,18,0
A057,19,0
A057,23,0
A057,24,0
A058,3,0
A058,5,0
A058,6,0
A058,7,0
A058,8,0
A058,10,0
A058,12,0
A059,14,0
A059,15,0
A059,16,0
A059,17,0
A059,18,0
A059,19,0
A059,20,0
A060,13,0
A060,14,0
A060,15,0
A061,5,0
A061,7,0
A061,8,0
A061,9,0
A061,11,0
A061,14,0
A061,18,0
A063,5,0
A064,16,0
A065,19,0
A066,25,0
A069,9,0
A069,19,0
A070,12,0
A070,13,0
A070,14,0
A070,19,0
A070,20,0
A070,21,0
A071,19,0
A072,25,0
A073,26,0
A074,20,0
A075,27,0
