activity_id,week,eclo
A001,22,0
A001,23,0
A002,1,0
A003,11,0
A003,12,0
A003,13,0
A003,14,0
A003,15,0
A004,17,0
A004,18,0
A004,19,0
A006,2,0
A006,5,0
A007,16,0
A007,17,0
A007,18,0
A007,19,0
A007,20,0
A007,21,0
A007,23,0
A008,16,0
A008,17,0
A008,18,0
A008,21,0
A008,22,0
A009,4,0
A009,5,0
A009,8,0
A009,12,0
A009,19,0
A009,20,0
A009,22,0
A011,19,0
A011,24,0
A012,3,0
A012,4,0
A012,9,0
A012,12,0
A012,13,0
A012,14,0
A012,15,0
A012,17,0
A012,18,0
A013,21,0
A013,22,0
A013,23,0
A013,24,0
A013,26,0
A014,13,0
A014,14,0
A014,15,0
A014,17,0
A014,20,0
A014,21,0
A014,22,0
A017,17,0
A017,18,0
A017,19,0
A017,20,0
A017,21,0
A017,22,0
A017,23,0
A017,24,0
A019,18,0
A019,19,0
A020,17,0
A020,18,0
A021,3,0
A021,5,0
A021,9,0
A023,21,0
A023,22,0
A023,23,0
A023,24,0
A023,26,0
A023,28,0
A023,29,0
A025,8,0
A025,9,0
A025,10,0
A025,11,0
A025,13,0
A025,14,0
A025,15,0
A028,10,0
A028,11,0
A031,1,0
A031,3,0
A035,1,0
A035,2,0
A035,3,0
A036,22,0
A036,23,0
A036,24,0
A036,25,0
A036,26,0
A036,27,0
A036,28,0
A037,10,0
A037,11,0
A038,13,0
A038,14,0
A038,15,0
A039,8,0
A039,10,0
A039,11,0
A039,14,0
A039,16,0
A039,17,0
A039,23,0
A040,15,0
A040,17,0
A040,19,0
A040,20,0
A040,22,0
A040,24,0
A040,27,0
A041,11,0
A041,14,0
A042,23,0
A042,24,0
A042,25,0
A043,15,0
A043,16,0
A046,11,0
A046,12,0
A046,16,0
A046,18,0
A046,23,0
A047,13,0
A047,27,0
A048,1,0
A048,5,0
A048,7,0
A049,8,0
A049,10,0
A049,11,0
A049,14,0
A049,15,0
A050,17,0
A050,18,0
A051,26,0
A051,27,0
A054,17,0
A054,18,0
A055,16,0
A056,18,0
A056,20,0
A057,16,0
A057,17,0
A057,18,0
A057,20,0
A057,22,0
A057,23,0
A057,25,0
A058,2,0
A058,3,0
A058,4,0
A058,10,0
A058,13,0
A058,16,0
A058,18,0
A059,14,0
A059,15,0
A059,16,0
A059,17,0
A059,18,0
A059,19,0
A059,20,0
A060,14,0
A060,15,0
A060,18,0
A061,4,0
A061,6,0
A061,7,0
A061,8,0
A061,9,0
A061,11,0
A061,12,0
A063,5,0
A064,16,0
A065,19,0
A066,25,0
A069,11,0
A069,13,0
A070,13,0
A070,15,0
A070,19,0
A070,20,0
A070,21,0
A071,15,0
A072,23,0
A073,22,0
A074,19,0
A075,24,0
