activity_id,week,eclo
A001,21,0
A001,22,0
A002,1,0
A003,11,0
A003,12,0
A003,15,0
A003,16,0
A003,17,0
A004,18,0
A004,19,0
A004,20,0
A006,4,0
A006,9,0
A007,15,0
A007,17,0
A007,18,0
A007,19,0
A007,20,0
A007,21,0
A007,22,0
A008,17,0
A008,19,0
A008,20,0
A008,21,0
A008,24,0
A008,25,0
A009,3,0
A009,5,0
A009,8,0
A009,9,0
A009,11,0
A009,12,0
A009,18,0
A009,20,0
A011,21,0
A011,23,0
A012,8,0
A012,10,0
A012,12,0
A012,15,0
A012,17,0
A012,19,0
A012,20,0
A012,21,0
A013,22,0
A013,23,0
A013,24,0
A013,25,0
A013,26,0
A014,13,0
A014,15,0
A014,20,0
A014,21,0
A014,22,0
A014,23,0
A014,24,0
A014,25,0
A017,18,0
A017,20,0
A017,22,0
A017,23,0
A017,24,0
A017,25,0
A017,26,0
A019,21,0
A019,23,0
A020,15,0
A020,18,0
A021,5,0
A021,7,0
A021,10,0
A023,21,0
A023,23,0
A023,24,0
A023,25,0
A023,26,0
A023,27,0
A023,29,0
A025,14,0
A025,16,0
A025,20,0
A025,23,0
A025,25,0
A025,27,0
A025,29,0
A028,9,0
A028,10,0
A031,5,0
A031,8,0
A035,3,0
A035,4,0
A035,5,0
A036,22,1
A036,23,1
A036,24,1
A036,25,1
A036,26,0
A037,12,0
A037,14,0
A038,18,0
A038,19,0
A038,23,0
A039,11,0
A039,16,0
A039,18,0
A039,20,0
A039,21,0
A039,25,0
A039,26,0
A040,14,0
A040,18,0
A040,19,0
A040,21,0
A040,22,0
A040,23,0
A040,24,0
A040,26,0
A041,16,0
A041,18,0
A042,23,0
A042,25,0
A042,26,0
A043,14,0
A043,16,0
A046,16,0
A046,18,0
A046,21,0
A046,24,0
A046,25,0
A047,16,0
A047,17,0
A048,1,0
A048,9,0
A048,11,0
A049,13,0
A049,14,0
A049,16,0
A049,20,0
A049,24,0
A049,25,0
A050,19,0
A050,23,0
A051,26,0
A051,27,0
A054,19,0
A054,21,0
A055,16,0
A056,22,0
A056,24,0
A057,16,0
A057,17,0
A057,18,0
A057,19,0
A057,20,0
A057,21,0
A057,23,0
A057,24,0
A058,2,0
A058,6,0
A058,8,0
A058,9,0
A058,10,0
A058,12,0
A058,14,0
A058,16,0
A059,14,1
A059,15,1
A059,16,0
A059,17,0
A059,18,0
A059,19,0
A060,13,0
A060,15,0
A060,17,0
A061,4,0
A061,6,0
A061,7,0
A061,9,0
A061,10,0
A061,11,0
A061,12,0
A061,13,0
A061,14,0
A061,16,0
A061,17,0
A061,18,0
A061,19,0
A063,5,0
A064,16,0
A065,19,0
A066,25,0
A069,9,0
A069,13,0
A070,14,0
A070,17,0
A070,18,0
A070,21,0
A070,23,0
A071,15,0
A072,23,0
A073,22,0
A074,19,0
A075,28,0
