activity_id,week,eclo
A001,22,0
A001,23,0
A002,1,0
A003,11,0
A003,12,0
A003,13,0
A003,14,0
A003,16,0
A004,17,0
A004,19,0
A004,22,0
A006,2,0
A006,4,0
A007,15,0
A007,16,0
A007,17,0
A007,18,0
A007,19,0
A007,20,0
A007,21,0
A008,16,0
A008,17,0
A008,18,0
A008,19,0
A008,20,0
A008,22,0
A009,5,0
A009,7,0
A009,8,0
A009,9,0
A009,14,0
A009,16,0
A009,17,0
A011,16,0
A011,17,0
A012,2,0
A012,3,0
A012,4,0
A012,5,0
A012,6,0
A012,7,0
A012,10,0
A013,21,0
A013,22,0
A013,24,0
A013,25,0
A013,26,0
A014,14,0
A014,15,0
A014,16,0
A014,18,0
A014,19,0
A014,20,0
A014,21,0
A017,18,0
A017,19,0
A017,20,0
A017,21,0
A017,22,0
A017,24,0
A017,25,0
A019,14,0
A019,26,0
A020,14,0
A020,15,0
A021,8,0
A021,11,0
A021,17,0
A023,21,0
A023,22,0
A023,23,0
A023,24,0
A023,26,0
A023,27,0
A023,29,0
A025,8,0
A025,9,0
A025,10,0
A025,11,0
A025,12,0
A025,14,0
A025,15,0
A028,9,0
A028,10,0
A031,5,0
A031,8,0
A035,1,0
A035,2,0
A035,5,0
A036,22,0
A036,23,0
A036,24,1
A036,25,1
A036,26,0
A036,27,0
A037,11,0
A037,12,0
A038,15,0
A038,17,0
A038,18,0
A039,10,0
A039,15,0
A039,17,0
A039,18,0
A039,19,0
A039,21,0
A039,23,0
A040,14,0
A040,16,0
A040,18,0
A040,20,0
A040,21,0
A040,26,0
A040,27,0
A041,11,0
A041,15,0
A042,23,0
A042,25,0
A042,26,0
A042,27,0
A043,13,0
A043,15,0
A043,17,0
A046,10,0
A046,12,0
A046,16,0
A046,17,0
A046,21,0
A046,23,0
A046,25,0
A047,15,0
A047,16,0
A048,1,0
A048,3,0
A048,5,0
A049,8,0
A049,9,0
A049,12,0
A049,13,0
A049,14,0
A049,16,0
A050,18,0
A050,21,0
A051,26,0
A051,27,0
A054,17,0
A054,18,0
A055,16,0
A056,20,0
A056,23,0
A056,24,0
A057,15,0
A057,16,0
A057,17,0
A057,18,0
A057,19,0
A057,21,0
A057,22,0
A058,2,0
A058,3,0
A058,4,0
A058,5,0
A058,6,0
A058,7,0
A058,8,0
A059,14,0
A059,15,0
A059,16,0
A059,17,0
A059,18,1
A059,19,1
A060,14,0
A060,15,0
A060,16,0
A061,4,0
A061,5,0
A061,6,0
A061,7,0
A061,8,0
A061,9,0
A061,10,0
A063,5,0
A064,16,0
A065,19,0
A066,25,0
A069,11,0
A069,12,0
A070,11,0
A070,12,0
A070,13,0
A070,15,0
A070,16,0
A071,15,0
A072,23,0
A073,22,0
A074,19,0
A075,28,0
