activity_id,week,eclo
A001,22,0
A001,23,0
A002,1,0
A003,14,0
A003,15,0
A003,16,0
A003,17,0
A003,18,0
A004,20,0
A004,21,0
A004,22,0
A006,7,0
A006,9,0
A007,16,0
A007,17,0
A007,18,0
A007,20,0
A007,21,0
A007,22,0
A007,23,0
A008,17,0
A008,23,0
A008,24,0
A008,25,0
A008,26,0
A009,4,0
A009,5,0
A009,11,0
A009,16,0
A009,18,0
A009,20,0
A009,26,0
A011,15,0
A011,17,0
A012,3,0
A012,6,0
A012,7,0
A012,10,0
A012,16,0
A012,18,0
A012,19,0
A013,21,0
A013,23,0
A013,24,0
A013,25,0
A013,26,0
A014,14,0
A014,16,0
A014,18,0
A014,19,0
A014,21,0
A014,23,0
A014,25,0
A017,17,0
A017,18,0
A017,19,0
A017,20,0
A017,21,0
A017,23,0
A017,24,0
A017,26,0
A019,13,0
A019,15,0
A020,17,0
A020,20,0
A021,3,0
A021,13,0
A021,15,0
A021,19,0
A023,21,0
A023,22,0
A023,23,0
A023,24,0
A023,25,0
A023,26,0
A023,27,0
A025,10,0
A025,11,0
A025,13,0
A025,14,0
A025,16,0
A025,20,0
A025,22,0
A028,10,0
A028,11,0
A031,2,0
A031,3,0
A035,3,0
A035,4,0
A035,7,0
A036,22,0
A036,23,0
A036,24,0
A036,25,0
A036,26,1
A036,27,1
A037,9,0
A037,11,0
A038,17,0
A038,18,0
A038,23,0
A039,13,0
A039,14,0
A039,15,0
A039,18,0
A039,20,0
A039,22,0
A039,25,0
A040,17,0
A040,20,0
A040,21,0
A040,23,0
A040,24,0
A040,25,0
A040,27,0
A041,16,0
A041,17,0
A041,18,0
A042,23,0
A042,25,0
A042,27,0
A043,20,0
A043,27,0
A046,14,0
A046,17,0
A046,22,0
A046,24,0
A046,27,0
A047,21,0
A047,23,0
A048,1,0
A048,5,0
A048,7,0
A049,8,0
A049,12,0
A049,15,0
A049,21,0
A049,26,0
A050,22,0
A050,24,0
A051,26,0
A051,27,0
A054,21,0
A054,25,0
A055,16,0
A056,21,0
A056,22,0
A057,15,0
A057,16,0
A057,17,0
A057,20,0
A057,21,0
A057,22,0
A057,23,0
A058,6,0
A058,7,0
A058,9,0
A058,11,0
A058,13,0
A058,17,0
A058,20,0
A059,14,0
A059,15,0
A059,16,0
A059,17,0
A059,18,0
A059,19,0
A059,20,0
A060,13,0
A060,14,0
A060,15,0
A061,7,0
A061,10,0
A061,14,0
A061,16,0
A061,17,0
A061,19,0
A061,20,0
A063,5,0
A064,16,0
A065,19,0
A066,26,0
A069,13,0
A069,14,0
A070,14,0
A070,16,0
A070,17,0
A070,18,0
A070,19,0
A071,15,0
A072,26,0
A073,25,0
A074,19,0
A075,28,0
