activity_id,week,eclo
A001,22,0
A001,23,0
A002,1,0
A003,11,0
A003,12,0
A003,13,0
A003,14,0
A003,15,0
A004,16,0
A004,21,0
A004,23,0
A006,2,0
A006,4,0
A007,16,0
A007,18,0
A007,19,0
A007,20,0
A007,21,0
A007,22,0
A007,23,0
A008,16,0
A008,21,0
A008,23,0
A008,24,0
A008,25,0
A009,2,0
A009,4,0
A009,5,0
A009,10,0
A009,13,0
A009,14,0
A009,15,0
A011,15,0
A011,16,0
A012,9,0
A012,12,0
A012,13,0
A012,17,0
A012,18,0
A012,20,0
A012,21,0
A013,22,0
A013,23,0
A013,24,0
A013,25,0
A013,26,0
A014,13,0
A014,15,0
A014,18,0
A014,20,0
A014,23,0
A014,24,0
A014,25,0
A017,18,0
A017,20,0
A017,21,0
A017,22,0
A017,24,0
A017,25,0
A017,26,0
A019,15,0
A019,18,0
A020,21,0
A020,23,0
A020,26,0
A021,8,0
A021,11,0
A021,17,0
A023,21,0
A023,22,0
A023,23,0
A023,25,0
A023,26,0
A023,28,0
A023,29,0
A025,10,0
A025,12,0
A025,17,0
A025,20,0
A025,21,0
A025,22,0
A025,23,0
A028,10,0
A028,11,0
A031,9,0
A031,10,0
A035,5,0
A035,10,0
A035,16,0
A036,22,1
A036,23,1
A036,24,0
A036,25,1
A036,26,1
A037,8,0
A037,9,0
A038,11,0
A038,13,0
A038,15,0
A039,10,0
A039,15,0
A039,17,0
A039,18,0
A039,19,0
A039,21,0
A039,23,0
A040,16,0
A040,18,0
A040,20,0
A040,21,0
A040,22,0
A040,23,0
A040,24,0
A040,25,0
A040,26,0
A041,12,0
A041,15,0
A042,24,0
A042,25,0
A042,26,0
A043,19,0
A043,23,0
A046,10,0
A046,16,0
A046,17,0
A046,22,0
A046,23,0
A046,25,0
A047,16,0
A047,17,0
A048,2,0
A048,5,0
A048,7,0
A049,10,0
A049,11,0
A049,14,0
A049,15,0
A049,16,0
A050,18,0
A050,21,0
A051,26,0
A051,27,0
A054,17,0
A054,18,0
A055,16,0
A056,18,0
A056,21,0
A057,15,0
A057,17,0
A057,18,0
A057,19,0
A057,20,0
A057,22,0
A057,23,0
A058,6,0
A058,11,0
A058,12,0
A058,14,0
A058,16,0
A058,18,0
A058,19,0
A059,14,1
A059,15,0
A059,16,1
A059,17,0
A059,18,0
A059,19,0
A060,15,0
A060,16,0
A060,18,0
A061,6,0
A061,7,0
A061,8,0
A061,11,0
A061,15,0
A061,16,0
A061,19,0
A063,5,0
A064,16,0
A065,19,0
A066,25,0
A069,16,0
A069,20,0
A070,13,0
A070,17,0
A070,18,0
A070,22,0
A070,25,0
A071,15,0
A072,23,0
A073,22,0
A074,19,0
A075,27,0
