a036_weeks,a075_weeks,a036_contract_cost,a075_contract_cost,total
22 23 24 25 26 27 28,29,85.4,7.0,92.4
22 23 24 25 26 27 28,30,85.4,14.0,99.4
22 23 24 25 26 27 28,29 30,85.4,14.0,99.4
22 23 24 25 26 27 29,28,128.1,0.0,128.1
22 23 24 25 26 27 29,30,128.1,14.0,142.1
22 23 24 25 26 27 29,28 30,128.1,14.0,142.1
22 23 24 25 26 27 30,28,170.8,0.0,170.8
22 23 24 25 26 27 30,29,170.8,7.0,177.8
22 23 24 25 26 27 30,28 29,170.8,7.0,177.8
22 23 24 25 26 28 29,27,128.1,0.0,128.1
22 23 24 25 26 28 29,30,128.1,14.0,142.1
22 23 24 25 26 28 29,27 30,128.1,14.0,142.1
22 23 24 25 26 28 30,27,170.8,0.0,170.8
22 23 24 25 26 28 30,29,170.8,7.0,177.8
22 23 24 25 26 28 30,27 29,170.8,7.0,177.8
22 23 24 25 26 29 30,27,170.8,0.0,170.8
22 23 24 25 26 29 30,28,170.8,0.0,170.8
22 23 24 25 26 29 30,27 28,170.8,0.0,170.8
22 23 24 25 27 28 29,26,128.1,0.0,128.1
22 23 24 25 27 28 29,30,128.1,14.0,142.1
22 23 24 25 27 28 29,26 30,128.1,14.0,142.1
22 23 24 25 27 28 30,26,170.8,0.0,170.8
22 23 24 25 27 28 30,29,170.8,7.0,177.8
22 23 24 25 27 28 30,26 29,170.8,7.0,177.8
22 23 24 25 27 29 30,26,170.8,0.0,170.8
22 23 24 25 27 29 30,28,170.8,0.0,170.8
22 23 24 25 27 29 30,26 28,170.8,0.0,170.8
22 23 24 25 28 29 30,26,170.8,0.0,170.8
22 23 24 25 28 29 30,27,170.8,0.0,170.8
22 23 24 25 28 29 30,26 27,170.8,0.0,170.8
22 23 24 26 27 28 29,25,128.1,0.0,128.1
22 23 24 26 27 28 29,30,128.1,14.0,142.1
22 23 24 26 27 28 29,25 30,128.1,14.0,142.1
22 23 24 26 27 28 30,25,170.8,0.0,170.8
22 23 24 26 27 28 30,29,170.8,7.0,177.8
22 23 24 26 27 28 30,25 29,170.8,7.0,177.8
22 23 24 26 27 29 30,25,170.8,0.0,170.8
22 23 24 26 27 29 30,28,170.8,0.0,170.8
22 23 24 26 27 29 30,25 28,170.8,0.0,170.8
22 23 24 26 28 29 30,25,170.8,0.0,170.8
22 23 24 26 28 29 30,27,170.8,0.0,170.8
22 23 24 26 28 29 30,25 27,170.8,0.0,170.8
22 23 24 27 28 29 30,25,170.8,0.0,170.8
22 23 24 27 28 29 30,26,170.8,0.0,170.8
22 23 24 27 28 29 30,25 26,170.8,0.0,170.8
22 23 25 26 27 28 29,24,128.1,0.0,128.1
22 23 25 26 27 28 29,30,128.1,14.0,142.1
22 23 25 26 27 28 29,24 30,128.1,14.0,142.1
22 23 25 26 27 28 30,24,170.8,0.0,170.8
22 23 25 26 27 28 30,29,170.8,7.0,177.8
22 23 25 26 27 28 30,24 29,170.8,7.0,177.8
22 23 25 26 27 29 30,24,170.8,0.0,170.8
22 23 25 26 27 29 30,28,170.8,0.0,170.8
22 23 25 26 27 29 30,24 28,170.8,0.0,170.8
22 23 25 26 28 29 30,24,170.8,0.0,170.8
22 23 25 26 28 29 30,27,170.8,0.0,170.8
22 23 25 26 28 29 30,24 27,170.8,0.0,170.8
22 23 25 27 28 29 30,24,170.8,0.0,170.8
22 23 25 27 28 29 30,26,170.8,0.0,170.8
22 23 25 27 28 29 30,24 26,170.8,0.0,170.8
22 23 26 27 28 29 30,24,170.8,0.0,170.8
22 23 26 27 28 29 30,25,170.8,0.0,170.8
22 23 26 27 28 29 30,24 25,170.8,0.0,170.8
22 24 25 26 27 28 29,30,128.1,14.0,142.1
22 24 25 26 27 28 30,29,170.8,7.0,177.8
22 24 25 26 27 29 30,28,170.8,0.0,170.8
22 24 25 26 28 29 30,27,170.8,0.0,170.8
22 24 25 27 28 29 30,26,170.8,0.0,170.8
22 24 26 27 28 29 30,25,170.8,0.0,170.8
22 25 26 27 28 29 30,24,170.8,0.0,170.8
23 24 25 26 27 28 29,30,128.1,14.0,142.1
23 24 25 26 27 28 30,29,170.8,7.0,177.8
23 24 25 26 27 29 30,28,170.8,0.0,170.8
23 24 25 26 28 29 30,27,170.8,0.0,170.8
23 24 25 27 28 29 30,26,170.8,0.0,170.8
23 24 26 27 28 29 30,25,170.8,0.0,170.8
23 25 26 27 28 29 30,24,170.8,0.0,170.8
22 23 24 25 26 27 28 29,30,128.1,14.0,142.1
22 23 24 25 26 27 28 30,29,170.8,7.0,177.8
22 23 24 25 26 27 29 30,28,170.8,0.0,170.8
22 23 24 25 26 28 29 30,27,170.8,0.0,170.8
22 23 24 25 27 28 29 30,26,170.8,0.0,170.8
22 23 24 26 27 28 29 30,25,170.8,0.0,170.8
22 23 25 26 27 28 29 30,24,170.8,0.0,170.8
