activity,contract,work_units,release_week,deadline_week,minimum_standard_finish,minimum_b_eclo,activity_weight,contract_weight_per_day,footprint_locations,predecessor
A001,C001,2,21,23,22,0,1.2,7.2,5,
A002,C001,1,1,23,1,0,1.0,7.2,5,
A003,C001,5,11,23,15,0,1.3,7.2,7,
A004,C001,3,15,23,17,0,1.2,7.2,5,A003
A006,C001,2,2,23,3,0,1.2,7.2,7,
A007,C001,7,15,23,21,0,1.3,7.2,3,
A008,C002,5,16,26,20,0,1.3,60.0,3,
A009,C002,7,2,26,8,0,1.0,60.0,3,
A011,C002,2,15,26,16,0,1.2,60.0,5,
A012,C002,7,2,26,8,0,1.3,60.0,5,
A013,C002,5,21,26,25,0,1.2,60.0,3,A012
A014,C003,7,13,26,19,0,1.0,440.0,3,
A017,C003,7,17,26,23,0,1.2,440.0,7,
A019,C003,2,11,26,12,0,1.0,440.0,3,
A020,C003,2,13,26,14,0,1.2,440.0,7,
A021,C004,3,3,29,5,0,1.2,380.0,5,
A023,C004,7,21,29,27,0,1.3,380.0,3,
A025,C004,7,8,29,14,0,1.3,380.0,5,
A028,C005,2,9,11,10,0,1.2,2.2,5,
A031,C005,2,1,11,2,0,1.0,2.2,5,
A035,C006,3,1,26,3,0,1.3,6.1,5,
A036,C006,7,22,26,28,4,1.3,6.1,3,
A037,C006,2,8,26,9,0,1.3,6.1,5,
A038,C006,3,3,26,5,0,1.0,6.1,3,A037
A039,C006,7,8,26,14,0,1.2,6.1,7,
A040,C007,7,13,27,19,0,1.3,550.0,7,
A041,C007,2,11,27,12,0,1.0,550.0,3,
A042,C007,3,23,27,25,0,1.2,550.0,7,
A043,C007,2,13,27,14,0,1.0,550.0,7,
A046,C007,5,9,27,13,0,1.0,550.0,3,
A047,C008,2,13,28,14,0,1.0,5.5,5,
A048,C008,3,1,28,3,0,1.0,5.5,3,
A049,C008,5,8,28,12,0,1.2,5.5,5,A048
A050,C008,2,17,28,18,0,1.0,5.5,5,
A051,C008,2,26,28,27,0,1.3,5.5,3,A050
A054,C009,2,17,25,18,0,1.2,4.7,7,
A055,C009,1,16,25,16,0,1.3,4.7,7,
A056,C009,2,18,25,19,0,1.2,4.7,7,
A057,C009,7,15,25,21,0,1.0,4.7,5,
A058,C010,7,2,19,8,0,1.0,6.5,7,
A059,C010,7,14,19,20,2,1.0,6.5,5,
A060,C010,3,13,19,15,0,1.2,6.5,5,
A061,C010,7,4,19,10,0,1.3,6.5,5,
A063,C010,1,5,19,5,0,1.0,6.5,5,
A064,C010,1,16,19,16,0,1.0,6.5,3,
A065,C011,1,19,27,19,0,1.2,60.0,3,
A066,C011,1,25,27,25,0,1.0,60.0,7,A065
A069,C011,2,9,27,10,0,1.2,60.0,7,
A070,C011,5,11,27,15,0,1.3,60.0,5,
A071,C011,1,15,27,15,0,1.3,60.0,5,
A072,C012,1,23,27,23,0,1.2,220.0,5,
A073,C012,1,22,27,22,0,1.0,220.0,5,
A074,C013,1,19,21,19,0,1.2,12.0,3,
A075,C014,1,24,28,24,0,1.0,1.0,3,
