scenario,contract,finish_week,delay_score,eclo_rows,lower_bound_cost
A,C001,22,0.0,0,0.0
A,C001,23,0.0,0,0.0
A,C001,24,50.4,0,50.4
A,C001,25,100.8,0,100.8
A,C001,26,151.2,0,151.2
A,C001,27,201.6,0,201.6
A,C001,28,252.0,0,252.0
A,C001,29,302.4,0,302.4
A,C001,30,352.8,0,352.8
A,C002,25,0.0,0,0.0
A,C002,26,0.0,0,0.0
A,C002,27,420.0,0,420.0
A,C002,28,840.0,0,840.0
A,C002,29,1260.0,0,1260.0
A,C002,30,1680.0,0,1680.0
A,C003,23,0.0,0,0.0
A,C003,24,0.0,0,0.0
A,C003,25,0.0,0,0.0
A,C003,26,0.0,0,0.0
A,C003,27,3080.0,0,3080.0
A,C003,28,6160.0,0,6160.0
A,C003,29,9240.0,0,9240.0
A,C003,30,12320.0,0,12320.0
A,C004,27,0.0,0,0.0
A,C004,28,0.0,0,0.0
A,C004,29,0.0,0,0.0
A,C004,30,2660.0,0,2660.0
A,C005,10,0.0,0,0.0
A,C005,11,0.0,0,0.0
A,C005,12,15.4,0,15.4
A,C005,13,30.8,0,30.8
A,C005,14,46.2,0,46.2
A,C005,15,61.6,0,61.6
A,C005,16,77.0,0,77.0
A,C005,17,92.4,0,92.4
A,C005,18,107.8,0,107.8
A,C005,19,123.2,0,123.2
A,C005,20,138.6,0,138.6
A,C005,21,154.0,0,154.0
A,C005,22,169.4,0,169.4
A,C005,23,184.8,0,184.8
A,C005,24,200.2,0,200.2
A,C005,25,215.6,0,215.6
A,C005,26,231.0,0,231.0
A,C005,27,246.4,0,246.4
A,C005,28,261.8,0,261.8
A,C005,29,277.2,0,277.2
A,C005,30,292.6,0,292.6
A,C006,28,85.4,0,85.4
A,C006,29,128.1,0,128.1
A,C006,30,170.8,0,170.8
A,C007,25,0.0,0,0.0
A,C007,26,0.0,0,0.0
A,C007,27,0.0,0,0.0
A,C007,28,3850.0,0,3850.0
A,C007,29,7700.0,0,7700.0
A,C007,30,11550.0,0,11550.0
A,C008,27,0.0,0,0.0
A,C008,28,0.0,0,0.0
A,C008,29,38.5,0,38.5
A,C008,30,77.0,0,77.0
A,C009,21,0.0,0,0.0
A,C009,22,0.0,0,0.0
A,C009,23,0.0,0,0.0
A,C009,24,0.0,0,0.0
A,C009,25,0.0,0,0.0
A,C009,26,32.9,0,32.9
A,C009,27,65.8,0,65.8
A,C009,28,98.7,0,98.7
A,C009,29,131.6,0,131.6
A,C009,30,164.5,0,164.5
A,C010,20,45.5,0,45.5
A,C010,21,91.0,0,91.0
A,C010,22,136.5,0,136.5
A,C010,23,182.0,0,182.0
A,C010,24,227.5,0,227.5
A,C010,25,273.0,0,273.0
A,C010,26,318.5,0,318.5
A,C010,27,364.0,0,364.0
A,C010,28,409.5,0,409.5
A,C010,29,455.0,0,455.0
A,C010,30,500.5,0,500.5
A,C011,25,0.0,0,0.0
A,C011,26,0.0,0,0.0
A,C011,27,0.0,0,0.0
A,C011,28,420.0,0,420.0
A,C011,29,840.0,0,840.0
A,C011,30,1260.0,0,1260.0
A,C012,23,0.0,0,0.0
A,C012,24,0.0,0,0.0
A,C012,25,0.0,0,0.0
A,C012,26,0.0,0,0.0
A,C012,27,0.0,0,0.0
A,C012,28,1540.0,0,1540.0
A,C012,29,3080.0,0,3080.0
A,C012,30,4620.0,0,4620.0
A,C013,19,0.0,0,0.0
A,C013,20,0.0,0,0.0
A,C013,21,0.0,0,0.0
A,C013,22,84.0,0,84.0
A,C013,23,168.0,0,168.0
A,C013,24,252.0,0,252.0
A,C013,25,336.0,0,336.0
A,C013,26,420.0,0,420.0
A,C013,27,504.0,0,504.0
A,C013,28,588.0,0,588.0
A,C013,29,672.0,0,672.0
A,C013,30,756.0,0,756.0
A,C014,24,0.0,0,0.0
A,C014,25,0.0,0,0.0
A,C014,26,0.0,0,0.0
A,C014,27,0.0,0,0.0
A,C014,28,0.0,0,0.0
A,C014,29,7.0,0,7.0
A,C014,30,14.0,0,14.0
B,C001,22,0.0,0,0.0
B,C001,23,0.0,0,0.0
B,C002,24,0.0,2,10.0
B,C002,25,0.0,0,0.0
B,C002,26,0.0,0,0.0
B,C003,21,0.0,4,20.0
B,C003,22,0.0,2,10.0
B,C003,23,0.0,0,0.0
B,C003,24,0.0,0,0.0
B,C003,25,0.0,0,0.0
B,C003,26,0.0,0,0.0
B,C004,25,0.0,4,20.0
B,C004,26,0.0,2,10.0
B,C004,27,0.0,0,0.0
B,C004,28,0.0,0,0.0
B,C004,29,0.0,0,0.0
B,C005,10,0.0,0,0.0
B,C005,11,0.0,0,0.0
B,C006,26,0.0,4,20.0
B,C007,24,0.0,2,10.0
B,C007,25,0.0,0,0.0
B,C007,26,0.0,0,0.0
B,C007,27,0.0,0,0.0
B,C008,27,0.0,0,0.0
B,C008,28,0.0,0,0.0
B,C009,19,0.0,4,20.0
B,C009,20,0.0,2,10.0
B,C009,21,0.0,0,0.0
B,C009,22,0.0,0,0.0
B,C009,23,0.0,0,0.0
B,C009,24,0.0,0,0.0
B,C009,25,0.0,0,0.0
B,C010,18,0.0,4,20.0
B,C010,19,0.0,2,10.0
B,C011,25,0.0,0,0.0
B,C011,26,0.0,0,0.0
B,C011,27,0.0,0,0.0
B,C012,23,0.0,0,0.0
B,C012,24,0.0,0,0.0
B,C012,25,0.0,0,0.0
B,C012,26,0.0,0,0.0
B,C012,27,0.0,0,0.0
B,C013,19,0.0,0,0.0
B,C013,20,0.0,0,0.0
B,C013,21,0.0,0,0.0
B,C014,24,0.0,0,0.0
B,C014,25,0.0,0,0.0
B,C014,26,0.0,0,0.0
B,C014,27,0.0,0,0.0
B,C014,28,0.0,0,0.0
C,C001,22,0.0,0,0.0
C,C001,23,0.0,0,0.0
C,C001,24,50.4,0,50.4
C,C001,25,100.8,0,100.8
C,C001,26,151.2,0,151.2
C,C001,27,201.6,0,201.6
C,C001,28,252.0,0,252.0
C,C001,29,302.4,0,302.4
C,C001,30,352.8,0,352.8
C,C002,24,0.0,2,10.0
C,C002,25,0.0,0,0.0
C,C002,26,0.0,0,0.0
C,C002,27,420.0,0,420.0
C,C002,28,840.0,0,840.0
C,C002,29,1260.0,0,1260.0
C,C002,30,1680.0,0,1680.0
C,C003,22,0.0,2,10.0
C,C003,23,0.0,0,0.0
C,C003,24,0.0,0,0.0
C,C003,25,0.0,0,0.0
C,C003,26,0.0,0,0.0
C,C003,27,3080.0,0,3080.0
C,C003,28,6160.0,0,6160.0
