activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,g1
A001,21,PLAT:BET:S16:EB,g1
A001,21,PLAT:BET:S17:EB,g1
A001,21,SEC:BET:S15_S16:EB,g1
A001,21,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g1
A001,23,PLAT:BET:S16:EB,g2
A001,23,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g1
A002,2,PLAT:BET:S11:WB,g1
A002,2,PLAT:BET:S12:WB,g1
A002,2,PLAT:BET:S13:WB,g1
A002,2,SEC:BET:S11_S12:WB,g1
A002,2,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g1
A003,11,PLAT:BET:S16:EB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g1
A003,12,PLAT:BET:S16:EB,g1
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,13,PLAT:BET:H01:EB,g1
A003,13,PLAT:BET:H02:EB,g1
A003,13,PLAT:BET:S15:EB,g1
A003,13,PLAT:BET:S16:EB,g1
A003,13,SEC:BET:H01_H02:EB,g1
A003,13,SEC:BET:H02_S15:EB,g1
A003,13,SEC:BET:S15_S16:EB,g2
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g1
A003,14,PLAT:BET:S16:EB,g2
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g2
A003,14,SEC:BET:S15_S16:EB,g1
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g2
A003,15,PLAT:BET:S16:EB,g2
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g1
A003,15,SEC:BET:S15_S16:EB,g3
A004,16,PLAT:ALP:H01:EB,g1
A004,16,PLAT:ALP:S03:EB,g1
A004,16,PLAT:ALP:S04:EB,g1
A004,16,SEC:ALP:S03_S04:EB,g1
A004,16,SEC:ALP:S04_H01:EB,g1
A004,17,PLAT:ALP:H01:EB,g1
A004,17,PLAT:ALP:S03:EB,g1
A004,17,PLAT:ALP:S04:EB,g1
A004,17,SEC:ALP:S03_S04:EB,g1
A004,17,SEC:ALP:S04_H01:EB,g1
A004,18,PLAT:ALP:H01:EB,g1
A004,18,PLAT:ALP:S03:EB,g1
A004,18,PLAT:ALP:S04:EB,g1
A004,18,SEC:ALP:S03_S04:EB,g1
A004,18,SEC:ALP:S04_H01:EB,g1
A006,5,PLAT:ALP:H01:WB,g1
A006,5,PLAT:ALP:H02:WB,g1
A006,5,PLAT:ALP:S03:WB,g1
A006,5,PLAT:ALP:S04:WB,g1
A006,5,SEC:ALP:H01_H02:WB,g1
A006,5,SEC:ALP:S03_S04:WB,g1
A006,5,SEC:ALP:S04_H01:WB,g1
A006,6,PLAT:ALP:H01:WB,g1
A006,6,PLAT:ALP:H02:WB,g1
A006,6,PLAT:ALP:S03:WB,g1
A006,6,PLAT:ALP:S04:WB,g1
A006,6,SEC:ALP:H01_H02:WB,g1
A006,6,SEC:ALP:S03_S04:WB,g1
A006,6,SEC:ALP:S04_H01:WB,g1
A007,16,PLAT:BET:H01:EB,g1
A007,16,PLAT:BET:H02:EB,g1
A007,16,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,19,PLAT:BET:H01:EB,g1
A007,19,PLAT:BET:H02:EB,g1
A007,19,SEC:BET:H01_H02:EB,g1
A007,20,PLAT:BET:H01:EB,g1
A007,20,PLAT:BET:H02:EB,g1
A007,20,SEC:BET:H01_H02:EB,g1
A007,22,PLAT:BET:H01:EB,g1
A007,22,PLAT:BET:H02:EB,g1
A007,22,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A008,21,PLAT:BET:S17:EB,g1
A008,21,PLAT:BET:S18:EB,g1
A008,21,SEC:BET:S17_S18:EB,g1
A008,22,PLAT:BET:S17:EB,g1
A008,22,PLAT:BET:S18:EB,g1
A008,22,SEC:BET:S17_S18:EB,g1
A008,23,PLAT:BET:S17:EB,g1
A008,23,PLAT:BET:S18:EB,g1
A008,23,SEC:BET:S17_S18:EB,g1
A008,24,PLAT:BET:S17:EB,g2
A008,24,PLAT:BET:S18:EB,g1
A008,24,SEC:BET:S17_S18:EB,g1
A008,25,PLAT:BET:S17:EB,g2
A008,25,PLAT:BET:S18:EB,g2
A008,25,SEC:BET:S17_S18:EB,g1
A009,5,PLAT:ALP:S05:EB,g1
A009,5,PLAT:ALP:S06:EB,g1
A009,5,SEC:ALP:S05_S06:EB,g1
A009,6,PLAT:ALP:S05:EB,g1
A009,6,PLAT:ALP:S06:EB,g1
A009,6,SEC:ALP:S05_S06:EB,g1
A009,8,PLAT:ALP:S05:EB,g1
A009,8,PLAT:ALP:S06:EB,g1
A009,8,SEC:ALP:S05_S06:EB,g1
A009,9,PLAT:ALP:S05:EB,g1
A009,9,PLAT:ALP:S06:EB,g1
A009,9,SEC:ALP:S05_S06:EB,g1
A009,10,PLAT:ALP:S05:EB,g1
A009,10,PLAT:ALP:S06:EB,g1
A009,10,SEC:ALP:S05_S06:EB,g1
A009,11,PLAT:ALP:S05:EB,g1
A009,11,PLAT:ALP:S06:EB,g1
A009,11,SEC:ALP:S05_S06:EB,g1
A009,12,PLAT:ALP:S05:EB,g1
A009,12,PLAT:ALP:S06:EB,g1
A009,12,SEC:ALP:S05_S06:EB,g1
A011,15,PLAT:BET:S15:EB,g2
A011,15,PLAT:BET:S16:EB,g2
A011,15,PLAT:BET:S17:EB,g2
A011,15,SEC:BET:S15_S16:EB,g1
A011,15,SEC:BET:S16_S17:EB,g1
A011,21,PLAT:BET:S15:EB,g2
A011,21,PLAT:BET:S16:EB,g1
A011,21,PLAT:BET:S17:EB,g2
A011,21,SEC:BET:S15_S16:EB,g1
A011,21,SEC:BET:S16_S17:EB,g1
A012,2,PLAT:BET:H01:WB,g1
A012,2,PLAT:BET:H02:WB,g1
A012,2,PLAT:BET:S15:WB,g1
A012,2,SEC:BET:H01_H02:WB,g1
A012,2,SEC:BET:H02_S15:WB,g1
A012,4,PLAT:BET:H01:WB,g1
A012,4,PLAT:BET:H02:WB,g1
A012,4,PLAT:BET:S15:WB,g1
A012,4,SEC:BET:H01_H02:WB,g1
A012,4,SEC:BET:H02_S15:WB,g1
A012,5,PLAT:BET:H01:WB,g1
A012,5,PLAT:BET:H02:WB,g1
A012,5,PLAT:BET:S15:WB,g1
A012,5,SEC:BET:H01_H02:WB,g1
A012,5,SEC:BET:H02_S15:WB,g1
A012,7,PLAT:BET:H01:WB,g1
A012,7,PLAT:BET:H02:WB,g1
A012,7,PLAT:BET:S15:WB,g1
A012,7,SEC:BET:H01_H02:WB,g1
A012,7,SEC:BET:H02_S15:WB,g1
A012,8,PLAT:BET:H01:WB,g1
A012,8,PLAT:BET:H02:WB,g1
A012,8,PLAT:BET:S15:WB,g1
A012,8,SEC:BET:H01_H02:WB,g1
A012,8,SEC:BET:H02_S15:WB,g1
A012,9,PLAT:BET:H01:WB,g1
A012,9,PLAT:BET:H02:WB,g1
A012,9,PLAT:BET:S15:WB,g1
A012,9,SEC:BET:H01_H02:WB,g1
A012,9,SEC:BET:H02_S15:WB,g1
A012,10,PLAT:BET:H01:WB,g1
A012,10,PLAT:BET:H02:WB,g1
A012,10,PLAT:BET:S15:WB,g1
A012,10,SEC:BET:H01_H02:WB,g1
A012,10,SEC:BET:H02_S15:WB,g1
A013,22,PLAT:ALP:S05:WB,g1
A013,22,PLAT:ALP:S06:WB,g1
A013,22,SEC:ALP:S05_S06:WB,g1
A013,23,PLAT:ALP:S05:WB,g1
A013,23,PLAT:ALP:S06:WB,g1
