activity_id,week,location_id,co_share_group
BPC1,1,SEC:LCB:CB1_CB2:EB,g1
BPC1,1,PLAT:LCB:CB1:EB,g1
BPC1,1,PLAT:LCB:CB2:EB,g1
BPC1,2,SEC:LCB:CB1_CB2:EB,g1
BPC1,2,PLAT:LCB:CB1:EB,g1
BPC1,2,PLAT:LCB:CB2:EB,g1
BPC2,1,SEC:LCB:CB1_CB2:EB,g2
BPC2,1,PLAT:LCB:CB1:EB,g2
BPC2,1,PLAT:LCB:CB2:EB,g2
BPC2,2,SEC:LCB:CB1_CB2:EB,g2
BPC2,2,PLAT:LCB:CB1:EB,g2
BPC2,2,PLAT:LCB:CB2:EB,g2
BC3,1,SEC:LCB:CB1_CB2:EB,g1
BC3,1,PLAT:LCB:CB1:EB,g2
BC3,1,PLAT:LCB:CB2:EB,g1
BC3,2,SEC:LCB:CB1_CB2:EB,g1
BC3,2,PLAT:LCB:CB1:EB,g2
BC3,2,PLAT:LCB:CB2:EB,g1
