contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
KVXE01P,Held-out dense KVXE01P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
KVXE01C1,Held-out dense KVXE01C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE01C2,Held-out dense KVXE01C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE02P,Held-out dense KVXE02P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
KVXE02C1,Held-out dense KVXE02C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE02C2,Held-out dense KVXE02C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE03P,Held-out dense KVXE03P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
KVXE03C1,Held-out dense KVXE03C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE03C2,Held-out dense KVXE03C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE04P,Held-out dense KVXE04P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
KVXE04C1,Held-out dense KVXE04C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE04C2,Held-out dense KVXE04C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE05P,Held-out dense KVXE05P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
KVXE05C1,Held-out dense KVXE05C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
KVXE05C2,Held-out dense KVXE05C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
