contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
KDX01P,Dense independent DX01P,2030-06-01,DenseSynthetic,Non-live (Consist),1,2031-11-30,2031-11-02,1,PC,3
KDX01C1,Dense independent DX01C1,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX01C2,Dense independent DX01C2,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX01C3,Dense independent DX01C3,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX02P,Dense independent DX02P,2030-06-01,DenseSynthetic,Non-live (Consist),1,2031-11-30,2031-11-02,1,PC,3
KDX02C1,Dense independent DX02C1,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX02C2,Dense independent DX02C2,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX02C3,Dense independent DX02C3,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX03P,Dense independent DX03P,2030-06-01,DenseSynthetic,Non-live (Consist),1,2031-11-30,2031-11-02,1,PC,3
KDX03C1,Dense independent DX03C1,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX03C2,Dense independent DX03C2,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX03C3,Dense independent DX03C3,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX04P,Dense independent DX04P,2030-06-01,DenseSynthetic,Non-live (Consist),1,2031-11-30,2031-11-02,1,PC,3
KDX04C1,Dense independent DX04C1,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX04C2,Dense independent DX04C2,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX04C3,Dense independent DX04C3,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX05P,Dense independent DX05P,2030-06-01,DenseSynthetic,Non-live (Consist),1,2031-11-30,2031-11-02,1,PC,3
KDX05C1,Dense independent DX05C1,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX05C2,Dense independent DX05C2,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX05C3,Dense independent DX05C3,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX06P,Dense independent DX06P,2030-06-01,DenseSynthetic,Non-live (Consist),1,2031-11-30,2031-11-02,1,PC,3
KDX06C1,Dense independent DX06C1,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX06C2,Dense independent DX06C2,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX06C3,Dense independent DX06C3,2030-06-01,DenseSynthetic,Non-live (Others),1,2031-11-30,2031-11-02,1,C,3
KDX07P,Dense independent DX07P,2030-06-01,DenseSynthetic,Non-live (Consist),1,2031-11-30,2031-11-02,1,PC,3
