activity_id,week,location_id,co_share_group
DX01P,1,PLAT:LDX:NX3:EB,XB01W1
DX01P,1,PLAT:LDX:NX4:EB,XB01W1
DX01P,1,SEC:LDX:NX3_NX4:EB,XB01W1
DX01P,2,PLAT:LDX:NX3:EB,XB01W2
DX01P,2,PLAT:LDX:NX4:EB,XB01W2
DX01P,2,SEC:LDX:NX3_NX4:EB,XB01W2
DX01C1,1,PLAT:LDX:NX3:EB,XB01W1
DX01C1,1,PLAT:LDX:NX4:EB,XB01W1
DX01C1,1,SEC:LDX:NX3_NX4:EB,XB01W1
DX01C1,2,PLAT:LDX:NX3:EB,XB01W2
DX01C1,2,PLAT:LDX:NX4:EB,XB01W2
DX01C1,2,SEC:LDX:NX3_NX4:EB,XB01W2
DX01C2,1,PLAT:LDX:NX3:EB,XB01W1
DX01C2,1,PLAT:LDX:NX4:EB,XB01W1
DX01C2,1,SEC:LDX:NX3_NX4:EB,XB01W1
DX01C2,2,PLAT:LDX:NX3:EB,XB01W2
DX01C2,2,PLAT:LDX:NX4:EB,XB01W2
DX01C2,2,SEC:LDX:NX3_NX4:EB,XB01W2
DX01C3,1,PLAT:LDX:NX3:EB,XB01W1
DX01C3,1,PLAT:LDX:NX4:EB,XB01W1
DX01C3,1,SEC:LDX:NX3_NX4:EB,XB01W1
DX01C3,2,PLAT:LDX:NX3:EB,XB01W2
DX01C3,2,PLAT:LDX:NX4:EB,XB01W2
DX01C3,2,SEC:LDX:NX3_NX4:EB,XB01W2
DX02P,3,PLAT:LDX:NX3:EB,XB02W3
DX02P,3,PLAT:LDX:NX4:EB,XB02W3
DX02P,3,SEC:LDX:NX3_NX4:EB,XB02W3
DX02P,4,PLAT:LDX:NX3:EB,XB02W4
DX02P,4,PLAT:LDX:NX4:EB,XB02W4
DX02P,4,SEC:LDX:NX3_NX4:EB,XB02W4
DX02C1,3,PLAT:LDX:NX3:EB,XB02W3
DX02C1,3,PLAT:LDX:NX4:EB,XB02W3
DX02C1,3,SEC:LDX:NX3_NX4:EB,XB02W3
DX02C1,4,PLAT:LDX:NX3:EB,XB02W4
DX02C1,4,PLAT:LDX:NX4:EB,XB02W4
DX02C1,4,SEC:LDX:NX3_NX4:EB,XB02W4
DX02C2,3,PLAT:LDX:NX3:EB,XB02W3
DX02C2,3,PLAT:LDX:NX4:EB,XB02W3
DX02C2,3,SEC:LDX:NX3_NX4:EB,XB02W3
DX02C2,4,PLAT:LDX:NX3:EB,XB02W4
DX02C2,4,PLAT:LDX:NX4:EB,XB02W4
DX02C2,4,SEC:LDX:NX3_NX4:EB,XB02W4
DX02C3,3,PLAT:LDX:NX3:EB,XB02W3
DX02C3,3,PLAT:LDX:NX4:EB,XB02W3
DX02C3,3,SEC:LDX:NX3_NX4:EB,XB02W3
DX02C3,4,PLAT:LDX:NX3:EB,XB02W4
DX02C3,4,PLAT:LDX:NX4:EB,XB02W4
DX02C3,4,SEC:LDX:NX3_NX4:EB,XB02W4
DX03P,5,PLAT:LDX:NX3:EB,XB03W5
DX03P,5,PLAT:LDX:NX4:EB,XB03W5
DX03P,5,SEC:LDX:NX3_NX4:EB,XB03W5
DX03P,6,PLAT:LDX:NX3:EB,XB03W6
DX03P,6,PLAT:LDX:NX4:EB,XB03W6
DX03P,6,SEC:LDX:NX3_NX4:EB,XB03W6
DX03C1,5,PLAT:LDX:NX3:EB,XB03W5
DX03C1,5,PLAT:LDX:NX4:EB,XB03W5
DX03C1,5,SEC:LDX:NX3_NX4:EB,XB03W5
DX03C1,6,PLAT:LDX:NX3:EB,XB03W6
DX03C1,6,PLAT:LDX:NX4:EB,XB03W6
DX03C1,6,SEC:LDX:NX3_NX4:EB,XB03W6
DX03C2,5,PLAT:LDX:NX3:EB,XB03W5
DX03C2,5,PLAT:LDX:NX4:EB,XB03W5
DX03C2,5,SEC:LDX:NX3_NX4:EB,XB03W5
DX03C2,6,PLAT:LDX:NX3:EB,XB03W6
DX03C2,6,PLAT:LDX:NX4:EB,XB03W6
DX03C2,6,SEC:LDX:NX3_NX4:EB,XB03W6
DX03C3,5,PLAT:LDX:NX3:EB,XB03W5
DX03C3,5,PLAT:LDX:NX4:EB,XB03W5
DX03C3,5,SEC:LDX:NX3_NX4:EB,XB03W5
DX03C3,6,PLAT:LDX:NX3:EB,XB03W6
DX03C3,6,PLAT:LDX:NX4:EB,XB03W6
DX03C3,6,SEC:LDX:NX3_NX4:EB,XB03W6
DX04P,7,PLAT:LDX:NX3:EB,XB04W7
DX04P,7,PLAT:LDX:NX4:EB,XB04W7
DX04P,7,SEC:LDX:NX3_NX4:EB,XB04W7
DX04P,8,PLAT:LDX:NX3:EB,XB04W8
DX04P,8,PLAT:LDX:NX4:EB,XB04W8
DX04P,8,SEC:LDX:NX3_NX4:EB,XB04W8
DX04C1,7,PLAT:LDX:NX3:EB,XB04W7
DX04C1,7,PLAT:LDX:NX4:EB,XB04W7
DX04C1,7,SEC:LDX:NX3_NX4:EB,XB04W7
DX04C1,8,PLAT:LDX:NX3:EB,XB04W8
DX04C1,8,PLAT:LDX:NX4:EB,XB04W8
DX04C1,8,SEC:LDX:NX3_NX4:EB,XB04W8
DX04C2,7,PLAT:LDX:NX3:EB,XB04W7
DX04C2,7,PLAT:LDX:NX4:EB,XB04W7
DX04C2,7,SEC:LDX:NX3_NX4:EB,XB04W7
DX04C2,8,PLAT:LDX:NX3:EB,XB04W8
DX04C2,8,PLAT:LDX:NX4:EB,XB04W8
DX04C2,8,SEC:LDX:NX3_NX4:EB,XB04W8
DX04C3,7,PLAT:LDX:NX3:EB,XB04W7
DX04C3,7,PLAT:LDX:NX4:EB,XB04W7
DX04C3,7,SEC:LDX:NX3_NX4:EB,XB04W7
DX04C3,8,PLAT:LDX:NX3:EB,XB04W8
DX04C3,8,PLAT:LDX:NX4:EB,XB04W8
DX04C3,8,SEC:LDX:NX3_NX4:EB,XB04W8
DX05P,9,PLAT:LDX:NX3:EB,XB05W9
DX05P,9,PLAT:LDX:NX4:EB,XB05W9
DX05P,9,SEC:LDX:NX3_NX4:EB,XB05W9
DX05P,10,PLAT:LDX:NX3:EB,XB05W10
DX05P,10,PLAT:LDX:NX4:EB,XB05W10
DX05P,10,SEC:LDX:NX3_NX4:EB,XB05W10
DX05C1,9,PLAT:LDX:NX3:EB,XB05W9
DX05C1,9,PLAT:LDX:NX4:EB,XB05W9
DX05C1,9,SEC:LDX:NX3_NX4:EB,XB05W9
DX05C1,10,PLAT:LDX:NX3:EB,XB05W10
DX05C1,10,PLAT:LDX:NX4:EB,XB05W10
DX05C1,10,SEC:LDX:NX3_NX4:EB,XB05W10
DX05C2,9,PLAT:LDX:NX3:EB,XB05W9
DX05C2,9,PLAT:LDX:NX4:EB,XB05W9
DX05C2,9,SEC:LDX:NX3_NX4:EB,XB05W9
DX05C2,10,PLAT:LDX:NX3:EB,XB05W10
DX05C2,10,PLAT:LDX:NX4:EB,XB05W10
DX05C2,10,SEC:LDX:NX3_NX4:EB,XB05W10
DX05C3,9,PLAT:LDX:NX3:EB,XB05W9
DX05C3,9,PLAT:LDX:NX4:EB,XB05W9
DX05C3,9,SEC:LDX:NX3_NX4:EB,XB05W9
DX05C3,10,PLAT:LDX:NX3:EB,XB05W10
DX05C3,10,PLAT:LDX:NX4:EB,XB05W10
DX05C3,10,SEC:LDX:NX3_NX4:EB,XB05W10
DX06P,11,PLAT:LDX:NX3:EB,XB06W11
DX06P,11,PLAT:LDX:NX4:EB,XB06W11
DX06P,11,SEC:LDX:NX3_NX4:EB,XB06W11
DX06P,12,PLAT:LDX:NX3:EB,XB06W12
DX06P,12,PLAT:LDX:NX4:EB,XB06W12
DX06P,12,SEC:LDX:NX3_NX4:EB,XB06W12
DX06C1,11,PLAT:LDX:NX3:EB,XB06W11
DX06C1,11,PLAT:LDX:NX4:EB,XB06W11
DX06C1,11,SEC:LDX:NX3_NX4:EB,XB06W11
DX06C1,12,PLAT:LDX:NX3:EB,XB06W12
DX06C1,12,PLAT:LDX:NX4:EB,XB06W12
DX06C1,12,SEC:LDX:NX3_NX4:EB,XB06W12
DX06C2,11,PLAT:LDX:NX3:EB,XB06W11
DX06C2,11,PLAT:LDX:NX4:EB,XB06W11
DX06C2,11,SEC:LDX:NX3_NX4:EB,XB06W11
DX06C2,12,PLAT:LDX:NX3:EB,XB06W12
DX06C2,12,PLAT:LDX:NX4:EB,XB06W12
DX06C2,12,SEC:LDX:NX3_NX4:EB,XB06W12
