activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
DX01P,KDX01P,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX01C1,KDX01C1,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX01C2,KDX01C2,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX01C3,KDX01C3,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX02P,KDX02P,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX02C1,KDX02C1,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX02C2,KDX02C2,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX02C3,KDX02C3,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX03P,KDX03P,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX03C1,KDX03C1,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX03C2,KDX03C2,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX03C3,KDX03C3,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX04P,KDX04P,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
DX04C1,KDX04C1,DenseSynthetic,SEC:LDX:NX3_NX4:EB,SEC:LDX:NX3_NX4:EB,2,2031-01-06,,1
