activity_id,access_seq,week,eclo,access_night
DX01P,1,1,0,1
DX01P,2,2,0,1
DX01C1,1,1,0,1
DX01C1,2,2,0,1
DX01C2,1,1,0,1
DX01C2,2,2,0,1
DX01C3,1,1,0,1
DX01C3,2,2,0,1
DX02P,1,3,0,1
DX02P,2,4,0,1
DX02C1,1,3,0,1
DX02C1,2,4,0,1
DX02C2,1,3,0,1
DX02C2,2,4,0,1
DX02C3,1,3,0,1
DX02C3,2,4,0,1
DX03P,1,5,0,1
DX03P,2,6,0,1
DX03C1,1,5,0,1
DX03C1,2,6,0,1
DX03C2,1,5,0,1
DX03C2,2,6,0,1
DX03C3,1,5,0,1
DX03C3,2,6,0,1
DX04P,1,7,0,1
DX04P,2,8,0,1
DX04C1,1,7,0,1
DX04C1,2,8,0,1
DX04C2,1,7,0,1
DX04C2,2,8,0,1
DX04C3,1,7,0,1
DX04C3,2,8,0,1
DX05P,1,9,0,1
DX05P,2,10,0,1
DX05C1,1,9,0,1
DX05C1,2,10,0,1
DX05C2,1,9,0,1
DX05C2,2,10,0,1
DX05C3,1,9,0,1
DX05C3,2,10,0,1
DX06P,1,11,0,1
DX06P,2,12,0,1
DX06C1,1,11,0,1
DX06C1,2,12,0,1
DX06C2,1,11,0,1
DX06C2,2,12,0,1
DX06C3,1,11,0,1
DX06C3,2,12,0,1
DX07P,1,13,0,1
DX07P,2,14,0,1
DX07C1,1,13,0,1
DX07C1,2,14,0,1
DX07C2,1,13,0,1
DX07C2,2,14,0,1
DX07C3,1,13,0,1
DX07C3,2,14,0,1
DX08P,1,15,0,1
DX08P,2,16,0,1
DX08C1,1,15,0,1
DX08C1,2,16,0,1
DX08C2,1,15,0,1
DX08C2,2,16,0,1
DX08C3,1,15,0,1
DX08C3,2,16,0,1
DX09P,1,17,0,1
DX09P,2,18,0,1
DX09C1,1,17,0,1
DX09C1,2,18,0,1
DX09C2,1,17,0,1
DX09C2,2,18,0,1
DX09C3,1,17,0,1
DX09C3,2,18,0,1
DX10P,1,19,0,1
DX10P,2,20,0,1
DX10C1,1,19,0,1
DX10C1,2,20,0,1
DX10C2,1,19,0,1
DX10C2,2,20,0,1
DX10C3,1,19,0,1
DX10C3,2,20,0,1
DXLIVE,1,21,0,1
DXPM,1,23,0,1
DY01P,1,1,0,1
DY01P,2,2,0,1
DY01C1,1,1,0,1
DY01C1,2,2,0,1
DY01C2,1,1,0,1
DY01C2,2,2,0,1
DY01C3,1,1,0,1
DY01C3,2,2,0,1
DY02P,1,3,0,1
DY02P,2,4,0,1
DY02C1,1,3,0,1
DY02C1,2,4,0,1
DY02C2,1,3,0,1
DY02C2,2,4,0,1
DY02C3,1,3,0,1
DY02C3,2,4,0,1
DY03P,1,5,0,1
DY03P,2,6,0,1
DY03C1,1,5,0,1
DY03C1,2,6,0,1
DY03C2,1,5,0,1
DY03C2,2,6,0,1
DY03C3,1,5,0,1
DY03C3,2,6,0,1
DY04P,1,7,0,1
DY04P,2,8,0,1
DY04C1,1,7,0,1
DY04C1,2,8,0,1
DY04C2,1,7,0,1
DY04C2,2,8,0,1
DY04C3,1,7,0,1
DY04C3,2,8,0,1
DY05P,1,9,0,1
DY05P,2,10,0,1
DY05C1,1,9,0,1
DY05C1,2,10,0,1
DY05C2,1,9,0,1
DY05C2,2,10,0,1
DY05C3,1,9,0,1
DY05C3,2,10,0,1
DY06P,1,11,0,1
DY06P,2,12,0,1
DY06C1,1,11,0,1
DY06C1,2,12,0,1
DY06C2,1,11,0,1
DY06C2,2,12,0,1
DY06C3,1,11,0,1
DY06C3,2,12,0,1
DY07P,1,13,0,1
DY07P,2,14,0,1
DY07C1,1,13,0,1
DY07C1,2,14,0,1
DY07C2,1,13,0,1
DY07C2,2,14,0,1
DY07C3,1,13,0,1
DY07C3,2,14,0,1
DY08P,1,15,0,1
DY08P,2,16,0,1
DY08C1,1,15,0,1
DY08C1,2,16,0,1
DY08C2,1,15,0,1
DY08C2,2,16,0,1
DY08C3,1,15,0,1
DY08C3,2,16,0,1
DY09P,1,17,0,1
DY09P,2,18,0,1
DY09C1,1,17,0,1
DY09C1,2,18,0,1
DY09C2,1,17,0,1
DY09C2,2,18,0,1
DY09C3,1,17,0,1
DY09C3,2,18,0,1
DY10P,1,19,0,1
DY10P,2,20,0,1
DY10C1,1,19,0,1
DY10C1,2,20,0,1
DY10C2,1,19,0,1
DY10C2,2,20,0,1
DY10C3,1,19,0,1
DY10C3,2,20,0,1
DYLIVE,1,22,0,1
DYPM,1,23,0,1
