scenario,contract_number,simulated_completion_date,overrun_days
C,KS001,2039-11-27,2499
C,KS002,2039-11-06,2457
C,KS003,2039-10-16,2415
C,KS004,2039-09-25,2373
C,KS005,2039-09-04,2331
C,KS006,2039-08-14,2289
C,KS007,2039-07-24,2247
C,KS008,2039-07-03,2205
C,KS009,2039-06-12,2163
C,KS010,2039-05-22,2121
C,KS011,2039-05-01,2079
C,KS012,2039-04-10,2037
C,KS013,2039-03-20,1995
C,KS014,2039-02-27,1953
C,KS015,2039-02-06,1911
C,KS016,2039-01-16,1869
C,KS017,2038-12-26,1827
C,KS018,2038-12-05,1785
C,KS019,2038-11-14,1743
C,KS020,2038-10-24,1701
C,KS021,2038-10-03,1659
C,KS022,2038-09-12,1617
C,KS023,2038-08-22,1575
C,KS024,2038-08-01,1533
C,KS025,2038-07-11,1491
C,KS026,2038-06-20,1449
C,KS027,2038-05-30,1407
C,KS028,2038-05-09,1365
C,KS029,2038-04-18,1323
C,KS030,2038-03-28,1281
C,KS031,2038-03-07,1239
C,KS032,2038-02-14,1197
C,KS033,2038-01-24,1155
C,KS034,2038-01-03,1113
C,KS035,2037-12-13,1071
C,KS036,2037-11-22,1029
C,KS037,2037-11-01,987
C,KS038,2037-10-11,945
C,KS039,2037-09-20,903
C,KS040,2037-08-30,861
C,KS041,2037-08-09,819
C,KS042,2037-07-19,777
C,KS043,2037-06-28,735
C,KS044,2037-06-07,693
C,KS045,2037-05-17,651
C,KS046,2037-04-26,609
C,KS047,2037-04-05,567
C,KS048,2037-03-15,525
C,KS049,2037-02-22,483
C,KS050,2037-02-01,441
C,KS051,2037-01-11,399
C,KS052,2036-12-21,357
C,KS053,2036-11-30,315
C,KS054,2036-11-09,273
C,KS055,2036-10-19,231
C,KS056,2036-09-28,189
C,KS057,2036-09-07,147
C,KS058,2036-08-17,105
C,KS059,2036-07-27,63
C,KS060,2036-07-06,21
C,KS061,2036-06-15,0
C,KS062,2036-05-25,0
C,KS063,2036-05-04,0
C,KS064,2036-04-13,0
C,KS065,2036-03-23,0
C,KS066,2036-03-02,0
C,KS067,2036-02-10,0
C,KS068,2036-01-20,0
C,KS069,2035-12-30,0
C,KS070,2035-12-09,0
C,KS071,2035-11-18,0
C,KS072,2035-10-28,0
C,KS073,2035-10-07,0
C,KS074,2035-09-16,0
C,KS075,2035-08-26,0
C,KS076,2035-08-05,0
C,KS077,2035-07-15,0
C,KS078,2035-06-24,0
C,KS079,2035-06-03,0
C,KS080,2035-05-13,0
C,KS081,2035-04-22,0
C,KS082,2035-04-01,0
C,KS083,2035-03-11,0
C,KS084,2035-02-18,0
C,KS085,2035-01-28,0
C,KS086,2035-01-07,0
C,KS087,2034-12-17,0
C,KS088,2034-11-26,0
C,KS089,2034-11-05,0
C,KS090,2034-10-15,0
C,KS091,2034-09-24,0
C,KS092,2034-09-03,0
C,KS093,2034-08-13,0
C,KS094,2034-07-23,0
C,KS095,2034-07-02,0
C,KS096,2034-06-11,0
C,KS097,2034-05-21,0
C,KS098,2034-04-30,0
C,KS099,2034-04-09,0
C,KS100,2034-03-19,0
C,KS101,2034-02-26,0
C,KS102,2034-02-05,0
C,KS103,2034-01-15,0
C,KS104,2033-12-25,0
C,KS105,2033-12-04,0
C,KS106,2033-11-13,0
C,KS107,2033-10-23,0
C,KS108,2033-10-02,0
C,KS109,2033-09-11,0
C,KS110,2033-08-21,0
C,KS111,2033-07-31,0
C,KS112,2033-07-10,0
C,KS113,2033-06-19,0
C,KS114,2033-05-29,0
C,KS115,2033-05-08,0
C,KS116,2033-04-17,0
C,KS117,2033-03-27,0
C,KS118,2033-03-06,0
C,KS119,2033-02-13,0
C,KS120,2033-01-23,0
