activity_id,week,location_id,co_share_group
TS120,1,PLAT:LSZ:U1:EB,g1
TS120,1,PLAT:LSZ:U2:EB,g1
TS120,1,PLAT:LSZ:U3:EB,g1
TS120,1,SEC:LSZ:U1_U2:EB,g1
TS120,1,SEC:LSZ:U2_U3:EB,g1
TS120,2,PLAT:LSZ:U1:EB,g1
TS120,2,PLAT:LSZ:U2:EB,g1
TS120,2,PLAT:LSZ:U3:EB,g1
TS120,2,SEC:LSZ:U1_U2:EB,g1
TS120,2,SEC:LSZ:U2_U3:EB,g1
TS120,3,PLAT:LSZ:U1:EB,g1
TS120,3,PLAT:LSZ:U2:EB,g1
TS120,3,PLAT:LSZ:U3:EB,g1
TS120,3,SEC:LSZ:U1_U2:EB,g1
TS120,3,SEC:LSZ:U2_U3:EB,g1
TS119,4,PLAT:LSZ:U1:EB,g1
TS119,4,PLAT:LSZ:U2:EB,g1
TS119,4,PLAT:LSZ:U3:EB,g1
TS119,4,SEC:LSZ:U1_U2:EB,g1
TS119,4,SEC:LSZ:U2_U3:EB,g1
TS119,5,PLAT:LSZ:U1:EB,g1
TS119,5,PLAT:LSZ:U2:EB,g1
TS119,5,PLAT:LSZ:U3:EB,g1
TS119,5,SEC:LSZ:U1_U2:EB,g1
TS119,5,SEC:LSZ:U2_U3:EB,g1
TS119,6,PLAT:LSZ:U1:EB,g1
TS119,6,PLAT:LSZ:U2:EB,g1
TS119,6,PLAT:LSZ:U3:EB,g1
TS119,6,SEC:LSZ:U1_U2:EB,g1
TS119,6,SEC:LSZ:U2_U3:EB,g1
TS118,7,PLAT:LSZ:U1:EB,g1
TS118,7,PLAT:LSZ:U2:EB,g1
TS118,7,PLAT:LSZ:U3:EB,g1
TS118,7,SEC:LSZ:U1_U2:EB,g1
TS118,7,SEC:LSZ:U2_U3:EB,g1
TS118,8,PLAT:LSZ:U1:EB,g1
TS118,8,PLAT:LSZ:U2:EB,g1
TS118,8,PLAT:LSZ:U3:EB,g1
TS118,8,SEC:LSZ:U1_U2:EB,g1
TS118,8,SEC:LSZ:U2_U3:EB,g1
TS118,9,PLAT:LSZ:U1:EB,g1
TS118,9,PLAT:LSZ:U2:EB,g1
TS118,9,PLAT:LSZ:U3:EB,g1
TS118,9,SEC:LSZ:U1_U2:EB,g1
TS118,9,SEC:LSZ:U2_U3:EB,g1
TS117,10,PLAT:LSZ:U1:EB,g1
TS117,10,PLAT:LSZ:U2:EB,g1
TS117,10,PLAT:LSZ:U3:EB,g1
TS117,10,SEC:LSZ:U1_U2:EB,g1
TS117,10,SEC:LSZ:U2_U3:EB,g1
TS117,11,PLAT:LSZ:U1:EB,g1
TS117,11,PLAT:LSZ:U2:EB,g1
TS117,11,PLAT:LSZ:U3:EB,g1
TS117,11,SEC:LSZ:U1_U2:EB,g1
TS117,11,SEC:LSZ:U2_U3:EB,g1
TS117,12,PLAT:LSZ:U1:EB,g1
TS117,12,PLAT:LSZ:U2:EB,g1
TS117,12,PLAT:LSZ:U3:EB,g1
TS117,12,SEC:LSZ:U1_U2:EB,g1
TS117,12,SEC:LSZ:U2_U3:EB,g1
TS116,13,PLAT:LSZ:U1:EB,g1
TS116,13,PLAT:LSZ:U2:EB,g1
TS116,13,PLAT:LSZ:U3:EB,g1
TS116,13,SEC:LSZ:U1_U2:EB,g1
TS116,13,SEC:LSZ:U2_U3:EB,g1
TS116,14,PLAT:LSZ:U1:EB,g1
TS116,14,PLAT:LSZ:U2:EB,g1
TS116,14,PLAT:LSZ:U3:EB,g1
TS116,14,SEC:LSZ:U1_U2:EB,g1
TS116,14,SEC:LSZ:U2_U3:EB,g1
TS116,15,PLAT:LSZ:U1:EB,g1
TS116,15,PLAT:LSZ:U2:EB,g1
TS116,15,PLAT:LSZ:U3:EB,g1
TS116,15,SEC:LSZ:U1_U2:EB,g1
TS116,15,SEC:LSZ:U2_U3:EB,g1
TS115,16,PLAT:LSZ:U1:EB,g1
TS115,16,PLAT:LSZ:U2:EB,g1
TS115,16,PLAT:LSZ:U3:EB,g1
TS115,16,SEC:LSZ:U1_U2:EB,g1
TS115,16,SEC:LSZ:U2_U3:EB,g1
TS115,17,PLAT:LSZ:U1:EB,g1
TS115,17,PLAT:LSZ:U2:EB,g1
TS115,17,PLAT:LSZ:U3:EB,g1
TS115,17,SEC:LSZ:U1_U2:EB,g1
TS115,17,SEC:LSZ:U2_U3:EB,g1
TS115,18,PLAT:LSZ:U1:EB,g1
TS115,18,PLAT:LSZ:U2:EB,g1
TS115,18,PLAT:LSZ:U3:EB,g1
TS115,18,SEC:LSZ:U1_U2:EB,g1
TS115,18,SEC:LSZ:U2_U3:EB,g1
TS114,19,PLAT:LSZ:U1:EB,g1
TS114,19,PLAT:LSZ:U2:EB,g1
TS114,19,PLAT:LSZ:U3:EB,g1
TS114,19,SEC:LSZ:U1_U2:EB,g1
TS114,19,SEC:LSZ:U2_U3:EB,g1
TS114,20,PLAT:LSZ:U1:EB,g1
TS114,20,PLAT:LSZ:U2:EB,g1
TS114,20,PLAT:LSZ:U3:EB,g1
TS114,20,SEC:LSZ:U1_U2:EB,g1
TS114,20,SEC:LSZ:U2_U3:EB,g1
TS114,21,PLAT:LSZ:U1:EB,g1
