activity_id,week,location_id,co_share_group
TS001,1,PLAT:LSZ:U1:EB,g1
TS001,1,PLAT:LSZ:U2:EB,g1
TS001,1,PLAT:LSZ:U3:EB,g1
TS001,1,SEC:LSZ:U1_U2:EB,g1
TS001,1,SEC:LSZ:U2_U3:EB,g1
TS001,2,PLAT:LSZ:U1:EB,g1
TS001,2,PLAT:LSZ:U2:EB,g1
TS001,2,PLAT:LSZ:U3:EB,g1
TS001,2,SEC:LSZ:U1_U2:EB,g1
TS001,2,SEC:LSZ:U2_U3:EB,g1
TS001,3,PLAT:LSZ:U1:EB,g1
TS001,3,PLAT:LSZ:U2:EB,g1
TS001,3,PLAT:LSZ:U3:EB,g1
TS001,3,SEC:LSZ:U1_U2:EB,g1
TS001,3,SEC:LSZ:U2_U3:EB,g1
TS002,4,PLAT:LSZ:U1:EB,g1
TS002,4,PLAT:LSZ:U2:EB,g1
TS002,4,PLAT:LSZ:U3:EB,g1
TS002,4,SEC:LSZ:U1_U2:EB,g1
TS002,4,SEC:LSZ:U2_U3:EB,g1
TS002,5,PLAT:LSZ:U1:EB,g1
TS002,5,PLAT:LSZ:U2:EB,g1
TS002,5,PLAT:LSZ:U3:EB,g1
TS002,5,SEC:LSZ:U1_U2:EB,g1
TS002,5,SEC:LSZ:U2_U3:EB,g1
TS002,6,PLAT:LSZ:U1:EB,g1
TS002,6,PLAT:LSZ:U2:EB,g1
TS002,6,PLAT:LSZ:U3:EB,g1
TS002,6,SEC:LSZ:U1_U2:EB,g1
TS002,6,SEC:LSZ:U2_U3:EB,g1
TS003,7,PLAT:LSZ:U1:EB,g1
TS003,7,PLAT:LSZ:U2:EB,g1
TS003,7,PLAT:LSZ:U3:EB,g1
TS003,7,SEC:LSZ:U1_U2:EB,g1
TS003,7,SEC:LSZ:U2_U3:EB,g1
TS003,8,PLAT:LSZ:U1:EB,g1
TS003,8,PLAT:LSZ:U2:EB,g1
TS003,8,PLAT:LSZ:U3:EB,g1
TS003,8,SEC:LSZ:U1_U2:EB,g1
TS003,8,SEC:LSZ:U2_U3:EB,g1
TS003,9,PLAT:LSZ:U1:EB,g1
TS003,9,PLAT:LSZ:U2:EB,g1
TS003,9,PLAT:LSZ:U3:EB,g1
TS003,9,SEC:LSZ:U1_U2:EB,g1
