activity_id,week,location_id,co_share_group
TC11,1,PLAT:LCZ:V1:EB,g1
TC11,1,PLAT:LCZ:V2:EB,g1
TC11,1,PLAT:LCZ:V3:EB,g1
TC11,1,SEC:LCZ:V1_V2:EB,g1
TC11,1,SEC:LCZ:V2_V3:EB,g1
TC11,2,PLAT:LCZ:V1:EB,g1
TC11,2,PLAT:LCZ:V2:EB,g1
TC11,2,PLAT:LCZ:V3:EB,g1
TC11,2,SEC:LCZ:V1_V2:EB,g1
TC11,2,SEC:LCZ:V2_V3:EB,g1
TC11,3,PLAT:LCZ:V1:EB,g1
TC11,3,PLAT:LCZ:V2:EB,g1
TC11,3,PLAT:LCZ:V3:EB,g1
TC11,3,SEC:LCZ:V1_V2:EB,g1
TC11,3,SEC:LCZ:V2_V3:EB,g1
TC21,4,PLAT:LCZ:V1:EB,g1
TC21,4,PLAT:LCZ:V2:EB,g1
TC21,4,PLAT:LCZ:V3:EB,g1
TC21,4,SEC:LCZ:V1_V2:EB,g1
TC21,4,SEC:LCZ:V2_V3:EB,g1
TC21,5,PLAT:LCZ:V1:EB,g1
TC21,5,PLAT:LCZ:V2:EB,g1
TC21,5,PLAT:LCZ:V3:EB,g1
TC21,5,SEC:LCZ:V1_V2:EB,g1
TC21,5,SEC:LCZ:V2_V3:EB,g1
TC21,6,PLAT:LCZ:V1:EB,g1
TC21,6,PLAT:LCZ:V2:EB,g1
TC21,6,PLAT:LCZ:V3:EB,g1
TC21,6,SEC:LCZ:V1_V2:EB,g1
TC21,6,SEC:LCZ:V2_V3:EB,g1
TC31,7,PLAT:LCZ:V1:EB,g1
TC31,7,PLAT:LCZ:V2:EB,g1
TC31,7,PLAT:LCZ:V3:EB,g1
TC31,7,SEC:LCZ:V1_V2:EB,g1
TC31,7,SEC:LCZ:V2_V3:EB,g1
TC31,8,PLAT:LCZ:V1:EB,g1
TC31,8,PLAT:LCZ:V2:EB,g1
TC31,8,PLAT:LCZ:V3:EB,g1
TC31,8,SEC:LCZ:V1_V2:EB,g1
TC31,8,SEC:LCZ:V2_V3:EB,g1
TC31,9,PLAT:LCZ:V1:EB,g1
TC31,9,PLAT:LCZ:V2:EB,g1
TC31,9,PLAT:LCZ:V3:EB,g1
TC31,9,SEC:LCZ:V1_V2:EB,g1
TC31,9,SEC:LCZ:V2_V3:EB,g1
TC32,10,PLAT:LCZ:V1:EB,g1
TC32,10,PLAT:LCZ:V2:EB,g1
TC32,10,PLAT:LCZ:V3:EB,g1
TC32,10,SEC:LCZ:V1_V2:EB,g1
TC32,10,SEC:LCZ:V2_V3:EB,g1
TC32,11,PLAT:LCZ:V1:EB,g1
TC32,11,PLAT:LCZ:V2:EB,g1
TC32,11,PLAT:LCZ:V3:EB,g1
TC32,11,SEC:LCZ:V1_V2:EB,g1
TC32,11,SEC:LCZ:V2_V3:EB,g1
TC32,12,PLAT:LCZ:V1:EB,g1
TC32,12,PLAT:LCZ:V2:EB,g1
TC32,12,PLAT:LCZ:V3:EB,g1
TC32,12,SEC:LCZ:V1_V2:EB,g1
TC32,12,SEC:LCZ:V2_V3:EB,g1
TC22,13,PLAT:LCZ:V1:EB,g1
TC22,13,PLAT:LCZ:V2:EB,g1
TC22,13,PLAT:LCZ:V3:EB,g1
TC22,13,SEC:LCZ:V1_V2:EB,g1
TC22,13,SEC:LCZ:V2_V3:EB,g1
TC22,14,PLAT:LCZ:V1:EB,g1
TC22,14,PLAT:LCZ:V2:EB,g1
TC22,14,PLAT:LCZ:V3:EB,g1
TC22,14,SEC:LCZ:V1_V2:EB,g1
TC22,14,SEC:LCZ:V2_V3:EB,g1
TC22,15,PLAT:LCZ:V1:EB,g1
TC22,15,PLAT:LCZ:V2:EB,g1
TC22,15,PLAT:LCZ:V3:EB,g1
TC22,15,SEC:LCZ:V1_V2:EB,g1
TC22,15,SEC:LCZ:V2_V3:EB,g1
TC12,16,PLAT:LCZ:V1:EB,g1
TC12,16,PLAT:LCZ:V2:EB,g1
TC12,16,PLAT:LCZ:V3:EB,g1
TC12,16,SEC:LCZ:V1_V2:EB,g1
TC12,16,SEC:LCZ:V2_V3:EB,g1
TC12,17,PLAT:LCZ:V1:EB,g1
TC12,17,PLAT:LCZ:V2:EB,g1
TC12,17,PLAT:LCZ:V3:EB,g1
TC12,17,SEC:LCZ:V1_V2:EB,g1
TC12,17,SEC:LCZ:V2_V3:EB,g1
TC12,18,PLAT:LCZ:V1:EB,g1
TC12,18,PLAT:LCZ:V2:EB,g1
TC12,18,PLAT:LCZ:V3:EB,g1
TC12,18,SEC:LCZ:V1_V2:EB,g1
TC12,18,SEC:LCZ:V2_V3:EB,g1
