activity_id,week,location_id,co_share_group
MX1,1,PLAT:MPX:MPX1:EB,g1
MX1,1,PLAT:MPX:MPX2:EB,g1
MX1,1,SEC:MPX:MPX1_MPX2:EB,g1
MX1,2,PLAT:MPX:MPX1:EB,g1
MX1,2,PLAT:MPX:MPX2:EB,g1
MX1,2,SEC:MPX:MPX1_MPX2:EB,g1
MX1,3,PLAT:MPX:MPX1:EB,g1
MX1,3,PLAT:MPX:MPX2:EB,g1
MX1,3,SEC:MPX:MPX1_MPX2:EB,g1
MX1,4,PLAT:MPX:MPX1:EB,g1
MX1,4,PLAT:MPX:MPX2:EB,g1
MX1,4,SEC:MPX:MPX1_MPX2:EB,g1
MX2,5,PLAT:MPX:MPX1:EB,g1
MX2,5,PLAT:MPX:MPX2:EB,g1
MX2,5,SEC:MPX:MPX1_MPX2:EB,g1
MX2,6,PLAT:MPX:MPX1:EB,g1
MX2,6,PLAT:MPX:MPX2:EB,g1
MX2,6,SEC:MPX:MPX1_MPX2:EB,g1
MX2,7,PLAT:MPX:MPX1:EB,g1
MX2,7,PLAT:MPX:MPX2:EB,g1
MX2,7,SEC:MPX:MPX1_MPX2:EB,g1
MX2,8,PLAT:MPX:MPX1:EB,g1
MX2,8,PLAT:MPX:MPX2:EB,g1
MX2,8,SEC:MPX:MPX1_MPX2:EB,g1
MY1,9,PLAT:MPY:MPY1:EB,g1
MY1,9,PLAT:MPY:MPY2:EB,g1
MY1,9,SEC:MPY:MPY1_MPY2:EB,g1
MY1,10,PLAT:MPY:MPY1:EB,g1
MY1,10,PLAT:MPY:MPY2:EB,g1
MY1,10,SEC:MPY:MPY1_MPY2:EB,g1
MY1,11,PLAT:MPY:MPY1:EB,g1
MY1,11,PLAT:MPY:MPY2:EB,g1
MY1,11,SEC:MPY:MPY1_MPY2:EB,g1
MY1,12,PLAT:MPY:MPY1:EB,g1
MY1,12,PLAT:MPY:MPY2:EB,g1
MY1,12,SEC:MPY:MPY1_MPY2:EB,g1
MY2,13,PLAT:MPY:MPY1:EB,g1
MY2,13,PLAT:MPY:MPY2:EB,g1
MY2,13,SEC:MPY:MPY1_MPY2:EB,g1
MY2,14,PLAT:MPY:MPY1:EB,g1
MY2,14,PLAT:MPY:MPY2:EB,g1
MY2,14,SEC:MPY:MPY1_MPY2:EB,g1
MY2,15,PLAT:MPY:MPY1:EB,g1
MY2,15,PLAT:MPY:MPY2:EB,g1
MY2,15,SEC:MPY:MPY1_MPY2:EB,g1
MY2,16,PLAT:MPY:MPY1:EB,g1
MY2,16,PLAT:MPY:MPY2:EB,g1
MY2,16,SEC:MPY:MPY1_MPY2:EB,g1
