activity_id,week,location_id,co_share_group
DIRECT,3,PLAT:LNX:N3:EB,DIRECT_W03
DIRECT,3,PLAT:LNX:X2:EB,DIRECT_W03
DIRECT,3,SEC:LNX:X2_N3:EB,DIRECT_W03
DIRECT,4,PLAT:LNX:N3:EB,DIRECT_W04
DIRECT,4,PLAT:LNX:X2:EB,DIRECT_W04
DIRECT,4,SEC:LNX:X2_N3:EB,DIRECT_W04
COMP,2,PLAT:LNX:N3:EB,COMP_W02
COMP,2,PLAT:LNX:X2:EB,COMP_W02
COMP,2,SEC:LNX:X2_N3:EB,COMP_W02
FOLLOW,3,PLAT:LNY:S3:WB,FOLLOW_W03
FOLLOW,3,PLAT:LNY:S4:WB,FOLLOW_W03
FOLLOW,3,PLAT:LNY:X2:WB,FOLLOW_W03
FOLLOW,3,SEC:LNY:S3_S4:WB,FOLLOW_W03
FOLLOW,3,SEC:LNY:X2_S3:WB,FOLLOW_W03
