activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
ICBIC23,ICBKIC23,IrregularCoupled,SEC:ICBLIB:ICBI2_ICBI3:EB,SEC:ICBLIB:ICBI3_ICBI4:EB,3,2040-01-02,,3
CAPGPC6,CAPKGPC6,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
SYNQ001,SYNK101,Synthetic,SEC:SYNLNX:SYNX2_SYNN3:EB,SEC:SYNLNX:SYNX2_SYNN3:EB,3,2040-01-02,,3
PCPPREPEER,PCPKPREPEER,PostPrecedenceContractTradeoff,SEC:PCPLNY:PCPX2_PCPS3:WB,SEC:PCPLNY:PCPS3_PCPS4:WB,1,2040-01-02,,1
CBDBC6,CBDKBC6,CoupledDeadline,SEC:CBDLCB:CBDCB1_CBDCB2:EB,SEC:CBDLCB:CBDCB1_CBDCB2:EB,3,2040-01-02,,3
CBDBC7,CBDKBC7,CoupledDeadline,SEC:CBDLCB:CBDCB1_CBDCB2:EB,SEC:CBDLCB:CBDCB1_CBDCB2:EB,3,2040-01-02,,3
ICBIPM6,ICBKIPM6,IrregularCoupled,SEC:ICBLIB:ICBI6_ICBI7:EB,SEC:ICBLIB:ICBI6_ICBI7:EB,3,2040-01-16,,3
CAPGC12,CAPKGC12,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
SYNQ003,SYNK103,Synthetic,SEC:SYNLNX:SYNX1_SYNX2:EB,SEC:SYNLNX:SYNX1_SYNX2:EB,1,2040-02-06,,1
SYNQ009,SYNK108,Synthetic,SEC:SYNLNX:SYNN3_SYNN4:WB,SEC:SYNLNX:SYNN3_SYNN4:WB,2,2040-01-23,,2
CAPGPC1,CAPKGPC1,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
SYNQ006,SYNK105,Synthetic,SEC:SYNLNY:SYNX1_SYNX2:EB,SEC:SYNLNY:SYNX1_SYNX2:EB,2,2040-03-05,,2
CAPGPC5,CAPKGPC5,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
ICBIC12,ICBKIC12,IrregularCoupled,SEC:ICBLIB:ICBI1_ICBI2:EB,SEC:ICBLIB:ICBI2_ICBI3:EB,3,2040-01-02,,3
CAPGPC3,CAPKGPC3,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
CAPGC45,CAPKGC45,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
SYNQ002,SYNK102,Synthetic,SEC:SYNLNX:SYNN3_SYNN4:WB,SEC:SYNLNX:SYNN3_SYNN4:WB,2,2040-01-23,,2
SYNQ004,SYNK104,Synthetic,SEC:SYNLNY:SYNX2_SYNS3:WB,SEC:SYNLNY:SYNS3_SYNS4:WB,2,2040-02-13,,2
PCPCOMP,PCPKCOMP,PostPrecedenceContractTradeoff,SEC:PCPLNX:PCPX2_PCPN3:EB,SEC:PCPLNX:PCPX2_PCPN3:EB,1,2040-01-09,,1
ICBIPC3,ICBKIPC3,IrregularCoupled,SEC:ICBLIB:ICBI3_ICBI4:EB,SEC:ICBLIB:ICBI3_ICBI4:EB,3,2040-01-02,,3
CAPGPC4,CAPKGPC4,BudgetCap,SEC:CAPLBG:CAPG1_CAPG2:EB,SEC:CAPLBG:CAPG1_CAPG2:EB,1,2040-01-02,,3
