activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
Z516,K540,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z535,K506,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z504,K508,IrregularCoupled,SEC:L02:N019_N009:EB,SEC:L02:N009_N015:EB,3,2040-01-02,,3
Z522,K522,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z519,K532,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z533,K529,PostPrecedenceContractTradeoff,SEC:L03:N011_N003:EB,SEC:L03:N011_N003:EB,1,2040-01-02,Z515,1
Z538,K536,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z502,K509,Synthetic,SEC:L01:N004_N010:WB,SEC:L01:N004_N010:WB,1,2040-02-27,Z501,1
Z507,K516,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z525,K505,CoupledDeadline,SEC:L05:N012_N005:EB,SEC:L05:N012_N005:EB,3,2040-01-02,,3
Z514,K539,IrregularCoupled,SEC:L02:N014_N017:EB,SEC:L02:N014_N017:EB,3,2040-01-02,,3
Z517,K537,PostPrecedenceContractTradeoff,SEC:L07:N007_N001:EB,SEC:L07:N007_N001:EB,3,2040-01-09,,1
Z505,K511,PostPrecedenceContractTradeoff,SEC:L07:N007_N001:EB,SEC:L07:N007_N001:EB,1,2040-01-09,,1
Z520,K527,IrregularCoupled,SEC:L02:N009_N015:EB,SEC:L02:N015_N014:EB,3,2040-01-02,,3
Z513,K531,CoupledDeadline,SEC:L05:N012_N005:EB,SEC:L05:N012_N005:EB,3,2040-01-02,,3
Z503,K530,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z534,K501,Synthetic,SEC:L01:N004_N010:EB,SEC:L01:N004_N010:EB,1,2040-04-02,,1
Z527,K520,Synthetic,SEC:L06:N022_N018:WB,SEC:L06:N022_N018:WB,2,2040-01-23,,2
Z529,K517,IrregularCoupled,SEC:L02:N023_N020:EB,SEC:L02:N023_N020:EB,3,2040-01-16,,3
Z521,K518,CoupledDeadline,SEC:L05:N012_N005:EB,SEC:L05:N012_N005:EB,3,2040-01-02,,3
Z536,K526,Synthetic,SEC:L06:N022_N018:WB,SEC:L06:N022_N018:WB,2,2040-01-23,,2
Z515,K519,PostPrecedenceContractTradeoff,SEC:L03:N007_N011:WB,SEC:L03:N011_N003:WB,1,2040-01-02,,1
Z541,K524,Synthetic,SEC:L06:N008_N022:EB,SEC:L06:N008_N022:EB,3,2040-01-02,,3
Z501,K509,Synthetic,SEC:L01:N008_N004:WB,SEC:L01:N004_N010:WB,2,2040-02-13,,2
Z509,K535,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z510,K533,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z523,K510,IrregularCoupled,SEC:L02:N015_N014:EB,SEC:L02:N014_N017:EB,3,2040-01-02,,3
Z532,K525,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z506,K528,CoupledDeadline,SEC:L05:N012_N005:EB,SEC:L05:N012_N005:EB,3,2040-01-02,,3
Z542,K515,CoupledDeadline,SEC:L05:N012_N005:EB,SEC:L05:N012_N005:EB,3,2040-01-02,,3
Z524,K513,IrregularCoupled,SEC:L02:N009_N015:EB,SEC:L02:N009_N015:EB,3,2040-01-02,,3
Z539,K534,CoupledDeadline,SEC:L05:N012_N005:EB,SEC:L05:N012_N005:EB,3,2040-01-02,,3
Z508,K503,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z531,K529,PostPrecedenceContractTradeoff,SEC:L03:N007_N011:WB,SEC:L03:N011_N003:WB,1,2040-01-02,Z505,1
Z540,K514,Synthetic,SEC:L06:N008_N022:WB,SEC:L06:N022_N018:WB,2,2040-03-19,,3
Z512,K523,Synthetic,SEC:L06:N016_N008:EB,SEC:L06:N016_N008:EB,1,2040-02-06,,1
Z528,K512,IrregularCoupled,SEC:L02:N019_N009:EB,SEC:L02:N019_N009:EB,3,2040-01-02,,3
Z518,K521,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
Z526,K502,Synthetic,SEC:L01:N016_N008:EB,SEC:L01:N016_N008:EB,2,2040-03-05,,2
Z537,K507,CoupledDeadline,SEC:L05:N012_N005:EB,SEC:L05:N012_N005:EB,3,2040-01-02,,3
Z530,K538,IrregularCoupled,SEC:L02:N015_N014:EB,SEC:L02:N015_N014:EB,3,2040-01-02,,3
Z511,K504,BudgetCap,SEC:L04:N013_N021:EB,SEC:L04:N013_N021:EB,1,2040-01-02,,3
