activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
IRRIPC3,IRRKIPC3,IrregularCoupled,SEC:IRRLIB:IRRI3_IRRI4:EB,SEC:IRRLIB:IRRI3_IRRI4:EB,3,2040-01-02,,3
IRRIPC1,IRRKIPC1,IrregularCoupled,SEC:IRRLIB:IRRI1_IRRI2:EB,SEC:IRRLIB:IRRI1_IRRI2:EB,3,2040-01-02,,3
MPAMX2,MPAKMX2,Synthetic,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,3,2040-01-02,,1
AGGTC12,AGGKC1,Synthetic,SEC:AGGLCZ:AGGV1_AGGV2:EB,SEC:AGGLCZ:AGGV2_AGGV3:EB,3,2040-01-02,,3
AGGTC22,AGGKC2,Synthetic,SEC:AGGLCZ:AGGV1_AGGV2:EB,SEC:AGGLCZ:AGGV2_AGGV3:EB,3,2040-01-02,,1
AGGTC31,AGGKC3,Synthetic,SEC:AGGLCZ:AGGV1_AGGV2:EB,SEC:AGGLCZ:AGGV2_AGGV3:EB,3,2040-01-02,,3
PCPFOLLOW,PCPKCHAIN,PostPrecedenceContractTradeoff,SEC:PCPLNY:PCPX2_PCPS3:WB,SEC:PCPLNY:PCPS3_PCPS4:WB,1,2040-01-02,PCPCOMP,1
PCPPEER,PCPKCHAIN,PostPrecedenceContractTradeoff,SEC:PCPLNY:PCPS3_PCPS4:EB,SEC:PCPLNY:PCPS3_PCPS4:EB,1,2040-01-02,PCPPREPEER,1
PCPCOMP,PCPKCOMP,PostPrecedenceContractTradeoff,SEC:PCPLNX:PCPX2_PCPN3:EB,SEC:PCPLNX:PCPX2_PCPN3:EB,1,2040-01-09,,1
AGGTC32,AGGKC3,Synthetic,SEC:AGGLCZ:AGGV1_AGGV2:EB,SEC:AGGLCZ:AGGV2_AGGV3:EB,3,2040-01-02,,2
IRRIPM6,IRRKIPM6,IrregularCoupled,SEC:IRRLIB:IRRI6_IRRI7:EB,SEC:IRRLIB:IRRI6_IRRI7:EB,3,2040-01-16,,3
IRRIPC2,IRRKIPC2,IrregularCoupled,SEC:IRRLIB:IRRI2_IRRI3:EB,SEC:IRRLIB:IRRI2_IRRI3:EB,3,2040-01-02,,3
FPDDIRECT,FPDKDIRECT,FootprintDependencyTradeoff,SEC:FPDLNX:FPDX2_FPDN3:EB,SEC:FPDLNX:FPDX2_FPDN3:EB,3,2040-01-09,,1
IRRIC23,IRRKIC23,IrregularCoupled,SEC:IRRLIB:IRRI2_IRRI3:EB,SEC:IRRLIB:IRRI3_IRRI4:EB,3,2040-01-02,,3
IRRIC34,IRRKIC34,IrregularCoupled,SEC:IRRLIB:IRRI3_IRRI4:EB,SEC:IRRLIB:IRRI4_IRRI5:EB,3,2040-01-02,,3
MPAMX1,MPAKMX1,Synthetic,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,SEC:MPAMPX:MPAMPX1_MPAMPX2:EB,3,2040-01-02,,1
PCPDIRECT,PCPKDIRECT,PostPrecedenceContractTradeoff,SEC:PCPLNX:PCPX2_PCPN3:EB,SEC:PCPLNX:PCPX2_PCPN3:EB,3,2040-01-09,,1
MPAMY2,MPAKMY2,Synthetic,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,3,2040-01-02,,1
AGGTC11,AGGKC1,Synthetic,SEC:AGGLCZ:AGGV1_AGGV2:EB,SEC:AGGLCZ:AGGV2_AGGV3:EB,3,2040-01-02,,1
MPAMY1,MPAKMY1,Synthetic,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,SEC:MPAMPY:MPAMPY1_MPAMPY2:EB,3,2040-01-02,,1
AGGTC21,AGGKC2,Synthetic,SEC:AGGLCZ:AGGV1_AGGV2:EB,SEC:AGGLCZ:AGGV2_AGGV3:EB,3,2040-01-02,,2
PCPPREPEER,PCPKPREPEER,PostPrecedenceContractTradeoff,SEC:PCPLNY:PCPX2_PCPS3:WB,SEC:PCPLNY:PCPS3_PCPS4:WB,1,2040-01-02,,1
PRDPRED,PRDKPRE,PredecessorTradeoff,SEC:PRDLNX:PRDX2_PRDN3:EB,SEC:PRDLNX:PRDX2_PRDN3:EB,1,2040-01-02,,1
FPDFOLLOW,FPDKFOLLOW,FootprintDependencyTradeoff,SEC:FPDLNY:FPDX2_FPDS3:WB,SEC:FPDLNY:FPDS3_FPDS4:WB,1,2040-01-02,FPDCOMP,1
PRDSUCC,PRDKLATE,PredecessorTradeoff,SEC:PRDLNY:PRDX2_PRDS3:WB,SEC:PRDLNY:PRDS3_PRDS4:WB,1,2040-01-02,PRDPRED,3
IRRIPC4,IRRKIPC4,IrregularCoupled,SEC:IRRLIB:IRRI4_IRRI5:EB,SEC:IRRLIB:IRRI4_IRRI5:EB,3,2040-01-02,,3
FPDCOMP,FPDKCOMP,FootprintDependencyTradeoff,SEC:FPDLNX:FPDX2_FPDN3:EB,SEC:FPDLNX:FPDX2_FPDN3:EB,1,2040-01-09,,1
IRRIC12,IRRKIC12,IrregularCoupled,SEC:IRRLIB:IRRI1_IRRI2:EB,SEC:IRRLIB:IRRI2_IRRI3:EB,3,2040-01-02,,3
