contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
KS001,Serial scale job 1,2032-06-01,Synthetic,Non-live (Others),1,2033-01-23,2033-01-23,1,PM,1
KS002,Serial scale job 2,2032-06-01,Synthetic,Non-live (Others),2,2033-02-13,2033-02-13,1,PM,1
KS003,Serial scale job 3,2032-06-01,Synthetic,Non-live (Others),3,2033-03-06,2033-03-06,1,PM,1
KS004,Serial scale job 4,2032-06-01,Synthetic,Non-live (Others),1,2033-03-27,2033-03-27,1,PM,1
KS005,Serial scale job 5,2032-06-01,Synthetic,Non-live (Others),2,2033-04-17,2033-04-17,1,PM,1
KS006,Serial scale job 6,2032-06-01,Synthetic,Non-live (Others),3,2033-05-08,2033-05-08,1,PM,1
KS007,Serial scale job 7,2032-06-01,Synthetic,Non-live (Others),1,2033-05-29,2033-05-29,1,PM,1
KS008,Serial scale job 8,2032-06-01,Synthetic,Non-live (Others),2,2033-06-19,2033-06-19,1,PM,1
KS009,Serial scale job 9,2032-06-01,Synthetic,Non-live (Others),3,2033-07-10,2033-07-10,1,PM,1
KS010,Serial scale job 10,2032-06-01,Synthetic,Non-live (Others),1,2033-07-31,2033-07-31,1,PM,1
KS011,Serial scale job 11,2032-06-01,Synthetic,Non-live (Others),2,2033-08-21,2033-08-21,1,PM,1
KS012,Serial scale job 12,2032-06-01,Synthetic,Non-live (Others),3,2033-09-11,2033-09-11,1,PM,1
KS013,Serial scale job 13,2032-06-01,Synthetic,Non-live (Others),1,2033-10-02,2033-10-02,1,PM,1
KS014,Serial scale job 14,2032-06-01,Synthetic,Non-live (Others),2,2033-10-23,2033-10-23,1,PM,1
KS015,Serial scale job 15,2032-06-01,Synthetic,Non-live (Others),3,2033-11-13,2033-11-13,1,PM,1
KS016,Serial scale job 16,2032-06-01,Synthetic,Non-live (Others),1,2033-12-04,2033-12-04,1,PM,1
KS017,Serial scale job 17,2032-06-01,Synthetic,Non-live (Others),2,2033-12-25,2033-12-25,1,PM,1
KS018,Serial scale job 18,2032-06-01,Synthetic,Non-live (Others),3,2034-01-15,2034-01-15,1,PM,1
KS019,Serial scale job 19,2032-06-01,Synthetic,Non-live (Others),1,2034-02-05,2034-02-05,1,PM,1
KS020,Serial scale job 20,2032-06-01,Synthetic,Non-live (Others),2,2034-02-26,2034-02-26,1,PM,1
KS021,Serial scale job 21,2032-06-01,Synthetic,Non-live (Others),3,2034-03-19,2034-03-19,1,PM,1
KS022,Serial scale job 22,2032-06-01,Synthetic,Non-live (Others),1,2034-04-09,2034-04-09,1,PM,1
KS023,Serial scale job 23,2032-06-01,Synthetic,Non-live (Others),2,2034-04-30,2034-04-30,1,PM,1
KS024,Serial scale job 24,2032-06-01,Synthetic,Non-live (Others),3,2034-05-21,2034-05-21,1,PM,1
KS025,Serial scale job 25,2032-06-01,Synthetic,Non-live (Others),1,2034-06-11,2034-06-11,1,PM,1
KS026,Serial scale job 26,2032-06-01,Synthetic,Non-live (Others),2,2034-07-02,2034-07-02,1,PM,1
KS027,Serial scale job 27,2032-06-01,Synthetic,Non-live (Others),3,2034-07-23,2034-07-23,1,PM,1
KS028,Serial scale job 28,2032-06-01,Synthetic,Non-live (Others),1,2034-08-13,2034-08-13,1,PM,1
KS029,Serial scale job 29,2032-06-01,Synthetic,Non-live (Others),2,2034-09-03,2034-09-03,1,PM,1
KS030,Serial scale job 30,2032-06-01,Synthetic,Non-live (Others),3,2034-09-24,2034-09-24,1,PM,1
KS031,Serial scale job 31,2032-06-01,Synthetic,Non-live (Others),1,2034-10-15,2034-10-15,1,PM,1
KS032,Serial scale job 32,2032-06-01,Synthetic,Non-live (Others),2,2034-11-05,2034-11-05,1,PM,1
KS033,Serial scale job 33,2032-06-01,Synthetic,Non-live (Others),3,2034-11-26,2034-11-26,1,PM,1
KS034,Serial scale job 34,2032-06-01,Synthetic,Non-live (Others),1,2034-12-17,2034-12-17,1,PM,1
KS035,Serial scale job 35,2032-06-01,Synthetic,Non-live (Others),2,2035-01-07,2035-01-07,1,PM,1
KS036,Serial scale job 36,2032-06-01,Synthetic,Non-live (Others),3,2035-01-28,2035-01-28,1,PM,1
KS037,Serial scale job 37,2032-06-01,Synthetic,Non-live (Others),1,2035-02-18,2035-02-18,1,PM,1
KS038,Serial scale job 38,2032-06-01,Synthetic,Non-live (Others),2,2035-03-11,2035-03-11,1,PM,1
KS039,Serial scale job 39,2032-06-01,Synthetic,Non-live (Others),3,2035-04-01,2035-04-01,1,PM,1
KS040,Serial scale job 40,2032-06-01,Synthetic,Non-live (Others),1,2035-04-22,2035-04-22,1,PM,1
KS041,Serial scale job 41,2032-06-01,Synthetic,Non-live (Others),2,2035-05-13,2035-05-13,1,PM,1
KS042,Serial scale job 42,2032-06-01,Synthetic,Non-live (Others),3,2035-06-03,2035-06-03,1,PM,1
KS043,Serial scale job 43,2032-06-01,Synthetic,Non-live (Others),1,2035-06-24,2035-06-24,1,PM,1
KS044,Serial scale job 44,2032-06-01,Synthetic,Non-live (Others),2,2035-07-15,2035-07-15,1,PM,1
KS045,Serial scale job 45,2032-06-01,Synthetic,Non-live (Others),3,2035-08-05,2035-08-05,1,PM,1
KS046,Serial scale job 46,2032-06-01,Synthetic,Non-live (Others),1,2035-08-26,2035-08-26,1,PM,1
KS047,Serial scale job 47,2032-06-01,Synthetic,Non-live (Others),2,2035-09-16,2035-09-16,1,PM,1
KS048,Serial scale job 48,2032-06-01,Synthetic,Non-live (Others),3,2035-10-07,2035-10-07,1,PM,1
KS049,Serial scale job 49,2032-06-01,Synthetic,Non-live (Others),1,2035-10-28,2035-10-28,1,PM,1
KS050,Serial scale job 50,2032-06-01,Synthetic,Non-live (Others),2,2035-11-18,2035-11-18,1,PM,1
KS051,Serial scale job 51,2032-06-01,Synthetic,Non-live (Others),3,2035-12-09,2035-12-09,1,PM,1
KS052,Serial scale job 52,2032-06-01,Synthetic,Non-live (Others),1,2035-12-30,2035-12-30,1,PM,1
KS053,Serial scale job 53,2032-06-01,Synthetic,Non-live (Others),2,2036-01-20,2036-01-20,1,PM,1
KS054,Serial scale job 54,2032-06-01,Synthetic,Non-live (Others),3,2036-02-10,2036-02-10,1,PM,1
KS055,Serial scale job 55,2032-06-01,Synthetic,Non-live (Others),1,2036-03-02,2036-03-02,1,PM,1
KS056,Serial scale job 56,2032-06-01,Synthetic,Non-live (Others),2,2036-03-23,2036-03-23,1,PM,1
KS057,Serial scale job 57,2032-06-01,Synthetic,Non-live (Others),3,2036-04-13,2036-04-13,1,PM,1
KS058,Serial scale job 58,2032-06-01,Synthetic,Non-live (Others),1,2036-05-04,2036-05-04,1,PM,1
KS059,Serial scale job 59,2032-06-01,Synthetic,Non-live (Others),2,2036-05-25,2036-05-25,1,PM,1
KS060,Serial scale job 60,2032-06-01,Synthetic,Non-live (Others),3,2036-06-15,2036-06-15,1,PM,1
