scenario,contract_number,simulated_completion_date,overrun_days
C,KS001,2037-08-02,1652
C,KS002,2037-07-05,1603
C,KS003,2037-06-07,1554
C,KS004,2037-05-10,1505
C,KS005,2037-04-12,1456
C,KS006,2037-03-15,1407
C,KS007,2037-02-15,1358
C,KS008,2037-01-18,1309
C,KS009,2036-12-21,1260
C,KS010,2036-11-23,1211
C,KS011,2036-10-26,1162
C,KS012,2036-09-28,1113
C,KS013,2036-08-31,1064
C,KS014,2036-08-03,1015
C,KS015,2036-07-06,966
C,KS016,2036-06-08,917
C,KS017,2036-05-11,868
C,KS018,2036-04-13,819
C,KS019,2036-03-16,770
C,KS020,2036-02-17,721
C,KS021,2036-01-20,672
C,KS022,2035-12-23,623
C,KS023,2035-11-25,574
C,KS024,2035-10-28,525
C,KS025,2035-09-30,476
C,KS026,2035-09-02,427
C,KS027,2035-08-05,378
C,KS028,2035-07-08,329
C,KS029,2035-06-10,280
C,KS030,2035-05-13,231
C,KS031,2035-04-15,182
C,KS032,2035-03-18,133
C,KS033,2035-02-18,84
C,KS034,2035-01-21,35
C,KS035,2034-12-24,0
C,KS036,2034-11-26,0
C,KS037,2034-10-29,0
C,KS038,2034-10-01,0
C,KS039,2034-09-03,0
C,KS040,2034-08-06,0
C,KS041,2034-07-09,0
C,KS042,2034-06-11,0
C,KS043,2034-05-14,0
C,KS044,2034-04-16,0
C,KS045,2034-03-19,0
C,KS046,2034-02-19,0
C,KS047,2034-01-22,0
C,KS048,2033-12-25,0
C,KS049,2033-11-27,0
C,KS050,2033-10-30,0
C,KS051,2033-10-02,0
C,KS052,2033-09-04,0
C,KS053,2033-08-07,0
C,KS054,2033-07-10,0
C,KS055,2033-06-12,0
C,KS056,2033-05-15,0
C,KS057,2033-04-17,0
C,KS058,2033-03-20,0
C,KS059,2033-02-20,0
C,KS060,2033-01-23,0
