activity_id,access_seq,week,eclo,access_night
TS060,1,1,0,1
TS060,2,2,0,1
TS060,3,3,0,1
TS059,1,5,0,1
TS059,2,6,0,1
TS059,3,7,0,1
TS058,1,9,0,1
TS058,2,10,0,1
TS058,3,11,0,1
TS057,1,13,0,1
TS057,2,14,0,1
TS057,3,15,0,1
TS056,1,17,0,1
TS056,2,18,0,1
TS056,3,19,0,1
TS055,1,21,0,1
TS055,2,22,0,1
TS055,3,23,0,1
TS054,1,25,0,1
TS054,2,26,0,1
TS054,3,27,0,1
TS053,1,29,0,1
TS053,2,30,0,1
TS053,3,31,0,1
TS052,1,33,0,1
TS052,2,34,0,1
TS052,3,35,0,1
TS051,1,37,0,1
TS051,2,38,0,1
TS051,3,39,0,1
TS050,1,41,0,1
TS050,2,42,0,1
TS050,3,43,0,1
TS049,1,45,0,1
TS049,2,46,0,1
TS049,3,47,0,1
TS048,1,49,0,1
TS048,2,50,0,1
TS048,3,51,0,1
TS047,1,53,0,1
TS047,2,54,0,1
TS047,3,55,0,1
TS046,1,57,0,1
TS046,2,58,0,1
TS046,3,59,0,1
TS045,1,61,0,1
TS045,2,62,0,1
TS045,3,63,0,1
TS044,1,65,0,1
TS044,2,66,0,1
TS044,3,67,0,1
TS043,1,69,0,1
TS043,2,70,0,1
TS043,3,71,0,1
TS042,1,73,0,1
TS042,2,74,0,1
TS042,3,75,0,1
TS041,1,77,0,1
TS041,2,78,0,1
TS041,3,79,0,1
TS040,1,81,0,1
TS040,2,82,0,1
TS040,3,83,0,1
TS039,1,85,0,1
TS039,2,86,0,1
TS039,3,87,0,1
TS038,1,89,0,1
TS038,2,90,0,1
TS038,3,91,0,1
TS037,1,93,0,1
TS037,2,94,0,1
TS037,3,95,0,1
TS036,1,97,0,1
TS036,2,98,0,1
TS036,3,99,0,1
TS035,1,101,0,1
TS035,2,102,0,1
TS035,3,103,0,1
TS034,1,105,0,1
TS034,2,106,0,1
TS034,3,107,0,1
TS033,1,109,0,1
TS033,2,110,0,1
TS033,3,111,0,1
TS032,1,113,0,1
TS032,2,114,0,1
TS032,3,115,0,1
TS031,1,117,0,1
TS031,2,118,0,1
TS031,3,119,0,1
TS030,1,121,0,1
TS030,2,122,0,1
TS030,3,123,0,1
TS029,1,125,0,1
TS029,2,126,0,1
TS029,3,127,0,1
TS028,1,129,0,1
TS028,2,130,0,1
TS028,3,131,0,1
TS027,1,133,0,1
TS027,2,134,0,1
TS027,3,135,0,1
TS026,1,137,0,1
TS026,2,138,0,1
TS026,3,139,0,1
TS025,1,141,0,1
TS025,2,142,0,1
TS025,3,143,0,1
TS024,1,145,0,1
TS024,2,146,0,1
TS024,3,147,0,1
TS023,1,149,0,1
TS023,2,150,0,1
TS023,3,151,0,1
TS022,1,153,0,1
TS022,2,154,0,1
TS022,3,155,0,1
TS021,1,157,0,1
TS021,2,158,0,1
TS021,3,159,0,1
TS020,1,161,0,1
TS020,2,162,0,1
TS020,3,163,0,1
TS019,1,165,0,1
TS019,2,166,0,1
TS019,3,167,0,1
TS018,1,169,0,1
TS018,2,170,0,1
TS018,3,171,0,1
TS017,1,173,0,1
TS017,2,174,0,1
TS017,3,175,0,1
TS016,1,177,0,1
TS016,2,178,0,1
TS016,3,179,0,1
TS015,1,181,0,1
TS015,2,182,0,1
TS015,3,183,0,1
TS014,1,185,0,1
TS014,2,186,0,1
TS014,3,187,0,1
TS013,1,189,0,1
TS013,2,190,0,1
TS013,3,191,0,1
TS012,1,193,0,1
TS012,2,194,0,1
TS012,3,195,0,1
TS011,1,197,0,1
TS011,2,198,0,1
TS011,3,199,0,1
TS010,1,201,0,1
TS010,2,202,0,1
TS010,3,203,0,1
TS009,1,205,0,1
TS009,2,206,0,1
TS009,3,207,0,1
TS008,1,209,0,1
TS008,2,210,0,1
TS008,3,211,0,1
TS007,1,213,0,1
TS007,2,214,0,1
TS007,3,215,0,1
TS006,1,217,0,1
TS006,2,218,0,1
TS006,3,219,0,1
TS005,1,221,0,1
TS005,2,222,0,1
TS005,3,223,0,1
TS004,1,225,0,1
TS004,2,226,0,1
TS004,3,227,0,1
TS003,1,229,0,1
TS003,2,230,0,1
TS003,3,231,0,1
TS002,1,233,0,1
TS002,2,234,0,1
TS002,3,235,0,1
TS001,1,237,0,1
TS001,2,238,0,1
TS001,3,239,0,1
