activity_id,week,location_id,co_share_group
TS060,1,PLAT:LSZ:U1:EB,g1
TS060,1,PLAT:LSZ:U2:EB,g1
TS060,1,PLAT:LSZ:U3:EB,g1
TS060,1,SEC:LSZ:U1_U2:EB,g1
TS060,1,SEC:LSZ:U2_U3:EB,g1
TS060,2,PLAT:LSZ:U1:EB,g1
TS060,2,PLAT:LSZ:U2:EB,g1
TS060,2,PLAT:LSZ:U3:EB,g1
TS060,2,SEC:LSZ:U1_U2:EB,g1
TS060,2,SEC:LSZ:U2_U3:EB,g1
TS060,3,PLAT:LSZ:U1:EB,g1
TS060,3,PLAT:LSZ:U2:EB,g1
TS060,3,PLAT:LSZ:U3:EB,g1
TS060,3,SEC:LSZ:U1_U2:EB,g1
TS060,3,SEC:LSZ:U2_U3:EB,g1
TS059,5,PLAT:LSZ:U1:EB,g1
TS059,5,PLAT:LSZ:U2:EB,g1
TS059,5,PLAT:LSZ:U3:EB,g1
TS059,5,SEC:LSZ:U1_U2:EB,g1
TS059,5,SEC:LSZ:U2_U3:EB,g1
TS059,6,PLAT:LSZ:U1:EB,g1
TS059,6,PLAT:LSZ:U2:EB,g1
TS059,6,PLAT:LSZ:U3:EB,g1
TS059,6,SEC:LSZ:U1_U2:EB,g1
TS059,6,SEC:LSZ:U2_U3:EB,g1
TS059,7,PLAT:LSZ:U1:EB,g1
TS059,7,PLAT:LSZ:U2:EB,g1
TS059,7,PLAT:LSZ:U3:EB,g1
TS059,7,SEC:LSZ:U1_U2:EB,g1
TS059,7,SEC:LSZ:U2_U3:EB,g1
TS058,9,PLAT:LSZ:U1:EB,g1
TS058,9,PLAT:LSZ:U2:EB,g1
TS058,9,PLAT:LSZ:U3:EB,g1
TS058,9,SEC:LSZ:U1_U2:EB,g1
TS058,9,SEC:LSZ:U2_U3:EB,g1
TS058,10,PLAT:LSZ:U1:EB,g1
TS058,10,PLAT:LSZ:U2:EB,g1
TS058,10,PLAT:LSZ:U3:EB,g1
TS058,10,SEC:LSZ:U1_U2:EB,g1
TS058,10,SEC:LSZ:U2_U3:EB,g1
TS058,11,PLAT:LSZ:U1:EB,g1
TS058,11,PLAT:LSZ:U2:EB,g1
TS058,11,PLAT:LSZ:U3:EB,g1
TS058,11,SEC:LSZ:U1_U2:EB,g1
TS058,11,SEC:LSZ:U2_U3:EB,g1
TS057,13,PLAT:LSZ:U1:EB,g1
TS057,13,PLAT:LSZ:U2:EB,g1
TS057,13,PLAT:LSZ:U3:EB,g1
TS057,13,SEC:LSZ:U1_U2:EB,g1
TS057,13,SEC:LSZ:U2_U3:EB,g1
TS057,14,PLAT:LSZ:U1:EB,g1
TS057,14,PLAT:LSZ:U2:EB,g1
TS057,14,PLAT:LSZ:U3:EB,g1
TS057,14,SEC:LSZ:U1_U2:EB,g1
TS057,14,SEC:LSZ:U2_U3:EB,g1
TS057,15,PLAT:LSZ:U1:EB,g1
TS057,15,PLAT:LSZ:U2:EB,g1
TS057,15,PLAT:LSZ:U3:EB,g1
TS057,15,SEC:LSZ:U1_U2:EB,g1
TS057,15,SEC:LSZ:U2_U3:EB,g1
TS056,17,PLAT:LSZ:U1:EB,g1
TS056,17,PLAT:LSZ:U2:EB,g1
TS056,17,PLAT:LSZ:U3:EB,g1
TS056,17,SEC:LSZ:U1_U2:EB,g1
TS056,17,SEC:LSZ:U2_U3:EB,g1
TS056,18,PLAT:LSZ:U1:EB,g1
TS056,18,PLAT:LSZ:U2:EB,g1
TS056,18,PLAT:LSZ:U3:EB,g1
TS056,18,SEC:LSZ:U1_U2:EB,g1
TS056,18,SEC:LSZ:U2_U3:EB,g1
TS056,19,PLAT:LSZ:U1:EB,g1
TS056,19,PLAT:LSZ:U2:EB,g1
TS056,19,PLAT:LSZ:U3:EB,g1
TS056,19,SEC:LSZ:U1_U2:EB,g1
TS056,19,SEC:LSZ:U2_U3:EB,g1
TS055,21,PLAT:LSZ:U1:EB,g1
TS055,21,PLAT:LSZ:U2:EB,g1
TS055,21,PLAT:LSZ:U3:EB,g1
TS055,21,SEC:LSZ:U1_U2:EB,g1
TS055,21,SEC:LSZ:U2_U3:EB,g1
TS055,22,PLAT:LSZ:U1:EB,g1
TS055,22,PLAT:LSZ:U2:EB,g1
TS055,22,PLAT:LSZ:U3:EB,g1
TS055,22,SEC:LSZ:U1_U2:EB,g1
TS055,22,SEC:LSZ:U2_U3:EB,g1
TS055,23,PLAT:LSZ:U1:EB,g1
TS055,23,PLAT:LSZ:U2:EB,g1
TS055,23,PLAT:LSZ:U3:EB,g1
TS055,23,SEC:LSZ:U1_U2:EB,g1
TS055,23,SEC:LSZ:U2_U3:EB,g1
TS054,25,PLAT:LSZ:U1:EB,g1
TS054,25,PLAT:LSZ:U2:EB,g1
TS054,25,PLAT:LSZ:U3:EB,g1
TS054,25,SEC:LSZ:U1_U2:EB,g1
TS054,25,SEC:LSZ:U2_U3:EB,g1
TS054,26,PLAT:LSZ:U1:EB,g1
TS054,26,PLAT:LSZ:U2:EB,g1
TS054,26,PLAT:LSZ:U3:EB,g1
TS054,26,SEC:LSZ:U1_U2:EB,g1
TS054,26,SEC:LSZ:U2_U3:EB,g1
TS054,27,PLAT:LSZ:U1:EB,g1
TS054,27,PLAT:LSZ:U2:EB,g1
TS054,27,PLAT:LSZ:U3:EB,g1
TS054,27,SEC:LSZ:U1_U2:EB,g1
TS054,27,SEC:LSZ:U2_U3:EB,g1
TS053,29,PLAT:LSZ:U1:EB,g1
TS053,29,PLAT:LSZ:U2:EB,g1
TS053,29,PLAT:LSZ:U3:EB,g1
TS053,29,SEC:LSZ:U1_U2:EB,g1
TS053,29,SEC:LSZ:U2_U3:EB,g1
TS053,30,PLAT:LSZ:U1:EB,g1
TS053,30,PLAT:LSZ:U2:EB,g1
TS053,30,PLAT:LSZ:U3:EB,g1
TS053,30,SEC:LSZ:U1_U2:EB,g1
TS053,30,SEC:LSZ:U2_U3:EB,g1
TS053,31,PLAT:LSZ:U1:EB,g1
TS053,31,PLAT:LSZ:U2:EB,g1
TS053,31,PLAT:LSZ:U3:EB,g1
TS053,31,SEC:LSZ:U1_U2:EB,g1
TS053,31,SEC:LSZ:U2_U3:EB,g1
TS052,33,PLAT:LSZ:U1:EB,g1
TS052,33,PLAT:LSZ:U2:EB,g1
TS052,33,PLAT:LSZ:U3:EB,g1
TS052,33,SEC:LSZ:U1_U2:EB,g1
TS052,33,SEC:LSZ:U2_U3:EB,g1
TS052,34,PLAT:LSZ:U1:EB,g1
TS052,34,PLAT:LSZ:U2:EB,g1
TS052,34,PLAT:LSZ:U3:EB,g1
TS052,34,SEC:LSZ:U1_U2:EB,g1
TS052,34,SEC:LSZ:U2_U3:EB,g1
TS052,35,PLAT:LSZ:U1:EB,g1
TS052,35,PLAT:LSZ:U2:EB,g1
TS052,35,PLAT:LSZ:U3:EB,g1
TS052,35,SEC:LSZ:U1_U2:EB,g1
TS052,35,SEC:LSZ:U2_U3:EB,g1
TS051,37,PLAT:LSZ:U1:EB,g1
TS051,37,PLAT:LSZ:U2:EB,g1
TS051,37,PLAT:LSZ:U3:EB,g1
TS051,37,SEC:LSZ:U1_U2:EB,g1
TS051,37,SEC:LSZ:U2_U3:EB,g1
TS051,38,PLAT:LSZ:U1:EB,g1
TS051,38,PLAT:LSZ:U2:EB,g1
TS051,38,PLAT:LSZ:U3:EB,g1
TS051,38,SEC:LSZ:U1_U2:EB,g1
TS051,38,SEC:LSZ:U2_U3:EB,g1
TS051,39,PLAT:LSZ:U1:EB,g1
TS051,39,PLAT:LSZ:U2:EB,g1
TS051,39,PLAT:LSZ:U3:EB,g1
TS051,39,SEC:LSZ:U1_U2:EB,g1
TS051,39,SEC:LSZ:U2_U3:EB,g1
TS050,41,PLAT:LSZ:U1:EB,g1
TS050,41,PLAT:LSZ:U2:EB,g1
TS050,41,PLAT:LSZ:U3:EB,g1
TS050,41,SEC:LSZ:U1_U2:EB,g1
TS050,41,SEC:LSZ:U2_U3:EB,g1
TS050,42,PLAT:LSZ:U1:EB,g1
TS050,42,PLAT:LSZ:U2:EB,g1
TS050,42,PLAT:LSZ:U3:EB,g1
TS050,42,SEC:LSZ:U1_U2:EB,g1
TS050,42,SEC:LSZ:U2_U3:EB,g1
TS050,43,PLAT:LSZ:U1:EB,g1
TS050,43,PLAT:LSZ:U2:EB,g1
TS050,43,PLAT:LSZ:U3:EB,g1
TS050,43,SEC:LSZ:U1_U2:EB,g1
TS050,43,SEC:LSZ:U2_U3:EB,g1
TS049,45,PLAT:LSZ:U1:EB,g1
TS049,45,PLAT:LSZ:U2:EB,g1
TS049,45,PLAT:LSZ:U3:EB,g1
TS049,45,SEC:LSZ:U1_U2:EB,g1
TS049,45,SEC:LSZ:U2_U3:EB,g1
TS049,46,PLAT:LSZ:U1:EB,g1
TS049,46,PLAT:LSZ:U2:EB,g1
TS049,46,PLAT:LSZ:U3:EB,g1
TS049,46,SEC:LSZ:U1_U2:EB,g1
TS049,46,SEC:LSZ:U2_U3:EB,g1
TS049,47,PLAT:LSZ:U1:EB,g1
TS049,47,PLAT:LSZ:U2:EB,g1
TS049,47,PLAT:LSZ:U3:EB,g1
TS049,47,SEC:LSZ:U1_U2:EB,g1
TS049,47,SEC:LSZ:U2_U3:EB,g1
TS048,49,PLAT:LSZ:U1:EB,g1
TS048,49,PLAT:LSZ:U2:EB,g1
TS048,49,PLAT:LSZ:U3:EB,g1
TS048,49,SEC:LSZ:U1_U2:EB,g1
TS048,49,SEC:LSZ:U2_U3:EB,g1
TS048,50,PLAT:LSZ:U1:EB,g1
TS048,50,PLAT:LSZ:U2:EB,g1
TS048,50,PLAT:LSZ:U3:EB,g1
TS048,50,SEC:LSZ:U1_U2:EB,g1
TS048,50,SEC:LSZ:U2_U3:EB,g1
TS048,51,PLAT:LSZ:U1:EB,g1
TS048,51,PLAT:LSZ:U2:EB,g1
TS048,51,PLAT:LSZ:U3:EB,g1
TS048,51,SEC:LSZ:U1_U2:EB,g1
TS048,51,SEC:LSZ:U2_U3:EB,g1
TS047,53,PLAT:LSZ:U1:EB,g1
TS047,53,PLAT:LSZ:U2:EB,g1
TS047,53,PLAT:LSZ:U3:EB,g1
TS047,53,SEC:LSZ:U1_U2:EB,g1
TS047,53,SEC:LSZ:U2_U3:EB,g1
TS047,54,PLAT:LSZ:U1:EB,g1
TS047,54,PLAT:LSZ:U2:EB,g1
TS047,54,PLAT:LSZ:U3:EB,g1
TS047,54,SEC:LSZ:U1_U2:EB,g1
TS047,54,SEC:LSZ:U2_U3:EB,g1
TS047,55,PLAT:LSZ:U1:EB,g1
TS047,55,PLAT:LSZ:U2:EB,g1
TS047,55,PLAT:LSZ:U3:EB,g1
TS047,55,SEC:LSZ:U1_U2:EB,g1
TS047,55,SEC:LSZ:U2_U3:EB,g1
TS046,57,PLAT:LSZ:U1:EB,g1
TS046,57,PLAT:LSZ:U2:EB,g1
TS046,57,PLAT:LSZ:U3:EB,g1
TS046,57,SEC:LSZ:U1_U2:EB,g1
TS046,57,SEC:LSZ:U2_U3:EB,g1
TS046,58,PLAT:LSZ:U1:EB,g1
TS046,58,PLAT:LSZ:U2:EB,g1
