activity_id,week,location_id,co_share_group
TIEA,2,PLAT:TIE:TIE1:EB,g1
TIEA,2,PLAT:TIE:TIE2:EB,g1
TIEA,2,SEC:TIE:TIE1_TIE2:EB,g1
TIEA,3,PLAT:TIE:TIE1:EB,g1
TIEA,3,PLAT:TIE:TIE2:EB,g1
TIEA,3,SEC:TIE:TIE1_TIE2:EB,g1
TIEA,4,PLAT:TIE:TIE1:EB,g1
TIEA,4,PLAT:TIE:TIE2:EB,g1
TIEA,4,SEC:TIE:TIE1_TIE2:EB,g1
TIEB,6,PLAT:TIE:TIE1:EB,g1
TIEB,6,PLAT:TIE:TIE2:EB,g1
TIEB,6,SEC:TIE:TIE1_TIE2:EB,g1
TIEB,7,PLAT:TIE:TIE1:EB,g1
TIEB,7,PLAT:TIE:TIE2:EB,g1
TIEB,7,SEC:TIE:TIE1_TIE2:EB,g1
TIEB,8,PLAT:TIE:TIE1:EB,g1
TIEB,8,PLAT:TIE:TIE2:EB,g1
TIEB,8,SEC:TIE:TIE1_TIE2:EB,g1
