location_id,location_kind,line_code,bound,supply_capacity
PLAT:R03LIC:R03C1:EB,platform,R03LIC,EB,2
PLAT:R03LIA:R03H2:WB,platform,R03LIA,WB,1
SEC:R07LIA:R07A1_R07H1:EB,tunnel sector,R07LIA,EB,2
SEC:R04LIA:R04A1_R04H1:WB,tunnel sector,R04LIA,WB,2
PLAT:R02LIC:R02C4:EB,platform,R02LIC,EB,2
PLAT:R02LIC:R02H2:WB,platform,R02LIC,WB,1
SEC:R06LIA:R06A1_R06H1:EB,tunnel sector,R06LIA,EB,2
SEC:R01LIA:R01A1_R01H1:EB,tunnel sector,R01LIA,EB,2
SEC:R04LIA:R04H1_R04H2:EB,tunnel sector,R04LIA,EB,1
PLAT:R05LIA:R05H1:EB,platform,R05LIA,EB,1
PLAT:R05LIA:R05H1:WB,platform,R05LIA,WB,1
PLAT:R04LIB:R04B4:WB,platform,R04LIB,WB,2
PLAT:R06LIA:R06A1:WB,platform,R06LIA,WB,2
PLAT:R07LIC:R07C1:EB,platform,R07LIC,EB,2
PLAT:R05LIC:R05H1:EB,platform,R05LIC,EB,1
PLAT:R07LIA:R07A4:EB,platform,R07LIA,EB,2
PLAT:R07LIB:R07H2:EB,platform,R07LIB,EB,1
SEC:R03LIC:R03C1_R03H1:EB,tunnel sector,R03LIC,EB,2
PLAT:R04LIC:R04C4:EB,platform,R04LIC,EB,2
PLAT:R07LIA:R07A4:WB,platform,R07LIA,WB,2
SEC:R05LIC:R05C1_R05H1:WB,tunnel sector,R05LIC,WB,2
PLAT:R08LIB:R08H2:EB,platform,R08LIB,EB,1
PLAT:R03LIA:R03A4:EB,platform,R03LIA,EB,2
SEC:R01LIA:R01H2_R01A4:WB,tunnel sector,R01LIA,WB,2
PLAT:R01LIC:R01H1:EB,platform,R01LIC,EB,1
PLAT:R08LIB:R08B4:EB,platform,R08LIB,EB,2
PLAT:R03LIC:R03C4:EB,platform,R03LIC,EB,2
SEC:R02LIC:R02H1_R02H2:EB,tunnel sector,R02LIC,EB,1
PLAT:R05LIB:R05H1:WB,platform,R05LIB,WB,1
PLAT:R06LIA:R06A4:EB,platform,R06LIA,EB,2
PLAT:R01LIA:R01H1:WB,platform,R01LIA,WB,1
SEC:R01LIC:R01C1_R01H1:EB,tunnel sector,R01LIC,EB,2
PLAT:R03LIA:R03A1:WB,platform,R03LIA,WB,2
