contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
R07KLA,R07 Live A bridge,2036-06-01,InterchangeHoldout,Live,1,2037-03-01,2037-01-18,1,PC,1
R02KLC,R02 Consist C bridge,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-01-25,1,C,2
R06KLA,R06 Live A bridge,2036-06-01,InterchangeHoldout,Live,1,2037-03-01,2037-01-18,1,PC,1
R04KCC,R04 C successor,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-02-08,1,C,1
R02KLA,R02 Live A bridge,2036-06-01,InterchangeHoldout,Live,1,2037-03-01,2037-01-18,1,PC,1
R03KLA,R03 Live A bridge,2036-06-01,InterchangeHoldout,Live,1,2037-03-01,2037-01-18,1,PC,1
R01KLA,R01 Live A bridge,2036-06-01,InterchangeHoldout,Live,1,2037-03-01,2037-01-18,1,PC,1
R05KPA,R05 A outer PM,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-08,1,PM,1
R06KPA,R06 A outer PM,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-08,1,PM,1
R04KLC,R04 Consist C bridge,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-01-25,1,C,2
R02KPB,R02 B outer PC,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-01,1,PC,2
R05KPB,R05 B outer PC,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-01,1,PC,2
R03KPA,R03 A outer PM,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-08,1,PM,1
R01KLB,R01 Live B bridge,2036-06-01,InterchangeHoldout,Live,2,2037-03-01,2037-01-18,1,C,1
R06KLC,R06 Consist C bridge,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-01-25,1,C,2
R02KPA,R02 A outer PM,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-08,1,PM,1
R03KPB,R03 B outer PC,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-01,1,PC,2
R08KLC,R08 Consist C bridge,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-01-25,1,C,2
R07KLC,R07 Consist C bridge,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-01-25,1,C,2
R08KLA,R08 Live A bridge,2036-06-01,InterchangeHoldout,Live,1,2037-03-01,2037-01-18,1,PC,1
R06KPB,R06 B outer PC,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-01,1,PC,2
R07KPB,R07 B outer PC,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-01,1,PC,2
R01KLC,R01 Consist C bridge,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-01-25,1,C,2
R01KPB,R01 B outer PC,2036-06-01,InterchangeHoldout,Non-live (Consist),2,2037-03-01,2037-02-01,1,PC,2
R03KCC,R03 C successor,2036-06-01,InterchangeHoldout,Non-live (Consist),3,2037-03-01,2037-02-08,1,C,1
