activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
R02HLA,R02KLA,InterchangeHoldout,SEC:R02LIA:R02H1_R02H2:EB,SEC:R02LIA:R02H1_R02H2:EB,3,2037-01-05,,1
R04OPA,R04KPA,InterchangeHoldout,SEC:R04LIA:R04A1_R04H1:WB,SEC:R04LIA:R04A1_R04H1:WB,2,2037-01-19,,2
R06HLA,R06KLA,InterchangeHoldout,SEC:R06LIA:R06H1_R06H2:EB,SEC:R06LIA:R06H1_R06H2:EB,3,2037-01-05,,1
R01OPB,R01KPB,InterchangeHoldout,SEC:R01LIB:R01H2_R01B4:EB,SEC:R01LIB:R01H2_R01B4:EB,2,2037-01-12,,1
R06OPB,R06KPB,InterchangeHoldout,SEC:R06LIB:R06H2_R06B4:EB,SEC:R06LIB:R06H2_R06B4:EB,2,2037-01-12,,1
R08HLC,R08KLC,InterchangeHoldout,SEC:R08LIC:R08H1_R08H2:EB,SEC:R08LIC:R08H1_R08H2:EB,2,2037-01-05,,3
R03HLB,R03KLB,InterchangeHoldout,SEC:R03LIB:R03H1_R03H2:WB,SEC:R03LIB:R03H1_R03H2:WB,1,2037-01-05,,2
R01HLC,R01KLC,InterchangeHoldout,SEC:R01LIC:R01H1_R01H2:EB,SEC:R01LIC:R01H1_R01H2:EB,2,2037-01-05,,3
R04OPB,R04KPB,InterchangeHoldout,SEC:R04LIB:R04H2_R04B4:EB,SEC:R04LIB:R04H2_R04B4:EB,2,2037-01-12,,1
R06HLC,R06KLC,InterchangeHoldout,SEC:R06LIC:R06H1_R06H2:EB,SEC:R06LIC:R06H1_R06H2:EB,2,2037-01-05,,3
R07OPA,R07KPA,InterchangeHoldout,SEC:R07LIA:R07A1_R07H1:WB,SEC:R07LIA:R07A1_R07H1:WB,2,2037-01-19,,2
R05HLB,R05KLB,InterchangeHoldout,SEC:R05LIB:R05H1_R05H2:WB,SEC:R05LIB:R05H1_R05H2:WB,1,2037-01-05,,2
R05OPA,R05KPA,InterchangeHoldout,SEC:R05LIA:R05A1_R05H1:WB,SEC:R05LIA:R05A1_R05H1:WB,2,2037-01-19,,2
R03HLA,R03KLA,InterchangeHoldout,SEC:R03LIA:R03H1_R03H2:EB,SEC:R03LIA:R03H1_R03H2:EB,3,2037-01-05,,1
R05SCC,R05KCC,InterchangeHoldout,SEC:R05LIC:R05H2_R05C4:WB,SEC:R05LIC:R05H2_R05C4:WB,1,2037-01-12,R05HLC,2
R07HLB,R07KLB,InterchangeHoldout,SEC:R07LIB:R07H1_R07H2:WB,SEC:R07LIB:R07H1_R07H2:WB,1,2037-01-05,,2
R04HLA,R04KLA,InterchangeHoldout,SEC:R04LIA:R04H1_R04H2:EB,SEC:R04LIA:R04H1_R04H2:EB,3,2037-01-05,,1
R04SCC,R04KCC,InterchangeHoldout,SEC:R04LIC:R04H2_R04C4:WB,SEC:R04LIC:R04H2_R04C4:WB,1,2037-01-12,R04HLC,2
R04HLB,R04KLB,InterchangeHoldout,SEC:R04LIB:R04H1_R04H2:WB,SEC:R04LIB:R04H1_R04H2:WB,1,2037-01-05,,2
R08HLA,R08KLA,InterchangeHoldout,SEC:R08LIA:R08H1_R08H2:EB,SEC:R08LIA:R08H1_R08H2:EB,3,2037-01-05,,1
R03OPA,R03KPA,InterchangeHoldout,SEC:R03LIA:R03A1_R03H1:WB,SEC:R03LIA:R03A1_R03H1:WB,2,2037-01-19,,2
R08HLB,R08KLB,InterchangeHoldout,SEC:R08LIB:R08H1_R08H2:WB,SEC:R08LIB:R08H1_R08H2:WB,1,2037-01-05,,2
R07SCC,R07KCC,InterchangeHoldout,SEC:R07LIC:R07H2_R07C4:WB,SEC:R07LIC:R07H2_R07C4:WB,1,2037-01-12,R07HLC,2
R06OPA,R06KPA,InterchangeHoldout,SEC:R06LIA:R06A1_R06H1:WB,SEC:R06LIA:R06A1_R06H1:WB,2,2037-01-19,,2
R08OPB,R08KPB,InterchangeHoldout,SEC:R08LIB:R08H2_R08B4:EB,SEC:R08LIB:R08H2_R08B4:EB,2,2037-01-12,,1
R02SCC,R02KCC,InterchangeHoldout,SEC:R02LIC:R02H2_R02C4:WB,SEC:R02LIC:R02H2_R02C4:WB,1,2037-01-12,R02HLC,2
R02HLC,R02KLC,InterchangeHoldout,SEC:R02LIC:R02H1_R02H2:EB,SEC:R02LIC:R02H1_R02H2:EB,2,2037-01-05,,3
R07OPB,R07KPB,InterchangeHoldout,SEC:R07LIB:R07H2_R07B4:EB,SEC:R07LIB:R07H2_R07B4:EB,2,2037-01-12,,1
R04HLC,R04KLC,InterchangeHoldout,SEC:R04LIC:R04H1_R04H2:EB,SEC:R04LIC:R04H1_R04H2:EB,2,2037-01-05,,3
R06HLB,R06KLB,InterchangeHoldout,SEC:R06LIB:R06H1_R06H2:WB,SEC:R06LIB:R06H1_R06H2:WB,1,2037-01-05,,2
R05OPB,R05KPB,InterchangeHoldout,SEC:R05LIB:R05H2_R05B4:EB,SEC:R05LIB:R05H2_R05B4:EB,2,2037-01-12,,1
R08OPA,R08KPA,InterchangeHoldout,SEC:R08LIA:R08A1_R08H1:WB,SEC:R08LIA:R08A1_R08H1:WB,2,2037-01-19,,2
R01OPA,R01KPA,InterchangeHoldout,SEC:R01LIA:R01A1_R01H1:WB,SEC:R01LIA:R01A1_R01H1:WB,2,2037-01-19,,2
R01HLA,R01KLA,InterchangeHoldout,SEC:R01LIA:R01H1_R01H2:EB,SEC:R01LIA:R01H1_R01H2:EB,3,2037-01-05,,1
R01HLB,R01KLB,InterchangeHoldout,SEC:R01LIB:R01H1_R01H2:WB,SEC:R01LIB:R01H1_R01H2:WB,1,2037-01-05,,2
R03OPB,R03KPB,InterchangeHoldout,SEC:R03LIB:R03H2_R03B4:EB,SEC:R03LIB:R03H2_R03B4:EB,2,2037-01-12,,1
R07HLA,R07KLA,InterchangeHoldout,SEC:R07LIA:R07H1_R07H2:EB,SEC:R07LIA:R07H1_R07H2:EB,3,2037-01-05,,1
R02HLB,R02KLB,InterchangeHoldout,SEC:R02LIB:R02H1_R02H2:WB,SEC:R02LIB:R02H1_R02H2:WB,1,2037-01-05,,2
R06SCC,R06KCC,InterchangeHoldout,SEC:R06LIC:R06H2_R06C4:WB,SEC:R06LIC:R06H2_R06C4:WB,1,2037-01-12,R06HLC,2
R01SCC,R01KCC,InterchangeHoldout,SEC:R01LIC:R01H2_R01C4:WB,SEC:R01LIC:R01H2_R01C4:WB,1,2037-01-12,R01HLC,2
R07HLC,R07KLC,InterchangeHoldout,SEC:R07LIC:R07H1_R07H2:EB,SEC:R07LIC:R07H1_R07H2:EB,2,2037-01-05,,3
R08SCC,R08KCC,InterchangeHoldout,SEC:R08LIC:R08H2_R08C4:WB,SEC:R08LIC:R08H2_R08C4:WB,1,2037-01-12,R08HLC,2
