activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
VXE01P,KVXE01P,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE01C1,KVXE01C1,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE01C2,KVXE01C2,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE01C3,KIRR,IrregularTradeoff,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,3,2032-01-05,,3
VXE02P,KVXE02P,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE02C1,KVXE02C1,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE02C2,KVXE02C2,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE02C3,KIRR,IrregularTradeoff,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,3,2032-01-05,,3
VXE03P,KVXE03P,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE03C1,KVXE03C1,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE03C2,KVXE03C2,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE03C3,KIRR,IrregularTradeoff,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,3,2032-01-05,,3
VXE04P,KVXE04P,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
VXE04C1,KVXE04C1,HeldoutDense,SEC:LHX:HN3_HN4:EB,SEC:LHX:HN3_HN4:EB,2,2032-01-05,,1
