activity_id,week,location_id,co_share_group
VXE01P,1,PLAT:LHX:HN3:EB,VXE01W1
VXE01P,1,PLAT:LHX:HN4:EB,VXE01W1
VXE01P,1,SEC:LHX:HN3_HN4:EB,VXE01W1
VXE01P,2,PLAT:LHX:HN3:EB,VXE01W2
VXE01P,2,PLAT:LHX:HN4:EB,VXE01W2
VXE01P,2,SEC:LHX:HN3_HN4:EB,VXE01W2
VXE01C1,1,PLAT:LHX:HN3:EB,VXE01W1
VXE01C1,1,PLAT:LHX:HN4:EB,VXE01W1
VXE01C1,1,SEC:LHX:HN3_HN4:EB,VXE01W1
VXE01C1,2,PLAT:LHX:HN3:EB,VXE01W2
VXE01C1,2,PLAT:LHX:HN4:EB,VXE01W2
VXE01C1,2,SEC:LHX:HN3_HN4:EB,VXE01W2
VXE01C2,1,PLAT:LHX:HN3:EB,VXE01W1
VXE01C2,1,PLAT:LHX:HN4:EB,VXE01W1
VXE01C2,1,SEC:LHX:HN3_HN4:EB,VXE01W1
VXE01C2,2,PLAT:LHX:HN3:EB,VXE01W2
VXE01C2,2,PLAT:LHX:HN4:EB,VXE01W2
VXE01C2,2,SEC:LHX:HN3_HN4:EB,VXE01W2
VXE01C3,1,PLAT:LHX:HN3:EB,VXE01W1
VXE01C3,1,PLAT:LHX:HN4:EB,VXE01W1
VXE01C3,1,SEC:LHX:HN3_HN4:EB,VXE01W1
VXE01C3,2,PLAT:LHX:HN3:EB,VXE01W2
VXE01C3,2,PLAT:LHX:HN4:EB,VXE01W2
VXE01C3,2,SEC:LHX:HN3_HN4:EB,VXE01W2
VXE02P,3,PLAT:LHX:HN3:EB,VXE02W3
VXE02P,3,PLAT:LHX:HN4:EB,VXE02W3
VXE02P,3,SEC:LHX:HN3_HN4:EB,VXE02W3
VXE02P,4,PLAT:LHX:HN3:EB,VXE02W4
VXE02P,4,PLAT:LHX:HN4:EB,VXE02W4
VXE02P,4,SEC:LHX:HN3_HN4:EB,VXE02W4
VXE02C1,3,PLAT:LHX:HN3:EB,VXE02W3
VXE02C1,3,PLAT:LHX:HN4:EB,VXE02W3
VXE02C1,3,SEC:LHX:HN3_HN4:EB,VXE02W3
VXE02C1,4,PLAT:LHX:HN3:EB,VXE02W4
VXE02C1,4,PLAT:LHX:HN4:EB,VXE02W4
VXE02C1,4,SEC:LHX:HN3_HN4:EB,VXE02W4
VXE02C2,3,PLAT:LHX:HN3:EB,VXE02W3
VXE02C2,3,PLAT:LHX:HN4:EB,VXE02W3
VXE02C2,3,SEC:LHX:HN3_HN4:EB,VXE02W3
VXE02C2,4,PLAT:LHX:HN3:EB,VXE02W4
VXE02C2,4,PLAT:LHX:HN4:EB,VXE02W4
VXE02C2,4,SEC:LHX:HN3_HN4:EB,VXE02W4
VXE02C3,3,PLAT:LHX:HN3:EB,VXE02W3
VXE02C3,3,PLAT:LHX:HN4:EB,VXE02W3
VXE02C3,3,SEC:LHX:HN3_HN4:EB,VXE02W3
VXE02C3,4,PLAT:LHX:HN3:EB,VXE02W4
VXE02C3,4,PLAT:LHX:HN4:EB,VXE02W4
VXE02C3,4,SEC:LHX:HN3_HN4:EB,VXE02W4
VXE03P,5,PLAT:LHX:HN3:EB,VXE03W5
VXE03P,5,PLAT:LHX:HN4:EB,VXE03W5
VXE03P,5,SEC:LHX:HN3_HN4:EB,VXE03W5
VXE03P,6,PLAT:LHX:HN3:EB,VXE03W6
VXE03P,6,PLAT:LHX:HN4:EB,VXE03W6
VXE03P,6,SEC:LHX:HN3_HN4:EB,VXE03W6
VXE03C1,5,PLAT:LHX:HN3:EB,VXE03W5
VXE03C1,5,PLAT:LHX:HN4:EB,VXE03W5
VXE03C1,5,SEC:LHX:HN3_HN4:EB,VXE03W5
VXE03C1,6,PLAT:LHX:HN3:EB,VXE03W6
VXE03C1,6,PLAT:LHX:HN4:EB,VXE03W6
VXE03C1,6,SEC:LHX:HN3_HN4:EB,VXE03W6
VXE03C2,5,PLAT:LHX:HN3:EB,VXE03W5
VXE03C2,5,PLAT:LHX:HN4:EB,VXE03W5
VXE03C2,5,SEC:LHX:HN3_HN4:EB,VXE03W5
VXE03C2,6,PLAT:LHX:HN3:EB,VXE03W6
VXE03C2,6,PLAT:LHX:HN4:EB,VXE03W6
VXE03C2,6,SEC:LHX:HN3_HN4:EB,VXE03W6
VXE03C3,5,PLAT:LHX:HN3:EB,VXE03W5
VXE03C3,5,PLAT:LHX:HN4:EB,VXE03W5
VXE03C3,5,SEC:LHX:HN3_HN4:EB,VXE03W5
VXE03C3,6,PLAT:LHX:HN3:EB,VXE03W6
VXE03C3,6,PLAT:LHX:HN4:EB,VXE03W6
VXE03C3,6,SEC:LHX:HN3_HN4:EB,VXE03W6
VXE04P,7,PLAT:LHX:HN3:EB,VXE04W7
VXE04P,7,PLAT:LHX:HN4:EB,VXE04W7
VXE04P,7,SEC:LHX:HN3_HN4:EB,VXE04W7
VXE04P,8,PLAT:LHX:HN3:EB,VXE04W8
VXE04P,8,PLAT:LHX:HN4:EB,VXE04W8
VXE04P,8,SEC:LHX:HN3_HN4:EB,VXE04W8
VXE04C1,7,PLAT:LHX:HN3:EB,VXE04W7
VXE04C1,7,PLAT:LHX:HN4:EB,VXE04W7
VXE04C1,7,SEC:LHX:HN3_HN4:EB,VXE04W7
VXE04C1,8,PLAT:LHX:HN3:EB,VXE04W8
VXE04C1,8,PLAT:LHX:HN4:EB,VXE04W8
VXE04C1,8,SEC:LHX:HN3_HN4:EB,VXE04W8
VXE04C2,7,PLAT:LHX:HN3:EB,VXE04W7
VXE04C2,7,PLAT:LHX:HN4:EB,VXE04W7
VXE04C2,7,SEC:LHX:HN3_HN4:EB,VXE04W7
VXE04C2,8,PLAT:LHX:HN3:EB,VXE04W8
VXE04C2,8,PLAT:LHX:HN4:EB,VXE04W8
VXE04C2,8,SEC:LHX:HN3_HN4:EB,VXE04W8
VXE04C3,7,PLAT:LHX:HN3:EB,VXE04W7
VXE04C3,7,PLAT:LHX:HN4:EB,VXE04W7
VXE04C3,7,SEC:LHX:HN3_HN4:EB,VXE04W7
VXE04C3,8,PLAT:LHX:HN3:EB,VXE04W8
VXE04C3,8,PLAT:LHX:HN4:EB,VXE04W8
VXE04C3,8,SEC:LHX:HN3_HN4:EB,VXE04W8
VXE05P,9,PLAT:LHX:HN3:EB,VXE05W9
VXE05P,9,PLAT:LHX:HN4:EB,VXE05W9
VXE05P,9,SEC:LHX:HN3_HN4:EB,VXE05W9
VXE05P,10,PLAT:LHX:HN3:EB,VXE05W10
VXE05P,10,PLAT:LHX:HN4:EB,VXE05W10
VXE05P,10,SEC:LHX:HN3_HN4:EB,VXE05W10
VXE05C1,9,PLAT:LHX:HN3:EB,VXE05W9
VXE05C1,9,PLAT:LHX:HN4:EB,VXE05W9
VXE05C1,9,SEC:LHX:HN3_HN4:EB,VXE05W9
VXE05C1,10,PLAT:LHX:HN3:EB,VXE05W10
VXE05C1,10,PLAT:LHX:HN4:EB,VXE05W10
VXE05C1,10,SEC:LHX:HN3_HN4:EB,VXE05W10
VXE05C2,9,PLAT:LHX:HN3:EB,VXE05W9
VXE05C2,9,PLAT:LHX:HN4:EB,VXE05W9
VXE05C2,9,SEC:LHX:HN3_HN4:EB,VXE05W9
VXE05C2,10,PLAT:LHX:HN3:EB,VXE05W10
VXE05C2,10,PLAT:LHX:HN4:EB,VXE05W10
VXE05C2,10,SEC:LHX:HN3_HN4:EB,VXE05W10
VXE05C3,9,PLAT:LHX:HN3:EB,VXE05W9
VXE05C3,9,PLAT:LHX:HN4:EB,VXE05W9
VXE05C3,9,SEC:LHX:HN3_HN4:EB,VXE05W9
VXE05C3,10,PLAT:LHX:HN3:EB,VXE05W10
VXE05C3,10,PLAT:LHX:HN4:EB,VXE05W10
VXE05C3,10,SEC:LHX:HN3_HN4:EB,VXE05W10
VXE06P,11,PLAT:LHX:HN3:EB,VXE06W11
VXE06P,11,PLAT:LHX:HN4:EB,VXE06W11
VXE06P,11,SEC:LHX:HN3_HN4:EB,VXE06W11
VXE06P,12,PLAT:LHX:HN3:EB,VXE06W12
VXE06P,12,PLAT:LHX:HN4:EB,VXE06W12
VXE06P,12,SEC:LHX:HN3_HN4:EB,VXE06W12
VXE06C1,11,PLAT:LHX:HN3:EB,VXE06W11
VXE06C1,11,PLAT:LHX:HN4:EB,VXE06W11
VXE06C1,11,SEC:LHX:HN3_HN4:EB,VXE06W11
VXE06C1,12,PLAT:LHX:HN3:EB,VXE06W12
VXE06C1,12,PLAT:LHX:HN4:EB,VXE06W12
VXE06C1,12,SEC:LHX:HN3_HN4:EB,VXE06W12
VXE06C2,11,PLAT:LHX:HN3:EB,VXE06W11
VXE06C2,11,PLAT:LHX:HN4:EB,VXE06W11
VXE06C2,11,SEC:LHX:HN3_HN4:EB,VXE06W11
VXE06C2,12,PLAT:LHX:HN3:EB,VXE06W12
VXE06C2,12,PLAT:LHX:HN4:EB,VXE06W12
VXE06C2,12,SEC:LHX:HN3_HN4:EB,VXE06W12
VXE06C3,11,PLAT:LHX:HN3:EB,VXE06W11
VXE06C3,11,PLAT:LHX:HN4:EB,VXE06W11
VXE06C3,11,SEC:LHX:HN3_HN4:EB,VXE06W11
VXE06C3,12,PLAT:LHX:HN3:EB,VXE06W12
VXE06C3,12,PLAT:LHX:HN4:EB,VXE06W12
VXE06C3,12,SEC:LHX:HN3_HN4:EB,VXE06W12
VXW01P,1,PLAT:LHX:HN4:WB,VXW01W1
VXW01P,1,PLAT:LHX:HN5:WB,VXW01W1
VXW01P,1,SEC:LHX:HN4_HN5:WB,VXW01W1
VXW01P,2,PLAT:LHX:HN4:WB,VXW01W2
VXW01P,2,PLAT:LHX:HN5:WB,VXW01W2
VXW01P,2,SEC:LHX:HN4_HN5:WB,VXW01W2
VXW01C1,1,PLAT:LHX:HN4:WB,VXW01W1
VXW01C1,1,PLAT:LHX:HN5:WB,VXW01W1
VXW01C1,1,SEC:LHX:HN4_HN5:WB,VXW01W1
VXW01C1,2,PLAT:LHX:HN4:WB,VXW01W2
VXW01C1,2,PLAT:LHX:HN5:WB,VXW01W2
VXW01C1,2,SEC:LHX:HN4_HN5:WB,VXW01W2
VXW01C2,1,PLAT:LHX:HN4:WB,VXW01W1
VXW01C2,1,PLAT:LHX:HN5:WB,VXW01W1
VXW01C2,1,SEC:LHX:HN4_HN5:WB,VXW01W1
VXW01C2,2,PLAT:LHX:HN4:WB,VXW01W2
VXW01C2,2,PLAT:LHX:HN5:WB,VXW01W2
VXW01C2,2,SEC:LHX:HN4_HN5:WB,VXW01W2
VXW01C3,1,PLAT:LHX:HN4:WB,VXW01W1
VXW01C3,1,PLAT:LHX:HN5:WB,VXW01W1
VXW01C3,1,SEC:LHX:HN4_HN5:WB,VXW01W1
VXW01C3,2,PLAT:LHX:HN4:WB,VXW01W2
VXW01C3,2,PLAT:LHX:HN5:WB,VXW01W2
VXW01C3,2,SEC:LHX:HN4_HN5:WB,VXW01W2
VXW02P,3,PLAT:LHX:HN4:WB,VXW02W3
VXW02P,3,PLAT:LHX:HN5:WB,VXW02W3
VXW02P,3,SEC:LHX:HN4_HN5:WB,VXW02W3
VXW02P,4,PLAT:LHX:HN4:WB,VXW02W4
VXW02P,4,PLAT:LHX:HN5:WB,VXW02W4
VXW02P,4,SEC:LHX:HN4_HN5:WB,VXW02W4
VXW02C1,3,PLAT:LHX:HN4:WB,VXW02W3
VXW02C1,3,PLAT:LHX:HN5:WB,VXW02W3
VXW02C1,3,SEC:LHX:HN4_HN5:WB,VXW02W3
VXW02C1,4,PLAT:LHX:HN4:WB,VXW02W4
VXW02C1,4,PLAT:LHX:HN5:WB,VXW02W4
VXW02C1,4,SEC:LHX:HN4_HN5:WB,VXW02W4
VXW02C2,3,PLAT:LHX:HN4:WB,VXW02W3
VXW02C2,3,PLAT:LHX:HN5:WB,VXW02W3
VXW02C2,3,SEC:LHX:HN4_HN5:WB,VXW02W3
VXW02C2,4,PLAT:LHX:HN4:WB,VXW02W4
VXW02C2,4,PLAT:LHX:HN5:WB,VXW02W4
VXW02C2,4,SEC:LHX:HN4_HN5:WB,VXW02W4
VXW02C3,3,PLAT:LHX:HN4:WB,VXW02W3
VXW02C3,3,PLAT:LHX:HN5:WB,VXW02W3
VXW02C3,3,SEC:LHX:HN4_HN5:WB,VXW02W3
VXW02C3,4,PLAT:LHX:HN4:WB,VXW02W4
VXW02C3,4,PLAT:LHX:HN5:WB,VXW02W4
VXW02C3,4,SEC:LHX:HN4_HN5:WB,VXW02W4
VXW03P,5,PLAT:LHX:HN4:WB,VXW03W5
VXW03P,5,PLAT:LHX:HN5:WB,VXW03W5
VXW03P,5,SEC:LHX:HN4_HN5:WB,VXW03W5
VXW03P,6,PLAT:LHX:HN4:WB,VXW03W6
VXW03P,6,PLAT:LHX:HN5:WB,VXW03W6
VXW03P,6,SEC:LHX:HN4_HN5:WB,VXW03W6
VXW03C1,5,PLAT:LHX:HN4:WB,VXW03W5
VXW03C1,5,PLAT:LHX:HN5:WB,VXW03W5
VXW03C1,5,SEC:LHX:HN4_HN5:WB,VXW03W5
VXW03C1,6,PLAT:LHX:HN4:WB,VXW03W6
VXW03C1,6,PLAT:LHX:HN5:WB,VXW03W6
VXW03C1,6,SEC:LHX:HN4_HN5:WB,VXW03W6
VXW03C2,5,PLAT:LHX:HN4:WB,VXW03W5
VXW03C2,5,PLAT:LHX:HN5:WB,VXW03W5
VXW03C2,5,SEC:LHX:HN4_HN5:WB,VXW03W5
VXW03C2,6,PLAT:LHX:HN4:WB,VXW03W6
VXW03C2,6,PLAT:LHX:HN5:WB,VXW03W6
VXW03C2,6,SEC:LHX:HN4_HN5:WB,VXW03W6
VXW03C3,5,PLAT:LHX:HN4:WB,VXW03W5
VXW03C3,5,PLAT:LHX:HN5:WB,VXW03W5
VXW03C3,5,SEC:LHX:HN4_HN5:WB,VXW03W5
VXW03C3,6,PLAT:LHX:HN4:WB,VXW03W6
VXW03C3,6,PLAT:LHX:HN5:WB,VXW03W6
VXW03C3,6,SEC:LHX:HN4_HN5:WB,VXW03W6
VXW04P,7,PLAT:LHX:HN4:WB,VXW04W7
VXW04P,7,PLAT:LHX:HN5:WB,VXW04W7
VXW04P,7,SEC:LHX:HN4_HN5:WB,VXW04W7
VXW04P,8,PLAT:LHX:HN4:WB,VXW04W8
VXW04P,8,PLAT:LHX:HN5:WB,VXW04W8
VXW04P,8,SEC:LHX:HN4_HN5:WB,VXW04W8
VXW04C1,7,PLAT:LHX:HN4:WB,VXW04W7
VXW04C1,7,PLAT:LHX:HN5:WB,VXW04W7
VXW04C1,7,SEC:LHX:HN4_HN5:WB,VXW04W7
VXW04C1,8,PLAT:LHX:HN4:WB,VXW04W8
VXW04C1,8,PLAT:LHX:HN5:WB,VXW04W8
VXW04C1,8,SEC:LHX:HN4_HN5:WB,VXW04W8
VXW04C2,7,PLAT:LHX:HN4:WB,VXW04W7
VXW04C2,7,PLAT:LHX:HN5:WB,VXW04W7
VXW04C2,7,SEC:LHX:HN4_HN5:WB,VXW04W7
VXW04C2,8,PLAT:LHX:HN4:WB,VXW04W8
VXW04C2,8,PLAT:LHX:HN5:WB,VXW04W8
VXW04C2,8,SEC:LHX:HN4_HN5:WB,VXW04W8
VXW04C3,7,PLAT:LHX:HN4:WB,VXW04W7
VXW04C3,7,PLAT:LHX:HN5:WB,VXW04W7
VXW04C3,7,SEC:LHX:HN4_HN5:WB,VXW04W7
VXW04C3,8,PLAT:LHX:HN4:WB,VXW04W8
VXW04C3,8,PLAT:LHX:HN5:WB,VXW04W8
VXW04C3,8,SEC:LHX:HN4_HN5:WB,VXW04W8
VXW05P,9,PLAT:LHX:HN4:WB,VXW05W9
VXW05P,9,PLAT:LHX:HN5:WB,VXW05W9
VXW05P,9,SEC:LHX:HN4_HN5:WB,VXW05W9
VXW05P,10,PLAT:LHX:HN4:WB,VXW05W10
VXW05P,10,PLAT:LHX:HN5:WB,VXW05W10
VXW05P,10,SEC:LHX:HN4_HN5:WB,VXW05W10
VXW05C1,9,PLAT:LHX:HN4:WB,VXW05W9
VXW05C1,9,PLAT:LHX:HN5:WB,VXW05W9
VXW05C1,9,SEC:LHX:HN4_HN5:WB,VXW05W9
VXW05C1,10,PLAT:LHX:HN4:WB,VXW05W10
VXW05C1,10,PLAT:LHX:HN5:WB,VXW05W10
VXW05C1,10,SEC:LHX:HN4_HN5:WB,VXW05W10
VXW05C2,9,PLAT:LHX:HN4:WB,VXW05W9
VXW05C2,9,PLAT:LHX:HN5:WB,VXW05W9
VXW05C2,9,SEC:LHX:HN4_HN5:WB,VXW05W9
VXW05C2,10,PLAT:LHX:HN4:WB,VXW05W10
VXW05C2,10,PLAT:LHX:HN5:WB,VXW05W10
VXW05C2,10,SEC:LHX:HN4_HN5:WB,VXW05W10
VXW05C3,9,PLAT:LHX:HN4:WB,VXW05W9
VXW05C3,9,PLAT:LHX:HN5:WB,VXW05W9
VXW05C3,9,SEC:LHX:HN4_HN5:WB,VXW05W9
VXW05C3,10,PLAT:LHX:HN4:WB,VXW05W10
VXW05C3,10,PLAT:LHX:HN5:WB,VXW05W10
VXW05C3,10,SEC:LHX:HN4_HN5:WB,VXW05W10
VXW06P,11,PLAT:LHX:HN4:WB,VXW06W11
VXW06P,11,PLAT:LHX:HN5:WB,VXW06W11
VXW06P,11,SEC:LHX:HN4_HN5:WB,VXW06W11
VXW06P,12,PLAT:LHX:HN4:WB,VXW06W12
VXW06P,12,PLAT:LHX:HN5:WB,VXW06W12
VXW06P,12,SEC:LHX:HN4_HN5:WB,VXW06W12
VXW06C1,11,PLAT:LHX:HN4:WB,VXW06W11
VXW06C1,11,PLAT:LHX:HN5:WB,VXW06W11
VXW06C1,11,SEC:LHX:HN4_HN5:WB,VXW06W11
VXW06C1,12,PLAT:LHX:HN4:WB,VXW06W12
VXW06C1,12,PLAT:LHX:HN5:WB,VXW06W12
VXW06C1,12,SEC:LHX:HN4_HN5:WB,VXW06W12
VXW06C2,11,PLAT:LHX:HN4:WB,VXW06W11
VXW06C2,11,PLAT:LHX:HN5:WB,VXW06W11
VXW06C2,11,SEC:LHX:HN4_HN5:WB,VXW06W11
VXW06C2,12,PLAT:LHX:HN4:WB,VXW06W12
VXW06C2,12,PLAT:LHX:HN5:WB,VXW06W12
VXW06C2,12,SEC:LHX:HN4_HN5:WB,VXW06W12
VXW06C3,11,PLAT:LHX:HN4:WB,VXW06W11
VXW06C3,11,PLAT:LHX:HN5:WB,VXW06W11
VXW06C3,11,SEC:LHX:HN4_HN5:WB,VXW06W11
VXW06C3,12,PLAT:LHX:HN4:WB,VXW06W12
VXW06C3,12,PLAT:LHX:HN5:WB,VXW06W12
VXW06C3,12,SEC:LHX:HN4_HN5:WB,VXW06W12
HX1,13,PLAT:LHX:HN3:EB,HX1W13
HX1,13,PLAT:LHX:HN4:EB,HX1W13
HX1,13,SEC:LHX:HN3_HN4:EB,HX1W13
HX2,14,PLAT:LHX:HN4:WB,HX2W14
HX2,14,PLAT:LHX:HN5:WB,HX2W14
HX2,14,SEC:LHX:HN4_HN5:WB,HX2W14
HX3,15,PLAT:LHX:HN3:EB,HX3W15
HX3,15,PLAT:LHX:HN4:EB,HX3W15
HX3,15,PLAT:LHX:HN5:EB,HX3W15
HX3,15,SEC:LHX:HN3_HN4:EB,HX3W15
HX3,15,SEC:LHX:HN4_HN5:EB,HX3W15
VXLIVE,16,PLAT:LHX:HX1:EB,VXLIVEW16
VXLIVE,16,PLAT:LHX:HX2:EB,VXLIVEW16
VXLIVE,16,SEC:LHX:HX1_HX2:EB,VXLIVEW16
VXPM,18,PLAT:LHX:HN3:EB,VXPMW18
VXPM,18,PLAT:LHX:HN4:EB,VXPMW18
VXPM,18,SEC:LHX:HN3_HN4:EB,VXPMW18
VYE01P,1,PLAT:LHY:HS3:EB,VYE01W1
