contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
K594,Held-out dense KVYE04C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K566,Held-out dense KVYW05C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K537,Held-out dense KVXE01C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K595,Held-out dense KVXW05C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K575,Held-out dense KVYE01P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
K576,Held-out dense KVYW04C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K507,Held-out dense KVXW03C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K504,Held-out dense KVYW03C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K597,Held-out dense KVYW02C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K535,Held-out dense KVXW02P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-04-11,1,PC,3
K559,Held-out dense KVYW06C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K528,Held-out dense KVYE06C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K572,Held-out dense KVYE05P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
K564,Held-out dense KVXW01C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K549,Held-out dense KVXW04C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K503,Held-out dense KVXE04C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K580,Held-out dense KVXW05P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-04-11,1,PC,3
K527,Held-out dense KVXE05C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K551,Held-out dense KVXW02C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K523,Held-out dense KVYE03C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K522,Held-out dense KVXW02C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K585,Held-out dense KVXE06P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
K541,Held-out dense KVYE06C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K561,Held-out dense KVXE06C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K538,Held-out dense KVYE05C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K544,Held-out dense KVYW06C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K532,Held-out dense KVXW03P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-04-11,1,PC,3
K562,Held-out dense KVYE02P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
K547,Held-out dense KVXE06C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K511,Held-out dense KVXE03P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
K545,Held-out dense KVYW04C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K536,Held-out dense KVYW03C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K567,Held-out dense KVXW06C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K583,Held-out dense KVXW06C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K505,Held-out dense KVYW02C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K514,Held-out dense KVXW04C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K553,Held-out dense KVYLIVE,2031-06-01,HeldoutDense,Live,1,2032-06-20,2032-05-09,1,PM,2
K591,Held-out dense KVXW06C1,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K565,Held-out dense KVYW05C2,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-04-11,1,C,3
K552,Held-out dense KVYE02C3,2031-06-01,HeldoutDense,Non-live (Others),1,2032-06-20,2032-03-28,1,C,3
K590,Held-out dense KVXE04P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
K574,Held-out dense KVXE01P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
K589,Held-out dense KVYE06P,2031-06-01,HeldoutDense,Non-live (Consist),1,2032-06-20,2032-03-28,1,PC,3
