activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
Z574,K586,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z544,K565,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z562,K568,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z530,K508,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z557,K546,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z570,K563,HeldoutDense,SEC:L01:N004_N009:EB,SEC:L01:N009_N001:EB,1,2032-01-05,Z589,1
Z577,K510,HeldoutDense,SEC:L01:N009_N001:WB,SEC:L01:N009_N001:WB,2,2032-01-05,,1
Z535,K516,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z568,K573,HeldoutDense,SEC:L02:N007_N010:EB,SEC:L02:N007_N010:EB,2,2032-01-05,,1
Z525,K567,HeldoutDense,SEC:L01:N009_N001:WB,SEC:L01:N009_N001:WB,2,2032-01-05,,1
Z542,K581,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z578,K531,HeldoutDense,SEC:L01:N004_N009:EB,SEC:L01:N004_N009:EB,2,2032-01-05,,1
Z580,K589,HeldoutDense,SEC:L02:N007_N010:EB,SEC:L02:N007_N010:EB,2,2032-01-05,,1
Z508,K552,HeldoutDense,SEC:L02:N007_N010:EB,SEC:L02:N007_N010:EB,2,2032-01-05,,1
Z540,K504,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z604,K559,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z599,K590,HeldoutDense,SEC:L01:N004_N009:EB,SEC:L01:N004_N009:EB,2,2032-01-05,,1
Z579,K544,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z563,K529,IrregularTradeoff,SEC:L01:N004_N009:EB,SEC:L01:N004_N009:EB,3,2032-01-05,,3
Z558,K505,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z588,K509,HeldoutDense,SEC:L02:N007_N010:EB,SEC:L02:N007_N010:EB,2,2032-01-05,,1
Z533,K593,HeldoutDense,SEC:L01:N003_N008:EB,SEC:L01:N003_N008:EB,1,2032-01-05,,1
Z511,K539,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,2,2032-01-05,,1
Z565,K529,IrregularTradeoff,SEC:L01:N004_N009:EB,SEC:L01:N004_N009:EB,2,2032-01-05,,3
Z561,K512,HeldoutDense,SEC:L01:N004_N009:EB,SEC:L01:N004_N009:EB,2,2032-01-05,,1
Z569,K501,HeldoutDense,SEC:L01:N009_N001:WB,SEC:L01:N009_N001:WB,2,2032-01-05,,1
Z605,K529,IrregularTradeoff,SEC:L01:N004_N009:EB,SEC:L01:N004_N009:EB,3,2032-01-05,,3
Z585,K521,HeldoutDense,SEC:L02:N007_N010:EB,SEC:L02:N007_N010:EB,2,2032-01-05,,1
Z502,K571,HeldoutDense,SEC:L02:N010_N005:WB,SEC:L02:N010_N005:WB,1,2032-01-05,Z595,1
Z591,K571,HeldoutDense,SEC:L02:N007_N010:EB,SEC:L02:N010_N005:EB,1,2032-01-05,Z502,1
Z550,K515,HeldoutDense,SEC:L01:N009_N001:WB,SEC:L01:N009_N001:WB,2,2032-01-05,,1
