activity_id,week,location_id,co_share_group
R001,1,SEC:LNX:X1_X2:EB,G1
R001,1,SEC:LNX:X2_X3:EB,G1
R001,1,PLAT:LNX:X1:EB,G1
R001,1,PLAT:LNX:X2:EB,G1
R001,1,PLAT:LNX:X3:EB,G1
R001,2,SEC:LNX:X1_X2:EB,G2
R001,2,SEC:LNX:X2_X3:EB,G2
R001,2,PLAT:LNX:X1:EB,G2
R001,2,PLAT:LNX:X2:EB,G2
R001,2,PLAT:LNX:X3:EB,G2
R002,3,SEC:LNY:X1_X2:WB,G3
R002,3,SEC:LNY:X2_X3:WB,G3
R002,3,PLAT:LNY:X1:WB,G3
R002,3,PLAT:LNY:X2:WB,G3
R002,3,PLAT:LNY:X3:WB,G3
R002,4,SEC:LNY:X1_X2:WB,G4
R002,4,SEC:LNY:X2_X3:WB,G4
R002,4,PLAT:LNY:X1:WB,G4
R002,4,PLAT:LNY:X2:WB,G4
R002,4,PLAT:LNY:X3:WB,G4
R002,5,SEC:LNY:X1_X2:WB,G5
R002,5,SEC:LNY:X2_X3:WB,G5
R002,5,PLAT:LNY:X1:WB,G5
R002,5,PLAT:LNY:X2:WB,G5
R002,5,PLAT:LNY:X3:WB,G5
