station_id,line_code,seq,is_interchange
J1A,LSX,1,1
J1B,LSX,2,1
N1C,LSX,3,0
N1D,LSX,4,0
N1G1,LSX,5,0
N1G2,LSX,6,0
N1G3,LSX,7,0
J2A,LSX,8,1
J2B,LSX,9,1
N2C,LSX,10,0
N2D,LSX,11,0
N2G1,LSX,12,0
N2G2,LSX,13,0
N2G3,LSX,14,0
J3A,LSX,15,1
J3B,LSX,16,1
N3C,LSX,17,0
N3D,LSX,18,0
N3G1,LSX,19,0
N3G2,LSX,20,0
N3G3,LSX,21,0
J4A,LSX,22,1
J4B,LSX,23,1
N4C,LSX,24,0
N4D,LSX,25,0
N4G1,LSX,26,0
N4G2,LSX,27,0
N4G3,LSX,28,0
J5A,LSX,29,1
J5B,LSX,30,1
N5C,LSX,31,0
N5D,LSX,32,0
N5G1,LSX,33,0
N5G2,LSX,34,0
N5G3,LSX,35,0
J6A,LSX,36,1
J6B,LSX,37,1
N6C,LSX,38,0
N6D,LSX,39,0
N6G1,LSX,40,0
N6G2,LSX,41,0
N6G3,LSX,42,0
J7A,LSX,43,1
J7B,LSX,44,1
N7C,LSX,45,0
N7D,LSX,46,0
N7G1,LSX,47,0
N7G2,LSX,48,0
N7G3,LSX,49,0
J8A,LSX,50,1
J8B,LSX,51,1
N8C,LSX,52,0
N8D,LSX,53,0
N8G1,LSX,54,0
N8G2,LSX,55,0
N8G3,LSX,56,0
J1A,LSY,1,1
J1B,LSY,2,1
S1C,LSY,3,0
S1D,LSY,4,0
S1G1,LSY,5,0
S1G2,LSY,6,0
S1G3,LSY,7,0
J2A,LSY,8,1
J2B,LSY,9,1
S2C,LSY,10,0
S2D,LSY,11,0
S2G1,LSY,12,0
S2G2,LSY,13,0
S2G3,LSY,14,0
J3A,LSY,15,1
J3B,LSY,16,1
S3C,LSY,17,0
S3D,LSY,18,0
S3G1,LSY,19,0
S3G2,LSY,20,0
S3G3,LSY,21,0
J4A,LSY,22,1
J4B,LSY,23,1
S4C,LSY,24,0
S4D,LSY,25,0
S4G1,LSY,26,0
S4G2,LSY,27,0
S4G3,LSY,28,0
J5A,LSY,29,1
J5B,LSY,30,1
S5C,LSY,31,0
S5D,LSY,32,0
S5G1,LSY,33,0
S5G2,LSY,34,0
S5G3,LSY,35,0
J6A,LSY,36,1
J6B,LSY,37,1
S6C,LSY,38,0
S6D,LSY,39,0
S6G1,LSY,40,0
S6G2,LSY,41,0
S6G3,LSY,42,0
J7A,LSY,43,1
J7B,LSY,44,1
S7C,LSY,45,0
S7D,LSY,46,0
S7G1,LSY,47,0
S7G2,LSY,48,0
S7G3,LSY,49,0
J8A,LSY,50,1
J8B,LSY,51,1
S8C,LSY,52,0
S8D,LSY,53,0
S8G1,LSY,54,0
S8G2,LSY,55,0
S8G3,LSY,56,0
