activity_id,week,location_id,co_share_group
R0101,1,PLAT:LSX:J1B:EB,M01W01
R0101,1,PLAT:LSX:N1C:EB,M01W01
R0101,1,SEC:LSX:J1B_N1C:EB,M01W01
R0101,2,PLAT:LSX:J1B:EB,M01W02
R0101,2,PLAT:LSX:N1C:EB,M01W02
R0101,2,SEC:LSX:J1B_N1C:EB,M01W02
R0101,3,PLAT:LSX:J1B:EB,M01W03
R0101,3,PLAT:LSX:N1C:EB,M01W03
R0101,3,SEC:LSX:J1B_N1C:EB,M01W03
R0102,4,PLAT:LSX:N1C:WB,M01W04
R0102,4,PLAT:LSX:N1D:WB,M01W04
R0102,4,SEC:LSX:N1C_N1D:WB,M01W04
R0102,5,PLAT:LSX:N1C:WB,M01W05
R0102,5,PLAT:LSX:N1D:WB,M01W05
R0102,5,SEC:LSX:N1C_N1D:WB,M01W05
R0104,7,PLAT:LSY:J1B:WB,M01W07
R0104,7,PLAT:LSY:S1C:WB,M01W07
R0104,7,PLAT:LSY:S1D:WB,M01W07
R0104,7,SEC:LSY:J1B_S1C:WB,M01W07
R0104,7,SEC:LSY:S1C_S1D:WB,M01W07
R0104,8,PLAT:LSY:J1B:WB,M01W08
R0104,8,PLAT:LSY:S1C:WB,M01W08
R0104,8,PLAT:LSY:S1D:WB,M01W08
R0104,8,SEC:LSY:J1B_S1C:WB,M01W08
R0104,8,SEC:LSY:S1C_S1D:WB,M01W08
R0105,9,PLAT:LSY:S1C:WB,M01W09
R0105,9,PLAT:LSY:S1D:WB,M01W09
R0105,9,SEC:LSY:S1C_S1D:WB,M01W09
R0106,10,PLAT:LSY:J1A:EB,M01W10
R0106,10,PLAT:LSY:J1B:EB,M01W10
R0106,10,SEC:LSY:J1A_J1B:EB,M01W10
R0106,11,PLAT:LSY:J1A:EB,M01W11
R0106,11,PLAT:LSY:J1B:EB,M01W11
R0106,11,SEC:LSY:J1A_J1B:EB,M01W11
R0107,12,PLAT:LSX:J1B:WB,M01W12
R0107,12,PLAT:LSX:N1C:WB,M01W12
R0107,12,PLAT:LSX:N1D:WB,M01W12
R0107,12,SEC:LSX:J1B_N1C:WB,M01W12
R0107,12,SEC:LSX:N1C_N1D:WB,M01W12
R0107,13,PLAT:LSX:J1B:WB,M01W13
R0107,13,PLAT:LSX:N1C:WB,M01W13
R0107,13,PLAT:LSX:N1D:WB,M01W13
R0107,13,SEC:LSX:J1B_N1C:WB,M01W13
R0107,13,SEC:LSX:N1C_N1D:WB,M01W13
R0108,14,PLAT:LSY:S1C:EB,M01W14
R0108,14,PLAT:LSY:S1D:EB,M01W14
R0108,14,SEC:LSY:S1C_S1D:EB,M01W14
R0109,4,PLAT:LSX:N1C:WB,M01W04
R0109,4,PLAT:LSX:N1D:WB,M01W04
R0109,4,SEC:LSX:N1C_N1D:WB,M01W04
R0109,5,PLAT:LSX:N1C:WB,M01W05
R0109,5,PLAT:LSX:N1D:WB,M01W05
R0109,5,SEC:LSX:N1C_N1D:WB,M01W05
R0201,1,PLAT:LSX:J2B:EB,M02W01
R0201,1,PLAT:LSX:N2C:EB,M02W01
R0201,1,SEC:LSX:J2B_N2C:EB,M02W01
R0201,2,PLAT:LSX:J2B:EB,M02W02
R0201,2,PLAT:LSX:N2C:EB,M02W02
R0201,2,SEC:LSX:J2B_N2C:EB,M02W02
R0201,3,PLAT:LSX:J2B:EB,M02W03
R0201,3,PLAT:LSX:N2C:EB,M02W03
R0201,3,SEC:LSX:J2B_N2C:EB,M02W03
R0202,4,PLAT:LSX:N2C:WB,M02W04
R0202,4,PLAT:LSX:N2D:WB,M02W04
R0202,4,SEC:LSX:N2C_N2D:WB,M02W04
R0202,5,PLAT:LSX:N2C:WB,M02W05
R0202,5,PLAT:LSX:N2D:WB,M02W05
R0202,5,SEC:LSX:N2C_N2D:WB,M02W05
R0203,6,PLAT:LSX:J2A:EB,M02W06
R0203,6,PLAT:LSX:J2B:EB,M02W06
R0203,6,SEC:LSX:J2A_J2B:EB,M02W06
R0204,7,PLAT:LSY:J2B:WB,M02W07
R0204,7,PLAT:LSY:S2C:WB,M02W07
R0204,7,PLAT:LSY:S2D:WB,M02W07
R0204,7,SEC:LSY:J2B_S2C:WB,M02W07
