contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
R14KMX1,R14 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R03KMY2,R03 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R03KMX1,R03 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R11KMX1,R11 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R15KMX2,R15 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R08KMY1,R08 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R09KMX1,R09 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R15KMY1,R15 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R01KMX2,R01 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R12KMY2,R12 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R13KMX2,R13 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R04KMX1,R04 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R15KMY2,R15 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R01KMY2,R01 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R01KMX1,R01 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R09KMY1,R09 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R16KMX1,R16 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R06KMX1,R06 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R12KMX1,R12 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R13KMY2,R13 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R01KMY1,R01 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R04KMY2,R04 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R09KMX2,R09 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R14KMX2,R14 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R10KMX1,R10 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R11KMX2,R11 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R05KMX1,R05 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R02KMY2,R02 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R05KMX2,R05 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R16KMY1,R16 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R04KMX2,R04 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R08KMX1,R08 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R02KMX1,R02 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R03KMX2,R03 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R07KMY2,R07 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R14KMY2,R14 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R06KMY2,R06 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R02KMY1,R02 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R10KMY1,R10 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R03KMY1,R03 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R08KMY2,R08 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R05KMY1,R05 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R06KMX2,R06 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R07KMX2,R07 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R16KMY2,R16 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R10KMX2,R10 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R07KMY1,R07 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R13KMX1,R13 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R06KMY1,R06 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R11KMY2,R11 Multipass contract MY2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R15KMX1,R15 Multipass contract MX1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R08KMX2,R08 Multipass contract MX2,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R11KMY1,R11 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
R12KMY1,R12 Multipass contract MY1,2034-06-01,Synthetic,Non-live (Others),1,2035-03-25,2035-01-07,1,PM,1
