activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
R13MY1,R13KMY1,Synthetic,SEC:R13MPY:R13MPY1_R13MPY2:EB,SEC:R13MPY:R13MPY1_R13MPY2:EB,3,2035-01-01,,1
R10MY2,R10KMY2,Synthetic,SEC:R10MPY:R10MPY1_R10MPY2:EB,SEC:R10MPY:R10MPY1_R10MPY2:EB,3,2035-01-01,,1
R12MY1,R12KMY1,Synthetic,SEC:R12MPY:R12MPY1_R12MPY2:EB,SEC:R12MPY:R12MPY1_R12MPY2:EB,3,2035-01-01,,1
R06MY1,R06KMY1,Synthetic,SEC:R06MPY:R06MPY1_R06MPY2:EB,SEC:R06MPY:R06MPY1_R06MPY2:EB,3,2035-01-01,,1
R15MX1,R15KMX1,Synthetic,SEC:R15MPX:R15MPX1_R15MPX2:EB,SEC:R15MPX:R15MPX1_R15MPX2:EB,3,2035-01-01,,1
R04MX1,R04KMX1,Synthetic,SEC:R04MPX:R04MPX1_R04MPX2:EB,SEC:R04MPX:R04MPX1_R04MPX2:EB,3,2035-01-01,,1
R11MY2,R11KMY2,Synthetic,SEC:R11MPY:R11MPY1_R11MPY2:EB,SEC:R11MPY:R11MPY1_R11MPY2:EB,3,2035-01-01,,1
R16MY1,R16KMY1,Synthetic,SEC:R16MPY:R16MPY1_R16MPY2:EB,SEC:R16MPY:R16MPY1_R16MPY2:EB,3,2035-01-01,,1
R14MY2,R14KMY2,Synthetic,SEC:R14MPY:R14MPY1_R14MPY2:EB,SEC:R14MPY:R14MPY1_R14MPY2:EB,3,2035-01-01,,1
R03MX1,R03KMX1,Synthetic,SEC:R03MPX:R03MPX1_R03MPX2:EB,SEC:R03MPX:R03MPX1_R03MPX2:EB,3,2035-01-01,,1
R08MX1,R08KMX1,Synthetic,SEC:R08MPX:R08MPX1_R08MPX2:EB,SEC:R08MPX:R08MPX1_R08MPX2:EB,3,2035-01-01,,1
R09MX2,R09KMX2,Synthetic,SEC:R09MPX:R09MPX1_R09MPX2:EB,SEC:R09MPX:R09MPX1_R09MPX2:EB,3,2035-01-01,,1
R01MY1,R01KMY1,Synthetic,SEC:R01MPY:R01MPY1_R01MPY2:EB,SEC:R01MPY:R01MPY1_R01MPY2:EB,3,2035-01-01,,1
R15MY2,R15KMY2,Synthetic,SEC:R15MPY:R15MPY1_R15MPY2:EB,SEC:R15MPY:R15MPY1_R15MPY2:EB,3,2035-01-01,,1
R15MX2,R15KMX2,Synthetic,SEC:R15MPX:R15MPX1_R15MPX2:EB,SEC:R15MPX:R15MPX1_R15MPX2:EB,3,2035-01-01,,1
R06MX1,R06KMX1,Synthetic,SEC:R06MPX:R06MPX1_R06MPX2:EB,SEC:R06MPX:R06MPX1_R06MPX2:EB,3,2035-01-01,,1
