activity_id,week,location_id,co_share_group
DIRECT,2,PLAT:LNX:N3:EB,DIRECT_W02
DIRECT,2,PLAT:LNX:X2:EB,DIRECT_W02
DIRECT,2,SEC:LNX:X2_N3:EB,DIRECT_W02
DIRECT,3,PLAT:LNX:N3:EB,DIRECT_W03
DIRECT,3,PLAT:LNX:X2:EB,DIRECT_W03
DIRECT,3,SEC:LNX:X2_N3:EB,DIRECT_W03
DIRECT,4,PLAT:LNX:N3:EB,DIRECT_W04
DIRECT,4,PLAT:LNX:X2:EB,DIRECT_W04
DIRECT,4,SEC:LNX:X2_N3:EB,DIRECT_W04
COMP,5,PLAT:LNX:N3:EB,COMP_W05
COMP,5,PLAT:LNX:X2:EB,COMP_W05
COMP,5,SEC:LNX:X2_N3:EB,COMP_W05
FOLLOW,6,PLAT:LNY:S3:WB,FOLLOW_W06
FOLLOW,6,PLAT:LNY:S4:WB,FOLLOW_W06
FOLLOW,6,PLAT:LNY:X2:WB,FOLLOW_W06
FOLLOW,6,SEC:LNY:S3_S4:WB,FOLLOW_W06
FOLLOW,6,SEC:LNY:X2_S3:WB,FOLLOW_W06
PEER,4,PLAT:LNY:S3:EB,PEER_W04
PEER,4,PLAT:LNY:S4:EB,PEER_W04
PEER,4,SEC:LNY:S3_S4:EB,PEER_W04
