activity_id,week,location_id,co_share_group
MX1,2,PLAT:MPX:MPX1:EB,g1
MX1,2,PLAT:MPX:MPX2:EB,g1
MX1,2,SEC:MPX:MPX1_MPX2:EB,g1
MX1,3,PLAT:MPX:MPX1:EB,g1
MX1,3,PLAT:MPX:MPX2:EB,g1
MX1,3,SEC:MPX:MPX1_MPX2:EB,g1
MX1,4,PLAT:MPX:MPX1:EB,g1
MX1,4,PLAT:MPX:MPX2:EB,g1
MX1,4,SEC:MPX:MPX1_MPX2:EB,g1
MX2,4,PLAT:MPX:MPX1:EB,g2
MX2,4,PLAT:MPX:MPX2:EB,g2
MX2,4,SEC:MPX:MPX1_MPX2:EB,g2
MX2,5,PLAT:MPX:MPX1:EB,g1
MX2,5,PLAT:MPX:MPX2:EB,g1
MX2,5,SEC:MPX:MPX1_MPX2:EB,g1
MX2,6,PLAT:MPX:MPX1:EB,g1
MX2,6,PLAT:MPX:MPX2:EB,g1
MX2,6,SEC:MPX:MPX1_MPX2:EB,g1
MY1,7,PLAT:MPY:MPY1:EB,g1
MY1,7,PLAT:MPY:MPY2:EB,g1
MY1,7,SEC:MPY:MPY1_MPY2:EB,g1
MY1,8,PLAT:MPY:MPY1:EB,g1
MY1,8,PLAT:MPY:MPY2:EB,g1
MY1,8,SEC:MPY:MPY1_MPY2:EB,g1
MY1,9,PLAT:MPY:MPY1:EB,g1
MY1,9,PLAT:MPY:MPY2:EB,g1
MY1,9,SEC:MPY:MPY1_MPY2:EB,g1
MY2,11,PLAT:MPY:MPY1:EB,g1
MY2,11,PLAT:MPY:MPY2:EB,g1
MY2,11,SEC:MPY:MPY1_MPY2:EB,g1
MY2,12,PLAT:MPY:MPY1:EB,g1
MY2,12,PLAT:MPY:MPY2:EB,g1
MY2,12,SEC:MPY:MPY1_MPY2:EB,g1
MY2,13,PLAT:MPY:MPY1:EB,g1
MY2,13,PLAT:MPY:MPY2:EB,g1
MY2,13,SEC:MPY:MPY1_MPY2:EB,g1
