activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
R0101,Z0101,ScaledSynthetic,SEC:LSX:J1B_N1C:EB,SEC:LSX:J1B_N1C:EB,3,2031-01-06,,3
R0102,Z0102,ScaledSynthetic,SEC:LSX:N1C_N1D:WB,SEC:LSX:N1C_N1D:WB,2,2031-01-27,,2
R0103,Z0103,ScaledSynthetic,SEC:LSX:J1A_J1B:EB,SEC:LSX:J1A_J1B:EB,1,2031-02-10,,1
R0104,Z0104,ScaledSynthetic,SEC:LSY:J1B_S1C:WB,SEC:LSY:S1C_S1D:WB,2,2031-02-17,,2
R0105,Z0104,ScaledSynthetic,SEC:LSY:S1C_S1D:WB,SEC:LSY:S1C_S1D:WB,1,2031-03-03,R0104,1
R0106,Z0105,ScaledSynthetic,SEC:LSY:J1A_J1B:EB,SEC:LSY:J1A_J1B:EB,2,2031-03-10,,2
R0107,Z0106,ScaledSynthetic,SEC:LSX:J1B_N1C:WB,SEC:LSX:N1C_N1D:WB,2,2031-03-24,,3
R0108,Z0107,ScaledSynthetic,SEC:LSY:S1C_S1D:EB,SEC:LSY:S1C_S1D:EB,1,2031-04-07,,1
R0109,Z0108,ScaledSynthetic,SEC:LSX:N1C_N1D:WB,SEC:LSX:N1C_N1D:WB,2,2031-01-27,,2
R0201,Z0201,ScaledSynthetic,SEC:LSX:J2B_N2C:EB,SEC:LSX:J2B_N2C:EB,3,2031-01-06,,3
R0202,Z0202,ScaledSynthetic,SEC:LSX:N2C_N2D:WB,SEC:LSX:N2C_N2D:WB,2,2031-01-27,,2
R0203,Z0203,ScaledSynthetic,SEC:LSX:J2A_J2B:EB,SEC:LSX:J2A_J2B:EB,1,2031-02-10,,1
R0204,Z0204,ScaledSynthetic,SEC:LSY:J2B_S2C:WB,SEC:LSY:S2C_S2D:WB,2,2031-02-17,,2
R0205,Z0204,ScaledSynthetic,SEC:LSY:S2C_S2D:WB,SEC:LSY:S2C_S2D:WB,1,2031-03-03,R0204,1
R0206,Z0205,ScaledSynthetic,SEC:LSY:J2A_J2B:EB,SEC:LSY:J2A_J2B:EB,2,2031-03-10,,2
R0207,Z0206,ScaledSynthetic,SEC:LSX:J2B_N2C:WB,SEC:LSX:N2C_N2D:WB,2,2031-03-24,,3
R0208,Z0207,ScaledSynthetic,SEC:LSY:S2C_S2D:EB,SEC:LSY:S2C_S2D:EB,1,2031-04-07,,1
R0209,Z0208,ScaledSynthetic,SEC:LSX:N2C_N2D:WB,SEC:LSX:N2C_N2D:WB,2,2031-01-27,,2
R0301,Z0301,ScaledSynthetic,SEC:LSX:J3B_N3C:EB,SEC:LSX:J3B_N3C:EB,3,2031-01-06,,3
R0302,Z0302,ScaledSynthetic,SEC:LSX:N3C_N3D:WB,SEC:LSX:N3C_N3D:WB,2,2031-01-27,,2
R0303,Z0303,ScaledSynthetic,SEC:LSX:J3A_J3B:EB,SEC:LSX:J3A_J3B:EB,1,2031-02-10,,1
R0304,Z0304,ScaledSynthetic,SEC:LSY:J3B_S3C:WB,SEC:LSY:S3C_S3D:WB,2,2031-02-17,,2
R0305,Z0304,ScaledSynthetic,SEC:LSY:S3C_S3D:WB,SEC:LSY:S3C_S3D:WB,1,2031-03-03,R0304,1
R0306,Z0305,ScaledSynthetic,SEC:LSY:J3A_J3B:EB,SEC:LSY:J3A_J3B:EB,2,2031-03-10,,2
R0307,Z0306,ScaledSynthetic,SEC:LSX:J3B_N3C:WB,SEC:LSX:N3C_N3D:WB,2,2031-03-24,,3
R0308,Z0307,ScaledSynthetic,SEC:LSY:S3C_S3D:EB,SEC:LSY:S3C_S3D:EB,1,2031-04-07,,1
R0309,Z0308,ScaledSynthetic,SEC:LSX:N3C_N3D:WB,SEC:LSX:N3C_N3D:WB,2,2031-01-27,,2
R0401,Z0401,ScaledSynthetic,SEC:LSX:J4B_N4C:EB,SEC:LSX:J4B_N4C:EB,3,2031-01-06,,3
R0402,Z0402,ScaledSynthetic,SEC:LSX:N4C_N4D:WB,SEC:LSX:N4C_N4D:WB,2,2031-01-27,,2
R0403,Z0403,ScaledSynthetic,SEC:LSX:J4A_J4B:EB,SEC:LSX:J4A_J4B:EB,1,2031-02-10,,1
R0404,Z0404,ScaledSynthetic,SEC:LSY:J4B_S4C:WB,SEC:LSY:S4C_S4D:WB,2,2031-02-17,,2
R0405,Z0404,ScaledSynthetic,SEC:LSY:S4C_S4D:WB,SEC:LSY:S4C_S4D:WB,1,2031-03-03,R0404,1
R0406,Z0405,ScaledSynthetic,SEC:LSY:J4A_J4B:EB,SEC:LSY:J4A_J4B:EB,2,2031-03-10,,2
R0407,Z0406,ScaledSynthetic,SEC:LSX:J4B_N4C:WB,SEC:LSX:N4C_N4D:WB,2,2031-03-24,,3
R0408,Z0407,ScaledSynthetic,SEC:LSY:S4C_S4D:EB,SEC:LSY:S4C_S4D:EB,1,2031-04-07,,1
R0409,Z0408,ScaledSynthetic,SEC:LSX:N4C_N4D:WB,SEC:LSX:N4C_N4D:WB,2,2031-01-27,,2
R0501,Z0501,ScaledSynthetic,SEC:LSX:J5B_N5C:EB,SEC:LSX:J5B_N5C:EB,3,2031-01-06,,3
R0502,Z0502,ScaledSynthetic,SEC:LSX:N5C_N5D:WB,SEC:LSX:N5C_N5D:WB,2,2031-01-27,,2
R0503,Z0503,ScaledSynthetic,SEC:LSX:J5A_J5B:EB,SEC:LSX:J5A_J5B:EB,1,2031-02-10,,1
R0504,Z0504,ScaledSynthetic,SEC:LSY:J5B_S5C:WB,SEC:LSY:S5C_S5D:WB,2,2031-02-17,,2
R0505,Z0504,ScaledSynthetic,SEC:LSY:S5C_S5D:WB,SEC:LSY:S5C_S5D:WB,1,2031-03-03,R0504,1
R0506,Z0505,ScaledSynthetic,SEC:LSY:J5A_J5B:EB,SEC:LSY:J5A_J5B:EB,2,2031-03-10,,2
R0507,Z0506,ScaledSynthetic,SEC:LSX:J5B_N5C:WB,SEC:LSX:N5C_N5D:WB,2,2031-03-24,,3
R0508,Z0507,ScaledSynthetic,SEC:LSY:S5C_S5D:EB,SEC:LSY:S5C_S5D:EB,1,2031-04-07,,1
