activity_id,week,location_id,co_share_group
Q001,1,PLAT:LNX:N3:EB,G01
Q001,1,PLAT:LNX:X2:EB,G01
Q001,1,SEC:LNX:X2_N3:EB,G01
Q001,2,PLAT:LNX:N3:EB,G02
Q001,2,PLAT:LNX:X2:EB,G02
Q001,2,SEC:LNX:X2_N3:EB,G02
Q001,3,PLAT:LNX:N3:EB,G03
Q001,3,PLAT:LNX:X2:EB,G03
Q001,3,SEC:LNX:X2_N3:EB,G03
Q002,4,PLAT:LNX:N3:WB,G04
Q002,4,PLAT:LNX:N4:WB,G04
Q002,4,SEC:LNX:N3_N4:WB,G04
Q002,5,PLAT:LNX:N3:WB,G05
Q002,5,PLAT:LNX:N4:WB,G05
Q002,5,SEC:LNX:N3_N4:WB,G05
Q009,4,PLAT:LNX:N3:WB,G04
Q009,4,PLAT:LNX:N4:WB,G04
Q009,4,SEC:LNX:N3_N4:WB,G04
Q009,5,PLAT:LNX:N3:WB,G05
Q009,5,PLAT:LNX:N4:WB,G05
Q009,5,SEC:LNX:N3_N4:WB,G05
Q003,6,PLAT:LNX:X1:EB,G06
Q003,6,PLAT:LNX:X2:EB,G06
Q003,6,SEC:LNX:X1_X2:EB,G06
Q004,7,PLAT:LNY:S3:WB,G07
Q004,7,PLAT:LNY:S4:WB,G07
Q004,7,PLAT:LNY:X2:WB,G07
Q004,7,SEC:LNY:S3_S4:WB,G07
Q004,7,SEC:LNY:X2_S3:WB,G07
Q004,8,PLAT:LNY:S3:WB,G08
Q004,8,PLAT:LNY:S4:WB,G08
Q004,8,PLAT:LNY:X2:WB,G08
Q004,8,SEC:LNY:S3_S4:WB,G08
Q004,8,SEC:LNY:X2_S3:WB,G08
Q005,9,PLAT:LNY:S3:WB,G09
Q005,9,PLAT:LNY:S4:WB,G09
Q005,9,SEC:LNY:S3_S4:WB,G09
Q006,10,PLAT:LNY:X1:EB,G10
Q006,10,PLAT:LNY:X2:EB,G10
Q006,10,SEC:LNY:X1_X2:EB,G10
Q006,11,PLAT:LNY:X1:EB,G11
Q006,11,PLAT:LNY:X2:EB,G11
Q006,11,SEC:LNY:X1_X2:EB,G11
Q007,12,PLAT:LNX:N3:WB,G12
Q007,12,PLAT:LNX:N4:WB,G12
Q007,12,PLAT:LNX:X2:WB,G12
Q007,12,SEC:LNX:N3_N4:WB,G12
Q007,12,SEC:LNX:X2_N3:WB,G12
Q007,13,PLAT:LNX:N3:WB,G13
Q007,13,PLAT:LNX:N4:WB,G13
Q007,13,PLAT:LNX:X2:WB,G13
Q007,13,SEC:LNX:N3_N4:WB,G13
Q007,13,SEC:LNX:X2_N3:WB,G13
Q008,14,PLAT:LNY:S3:EB,G14
Q008,14,PLAT:LNY:S4:EB,G14
Q008,14,SEC:LNY:S3_S4:EB,G14
Q010,15,SEC:LNZ:Z3_Z4:EB,G15
Q010,15,PLAT:LNZ:Z3:EB,G15
Q010,15,PLAT:LNZ:Z4:EB,G15
