activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,2,2027-05-24,,2
A002,C001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-01-04,,3
A003,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,5,2027-03-15,,1
A004,C001,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,3,2027-04-12,A003,2
A006,C001,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,2,2027-01-11,,2
A007,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,7,2027-04-12,,1
A008,C002,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,5,2027-04-19,,1
A009,C002,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,7,2027-01-11,,3
A011,C002,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,2,2027-04-12,,2
A012,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,7,2027-01-11,,1
