activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A003,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,5,2027-03-15,A037,2
A073,C012,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-05-17,,3
A014,C003,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,6,2027-03-22,,1
A063,C010,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,1,2027-01-18,,3
A020,C003,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,2,2027-03-22,A006,3
A017,C003,Construction,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,7,2027-04-26,A009,2
A039,C006,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,7,2027-02-22,,1
A042,C007,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,2,2027-05-24,,2
A060,C010,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-03-29,,2
A071,C011,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,1,2027-04-05,,1
A058,C010,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,6,2027-01-04,,2
A046,C007,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,4,2027-02-15,,2
A011,C002,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,2,2027-03-29,A020,3
A070,C011,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,5,2027-03-08,,1
A001,C001,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,2,2027-05-17,A050,1
A043,C007,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,2,2027-03-22,,1
A041,C007,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-03-08,,3
A055,C009,Construction,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,1,2027-04-05,,2
A047,C008,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,2,2027-03-29,,2
A057,C009,Construction,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,7,2027-03-29,,3
A054,C009,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-04-26,,1
A048,C008,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2026-12-21,,2
A037,C006,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,2,2027-02-15,,2
A074,C013,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-05-03,,1
A012,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,6,2027-01-11,,2
A049,C008,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,5,2027-02-08,A048,3
A002,C001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2026-12-21,,3
A075,C014,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,1,2027-05-31,,2
A013,C002,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,5,2027-05-17,A012,3
A036,C006,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,7,2027-05-24,,3
A021,C004,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,3,2027-01-04,,2
A064,C010,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,1,2027-04-05,,3
A050,C008,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-04-19,,3
A007,C001,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,6,2027-03-29,A063,3
A038,C006,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,2,2027-01-18,A037,2
A004,C001,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,3,2027-03-29,A003,3
A006,C001,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,1,2027-01-04,A002,1
A051,C008,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,2,2027-06-14,A050,3
