contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
KGPC1,B excess budget GPC1,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,PC,1
KGPC2,B excess budget GPC2,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,PC,1
KGPC3,B excess budget GPC3,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,PC,1
KGPC4,B excess budget GPC4,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,PC,1
KGPC5,B excess budget GPC5,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,PC,1
KGPC6,B excess budget GPC6,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,PC,1
KGPC7,B excess budget GPC7,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,PC,1
KGC12,B excess budget GC12,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,C,1
KGC23,B excess budget GC23,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,C,1
KGC34,B excess budget GC34,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,C,1
KGC45,B excess budget GC45,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,C,1
KGC56,B excess budget GC56,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,C,1
KGC67,B excess budget GC67,2035-06-01,BudgetCap,Non-live (Consist),3,2036-01-13,2036-01-13,1,C,1
