activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
GPC1,KGPC1,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GPC2,KGPC2,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GPC3,KGPC3,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GPC4,KGPC4,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GPC5,KGPC5,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GPC6,KGPC6,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GPC7,KGPC7,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GC12,KGC12,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GC23,KGC23,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GC34,KGC34,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GC45,KGC45,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GC56,KGC56,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
GC67,KGC67,BudgetCap,SEC:LBG:G1_G2:EB,SEC:LBG:G1_G2:EB,1,2036-01-07,,3
