activity_id,week,location_id,co_share_group
GPC1,1,SEC:LBG:G1_G2:EB,g1
GPC1,1,PLAT:LBG:G1:EB,g1
GPC1,1,PLAT:LBG:G2:EB,g1
GPC2,1,SEC:LBG:G1_G2:EB,g2
GPC2,1,PLAT:LBG:G1:EB,g2
GPC2,1,PLAT:LBG:G2:EB,g2
GPC3,1,SEC:LBG:G1_G2:EB,g3
GPC3,1,PLAT:LBG:G1:EB,g3
GPC3,1,PLAT:LBG:G2:EB,g3
GPC4,1,SEC:LBG:G1_G2:EB,g4
GPC4,1,PLAT:LBG:G1:EB,g4
GPC4,1,PLAT:LBG:G2:EB,g4
GPC5,1,SEC:LBG:G1_G2:EB,g5
GPC5,1,PLAT:LBG:G1:EB,g5
GPC5,1,PLAT:LBG:G2:EB,g5
GPC6,1,SEC:LBG:G1_G2:EB,g6
GPC6,1,PLAT:LBG:G1:EB,g6
GPC6,1,PLAT:LBG:G2:EB,g6
GPC7,1,SEC:LBG:G1_G2:EB,g7
GPC7,1,PLAT:LBG:G1:EB,g7
GPC7,1,PLAT:LBG:G2:EB,g7
GC12,1,SEC:LBG:G1_G2:EB,g1
GC12,1,PLAT:LBG:G1:EB,g2
GC12,1,PLAT:LBG:G2:EB,g1
GC23,1,SEC:LBG:G1_G2:EB,g2
GC23,1,PLAT:LBG:G1:EB,g3
GC23,1,PLAT:LBG:G2:EB,g2
GC34,1,SEC:LBG:G1_G2:EB,g3
GC34,1,PLAT:LBG:G1:EB,g4
GC34,1,PLAT:LBG:G2:EB,g3
GC45,1,SEC:LBG:G1_G2:EB,g4
GC45,1,PLAT:LBG:G1:EB,g5
GC45,1,PLAT:LBG:G2:EB,g4
GC56,1,SEC:LBG:G1_G2:EB,g5
GC56,1,PLAT:LBG:G1:EB,g6
GC56,1,PLAT:LBG:G2:EB,g5
GC67,1,SEC:LBG:G1_G2:EB,g6
GC67,1,PLAT:LBG:G1:EB,g7
GC67,1,PLAT:LBG:G2:EB,g6
