activity_id,access_seq,week,eclo,access_night
A001,1,22,0,1
A001,2,23,0,3
A002,1,1,0,1
A003,1,11,0,1
A003,2,12,0,1
A003,3,13,0,1
A003,4,15,0,2
A003,5,16,0,3
A004,1,18,0,1
A004,2,19,0,2
A004,3,20,0,1
A006,1,3,0,1
A006,2,5,0,1
A007,1,15,0,3
A007,2,16,0,3
A007,3,17,0,1
A007,4,18,0,2
A007,5,19,0,2
A007,6,20,0,2
A007,7,21,0,2
A008,1,16,0,2
A008,2,17,0,1
A008,3,18,0,1
A008,4,19,0,1
A008,5,20,0,1
A009,1,2,0,2
A009,2,3,0,2
A009,3,4,0,2
A009,4,5,0,2
A009,5,6,0,2
A009,6,7,0,2
A009,7,8,0,2
A011,1,15,0,1
A011,2,16,0,1
A012,1,2,0,1
A012,2,3,0,1
A012,3,4,0,1
A012,4,5,0,1
A012,5,6,0,1
A012,6,7,0,1
A012,7,8,0,1
