activity_id,access_seq,week,eclo,access_night
A001,1,22,0,2
A001,2,23,0,3
A002,1,1,0,1
A003,1,12,0,1
A003,2,13,0,1
A003,3,14,0,1
A003,4,15,0,2
A003,5,16,0,1
A004,1,17,0,1
A004,2,19,0,3
A004,3,21,0,1
A006,1,2,0,1
A006,2,5,0,1
A007,1,15,0,2
A007,2,16,0,3
A007,3,17,0,1
A007,4,18,0,2
A007,5,21,0,2
A007,6,22,0,2
A007,7,23,0,1
A008,1,16,0,2
A008,2,17,0,1
A008,3,18,0,1
A008,4,19,0,1
A008,5,20,0,1
A009,1,2,0,2
A009,2,3,0,2
A009,3,4,0,2
A009,4,5,0,2
A009,5,6,0,2
A009,6,7,0,2
A009,7,8,0,2
A011,1,15,0,1
A011,2,16,0,1
A012,1,2,0,1
A012,2,3,0,1
A012,3,4,0,1
A012,4,5,0,1
A012,5,6,0,1
A012,6,7,0,1
A012,7,8,0,1
A013,1,21,0,1
A013,2,22,0,1
A013,3,23,0,1
A013,4,25,0,1
A013,5,26,0,1
A014,1,13,0,2
A014,2,14,0,2
A014,3,15,0,1
A014,4,16,0,1
A014,5,17,0,2
A014,6,18,0,2
A014,7,19,0,2
A017,1,17,0,1
A017,2,18,0,1
A017,3,19,0,1
A017,4,20,0,1
A017,5,21,0,1
A017,6,22,0,1
A017,7,23,0,1
A019,1,11,0,1
A019,2,12,0,1
A020,1,13,0,1
A020,2,14,0,1
A021,1,3,0,1
A021,2,6,0,1
A021,3,7,0,1
A023,1,21,0,1
A023,2,22,0,1
A023,3,23,0,1
A023,4,24,0,1
A023,5,25,0,1
A023,6,26,0,1
A023,7,27,0,1
A025,1,8,0,1
A025,2,9,0,1
A025,3,12,0,1
A025,4,13,0,1
A025,5,14,0,1
A025,6,15,0,1
A025,7,16,0,1
A028,1,10,0,1
A028,2,11,0,1
A031,1,2,0,1
A031,2,5,0,1
