activity_id,access_seq,week,eclo,access_night
Z501,1,22,0,3
Z501,2,23,0,2
Z502,1,23,0,2
Z503,1,11,0,1
Z503,2,13,0,1
Z503,3,14,0,1
Z503,4,15,0,1
Z503,5,17,0,2
Z504,1,18,0,3
Z504,2,19,0,2
Z504,3,20,0,1
Z505,1,3,0,1
Z505,2,4,0,1
Z506,1,15,0,1
Z506,2,16,0,1
Z506,3,18,0,3
Z506,4,20,0,1
Z506,5,21,0,1
Z506,6,22,0,3
Z506,7,23,0,1
Z507,1,17,0,2
Z507,2,18,0,1
Z507,3,19,0,1
Z507,4,25,0,2
Z507,5,26,0,2
Z508,1,2,0,2
Z508,2,3,0,2
Z508,3,5,0,2
Z508,4,9,0,1
Z508,5,10,0,1
Z508,6,16,0,1
Z508,7,25,0,3
Z509,1,15,0,2
Z509,2,22,0,1
Z510,1,2,0,3
Z510,2,9,0,2
Z510,3,10,0,2
Z510,4,11,0,3
Z510,5,12,0,1
Z510,6,13,0,1
Z510,7,14,0,1
Z511,1,21,0,2
Z511,2,22,0,3
Z511,3,23,0,3
Z511,4,24,0,2
Z511,5,26,0,1
Z512,1,13,0,3
Z512,2,18,0,2
Z512,3,19,0,1
Z512,4,20,0,2
Z512,5,21,0,1
Z512,6,23,0,3
Z512,7,26,0,3
Z513,1,17,0,1
Z513,2,18,0,1
Z513,3,20,0,1
Z513,4,21,0,3
Z513,5,22,0,3
Z513,6,23,0,1
Z513,7,26,0,2
Z514,1,11,0,1
Z514,2,13,0,1
Z515,1,14,0,3
Z515,2,24,0,1
Z516,1,27,0,1
Z516,2,28,0,1
Z516,3,29,0,3
Z517,1,21,0,1
Z517,2,22,0,1
Z517,3,23,0,1
Z517,4,25,0,1
Z517,5,27,0,3
Z517,6,28,0,3
Z517,7,29,0,2
Z518,1,14,0,1
Z518,2,15,0,1
Z518,3,16,0,1
Z518,4,17,0,1
Z518,5,18,0,1
Z518,6,19,0,1
Z518,7,29,0,1
Z519,1,10,0,1
Z519,2,11,0,1
Z520,1,2,0,1
Z520,2,3,0,1
Z521,1,3,0,1
Z521,2,4,0,1
Z521,3,18,0,2
Z522,1,22,0,1
Z522,2,23,0,1
Z522,3,24,0,2
Z522,4,25,0,1
Z522,5,26,0,1
Z522,6,27,0,1
Z522,7,28,0,3
Z523,1,9,0,3
Z523,2,10,0,1
Z524,1,17,0,1
Z524,2,18,0,1
Z524,3,22,0,2
Z525,1,8,0,1
Z525,2,13,0,1
Z525,3,14,0,1
Z525,4,15,0,2
Z525,5,17,0,2
Z525,6,19,0,1
Z525,7,26,0,3
Z526,1,13,0,3
Z526,2,16,0,1
Z526,3,17,0,1
Z526,4,18,0,3
Z526,5,20,0,1
Z526,6,21,0,1
Z526,7,27,0,1
Z527,1,13,0,2
Z527,2,27,0,3
Z528,1,23,0,1
Z528,2,24,0,2
Z528,3,26,0,2
Z529,1,13,0,1
Z529,2,24,0,1
Z530,1,10,0,1
Z530,2,12,0,1
Z530,3,14,0,2
Z530,4,15,0,2
Z530,5,18,0,1
Z531,1,13,0,3
Z531,2,16,0,2
Z532,1,1,0,1
Z532,2,2,0,1
Z532,3,3,0,1
Z533,1,12,0,3
Z533,2,13,0,1
Z533,3,14,0,1
Z533,4,15,0,1
Z533,5,16,0,1
Z534,1,17,0,2
Z534,2,18,0,1
Z535,1,27,0,1
Z535,2,28,0,1
Z536,1,17,0,2
Z536,2,22,0,3
Z537,1,24,0,1
Z538,1,20,0,2
Z538,2,25,0,3
Z539,1,16,0,3
Z539,2,17,0,1
Z539,3,18,0,2
Z539,4,21,0,1
Z539,5,22,0,1
Z539,6,23,0,1
Z539,7,25,0,1
Z540,1,2,0,1
Z540,2,3,0,1
Z540,3,6,0,1
Z540,4,7,0,1
Z540,5,8,0,1
Z540,6,9,0,1
Z540,7,10,0,1
Z541,1,14,0,1
Z541,2,15,0,1
Z541,3,16,0,1
Z541,4,17,0,2
Z541,5,18,0,3
Z541,6,19,0,1
Z541,7,20,0,1
Z542,1,13,0,1
Z542,2,14,0,1
Z542,3,15,0,1
Z543,1,6,0,1
Z543,2,7,0,1
Z543,3,8,0,1
Z543,4,9,0,1
Z543,5,10,0,1
Z543,6,11,0,1
Z543,7,12,0,2
Z544,1,6,0,3
Z545,1,16,0,2
Z546,1,19,0,1
Z547,1,27,0,1
Z548,1,10,0,1
Z548,2,20,0,2
Z549,1,14,0,1
Z549,2,16,0,1
Z549,3,17,0,1
Z549,4,20,0,1
Z549,5,24,0,2
Z550,1,24,0,3
Z551,1,25,0,2
Z552,1,27,0,3
Z553,1,19,0,1
Z554,1,29,0,1
