activity_id,access_seq,week,eclo,access_night
A001,1,22,0,3
A001,2,23,0,1
A002,1,5,0,1
A003,1,11,0,1
A003,2,12,0,1
A003,3,13,0,2
A003,4,14,0,2
A003,5,15,0,1
A004,1,18,0,1
A004,2,19,0,2
A004,3,20,0,1
A006,1,14,0,3
A007,1,17,0,1
A007,2,18,0,1
A007,3,20,0,2
A007,4,21,0,1
A007,5,22,0,2
A007,6,23,0,3
A008,1,21,0,3
A008,2,22,0,1
A008,3,24,0,1
A008,4,25,0,1
A008,5,26,0,3
A009,1,6,0,2
A009,2,10,0,1
A009,3,11,0,3
A009,4,13,0,1
A009,5,14,0,3
A009,6,15,0,1
A009,7,16,0,2
A011,1,21,0,1
A011,2,25,0,2
A012,1,9,0,1
A012,2,11,0,1
A012,3,13,0,2
A012,4,14,0,2
A012,5,18,0,3
A012,6,20,0,2
A013,1,22,0,2
A013,2,23,0,1
A013,3,24,0,3
A013,4,25,0,3
A013,5,26,0,1
A014,1,13,0,3
A014,2,21,0,3
A014,3,22,0,1
A014,4,23,0,3
A014,5,24,0,3
A014,6,26,0,2
A017,1,17,0,2
A017,2,18,0,3
A017,3,20,0,2
A017,4,21,0,1
A017,5,22,0,3
A017,6,23,0,1
A017,7,25,0,2
A019,1,20,0,3
A019,2,24,0,2
A020,1,16,0,3
A020,2,20,0,1
A021,1,6,0,1
A021,2,8,0,3
A021,3,14,0,2
A023,1,21,0,1
A023,2,22,0,1
A023,3,23,0,2
A023,4,24,0,3
A023,5,25,0,3
A023,6,26,0,1
A025,1,8,0,1
A025,2,13,0,1
A025,3,14,0,1
A025,4,15,0,2
A025,5,16,0,1
A025,6,17,0,1
A025,7,22,0,3
A028,1,9,0,1
A028,2,10,0,1
A031,1,8,0,1
A031,2,9,0,1
A035,1,1,0,1
A035,2,8,0,2
A035,3,9,0,2
A036,1,21,0,3
A036,2,22,0,1
A036,3,23,0,2
A036,4,24,0,1
A036,5,25,0,1
A036,6,26,0,3
A036,7,27,0,3
A037,1,7,0,2
A037,2,9,0,1
A038,1,21,0,1
A038,2,25,0,3
A039,1,8,0,3
A039,2,10,0,3
A039,3,11,0,1
A039,4,12,0,2
A039,5,15,0,1
A039,6,16,0,2
A039,7,17,0,2
A040,1,13,0,2
A040,2,15,0,2
A040,3,16,0,2
A040,4,18,0,2
A040,5,20,0,3
A040,6,23,0,2
A040,7,25,0,1
A041,1,11,0,1
A042,1,21,0,3
A042,2,22,0,2
A043,1,13,0,1
A043,2,24,0,1
A046,1,8,0,1
A046,2,16,0,3
A046,3,21,0,2
A046,4,27,0,2
A047,1,23,0,3
A047,2,25,0,3
A048,1,10,0,3
A048,2,11,0,3
A048,3,13,0,1
A049,1,14,0,1
A049,2,15,0,3
A049,3,16,0,2
A049,4,21,0,2
A049,5,23,0,1
A050,1,16,0,1
A050,2,21,0,1
A051,1,24,0,1
A051,2,28,0,1
A054,1,18,0,3
A055,1,22,0,3
A056,1,18,0,2
A056,2,23,0,2
A057,1,14,0,3
A057,2,15,0,3
A057,3,16,0,3
A057,4,17,0,1
A057,5,18,0,1
A057,6,24,0,3
A057,7,25,0,3
A058,1,8,0,1
A058,2,9,0,2
A058,3,12,0,1
A058,4,15,0,3
A058,5,16,0,1
A058,6,17,0,1
A059,1,14,0,1
A059,2,15,0,2
A059,3,16,0,3
A059,4,17,0,2
A059,5,18,0,2
A059,6,19,0,1
A060,1,14,0,1
A060,2,15,0,1
A060,3,17,0,1
A061,1,3,0,1
A061,2,5,0,3
A061,3,7,0,1
A061,4,8,0,2
A061,5,12,0,2
A061,6,13,0,2
A063,1,10,0,1
A064,1,18,0,1
A065,1,23,0,2
A066,1,27,0,2
A069,1,14,0,1
A069,2,27,0,3
A070,1,20,0,2
A070,2,22,0,3
A070,3,23,0,1
A070,4,24,0,3
A070,5,25,0,2
A071,1,20,0,3
A072,1,27,0,2
A073,1,21,0,1
A074,1,19,0,1
A075,1,28,0,1
