activity_id,week,location_id,co_share_group
A001,20,PLAT:BET:S15:EB,g1
A001,20,PLAT:BET:S16:EB,g1
A001,20,PLAT:BET:S17:EB,g2
A001,20,SEC:BET:S15_S16:EB,g1
A001,20,SEC:BET:S16_S17:EB,g1
A001,21,PLAT:BET:S15:EB,g1
A001,21,PLAT:BET:S16:EB,g1
A001,21,PLAT:BET:S17:EB,g1
A001,21,SEC:BET:S15_S16:EB,g2
A001,21,SEC:BET:S16_S17:EB,g1
A002,2,PLAT:BET:S11:WB,g1
A002,2,PLAT:BET:S12:WB,g1
A002,2,PLAT:BET:S13:WB,g1
A002,2,SEC:BET:S11_S12:WB,g1
A002,2,SEC:BET:S12_S13:WB,g1
A002,3,PLAT:BET:S11:WB,g1
A002,3,PLAT:BET:S12:WB,g1
A002,3,PLAT:BET:S13:WB,g1
A002,3,SEC:BET:S11_S12:WB,g1
A002,3,SEC:BET:S12_S13:WB,g1
A002,4,PLAT:BET:S11:WB,g1
A002,4,PLAT:BET:S12:WB,g1
A002,4,PLAT:BET:S13:WB,g1
A002,4,SEC:BET:S11_S12:WB,g1
A002,4,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g1
A003,11,PLAT:BET:S16:EB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g2
A003,12,PLAT:BET:S16:EB,g1
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,13,PLAT:BET:H01:EB,g1
A003,13,PLAT:BET:H02:EB,g1
A003,13,PLAT:BET:S15:EB,g2
A003,13,PLAT:BET:S16:EB,g1
A003,13,SEC:BET:H01_H02:EB,g1
A003,13,SEC:BET:H02_S15:EB,g2
A003,13,SEC:BET:S15_S16:EB,g3
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g1
A003,15,PLAT:BET:S16:EB,g1
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g1
A003,15,SEC:BET:S15_S16:EB,g2
A003,16,PLAT:BET:H01:EB,g1
