activity_id,access_seq,week,eclo,access_night
Z501,1,3,0,3
Z501,2,4,0,3
Z501,3,6,0,1
Z501,4,8,0,2
Z501,5,13,0,2
Z501,6,14,0,2
Z501,7,16,0,3
Z502,1,22,0,1
Z502,2,23,0,3
Z502,3,24,0,1
Z502,4,25,0,1
Z502,5,26,0,1
Z503,1,3,0,1
Z503,2,4,0,1
Z503,3,5,0,3
Z503,4,7,0,3
Z503,5,11,0,3
Z503,6,14,0,3
Z503,7,15,0,2
Z504,1,8,0,3
Z504,2,10,0,3
Z504,3,12,0,2
Z504,4,13,0,2
Z504,5,14,0,2
Z504,6,18,0,1
Z504,7,19,0,1
Z505,1,11,0,1
Z505,2,12,0,1
Z505,3,13,0,2
Z505,4,17,0,1
Z505,5,20,0,3
Z506,1,8,0,2
Z507,1,9,0,3
Z507,2,10,0,3
Z507,3,18,0,2
Z507,4,22,0,1
Z507,5,28,0,2
Z508,1,26,0,1
Z508,2,28,0,1
Z509,1,9,0,1
Z509,2,11,0,2
Z509,3,12,0,3
Z509,4,13,0,1
Z509,5,15,0,3
Z509,6,16,0,1
Z509,7,17,0,2
Z510,1,13,0,2
Z510,2,14,0,3
Z510,3,15,0,2
Z510,4,22,0,3
Z510,5,25,0,3
Z511,1,25,0,2
Z511,2,26,0,2
Z512,1,17,0,2
Z512,2,23,0,2
Z513,1,21,0,2
Z513,2,25,0,3
Z514,1,22,0,1
Z514,2,23,1,3
Z514,3,24,1,3
Z514,4,25,1,1
Z514,5,26,1,1
Z515,1,20,0,3
Z516,1,16,0,1
Z516,2,18,0,1
Z516,3,19,0,3
Z516,4,24,0,2
Z516,5,26,0,3
Z517,1,8,0,3
Z517,2,9,0,3
Z518,1,25,0,2
Z519,1,23,0,3
Z519,2,24,0,3
Z519,3,26,0,1
Z520,1,2,0,1
Z520,2,5,0,3
Z520,3,7,0,1
Z520,4,8,0,2
Z520,5,10,0,2
Z520,6,13,0,2
Z520,7,14,0,1
Z521,1,16,0,1
Z522,1,14,0,2
Z522,2,15,0,1
Z523,1,24,0,1
Z524,1,5,0,1
Z524,2,6,0,1
Z524,3,7,0,1
Z524,4,8,0,3
Z524,5,9,0,1
Z524,6,10,0,1
Z524,7,11,0,1
Z525,1,13,0,2
Z525,2,21,0,1
Z526,1,24,0,1
Z527,1,14,0,2
Z527,2,15,0,2
Z527,3,16,0,2
Z527,4,17,0,2
Z527,5,18,1,1
Z527,6,19,1,1
Z528,1,21,0,1
Z528,2,22,0,3
Z528,3,23,0,1
Z529,1,20,0,2
Z529,2,23,0,1
Z530,1,17,0,3
Z530,2,18,0,2
Z530,3,20,0,1
Z530,4,21,0,3
Z530,5,22,0,1
Z530,6,23,0,3
Z530,7,25,0,1
Z531,1,27,0,1
Z532,1,18,0,1
Z532,2,19,0,2
Z533,1,13,0,2
Z533,2,15,0,2
Z533,3,16,0,3
Z534,1,13,0,2
Z534,2,23,0,1
Z535,1,3,0,1
Z535,2,23,0,3
Z536,1,3,0,1
Z536,2,5,0,1
Z536,3,6,0,1
Z537,1,20,0,3
Z537,2,25,0,1
Z538,1,20,0,1
Z539,1,15,0,1
Z539,2,16,0,1
Z539,3,17,0,1
Z539,4,18,0,3
Z539,5,20,0,1
Z539,6,22,0,2
Z539,7,23,0,3
Z540,1,19,0,1
Z541,1,13,0,3
Z541,2,15,0,1
Z541,3,16,0,3
Z541,4,17,0,3
Z541,5,18,0,1
Z541,6,22,0,3
Z541,7,23,0,2
Z542,1,11,0,1
Z542,2,14,0,1
Z542,3,20,0,3
Z543,1,1,0,1
Z543,2,2,0,1
Z544,1,3,0,1
Z544,2,5,0,1
Z544,3,8,0,1
Z545,1,15,0,1
Z545,2,16,0,1
Z545,3,18,0,3
Z545,4,20,0,1
Z545,5,21,0,2
Z545,6,22,0,1
Z545,7,25,0,2
Z546,1,21,0,2
Z546,2,23,0,1
Z546,3,26,0,3
Z547,1,21,0,2
Z547,2,22,0,2
Z547,3,23,0,1
Z547,4,25,0,1
Z547,5,26,0,1
Z547,6,28,0,3
Z547,7,29,0,1
Z548,1,9,0,1
Z548,2,11,0,1
Z549,1,9,0,1
Z549,2,12,0,2
Z549,3,13,0,1
Z549,4,14,0,1
Z549,5,15,0,3
Z550,1,22,0,2
Z550,2,23,0,1
Z551,1,26,0,3
Z552,1,24,0,1
Z553,1,18,0,2
Z553,2,22,0,1
Z554,1,13,0,1
Z554,2,14,0,2
Z554,3,15,0,3
Z554,4,16,0,2
Z554,5,17,0,2
Z554,6,18,0,1
Z554,7,19,0,1
