activity_id,week,location_id,co_share_group
Z501,3,PLAT:L01:N002:EB,g1
Z501,3,PLAT:L01:N011:EB,g1
Z501,3,SEC:L01:N011_N002:EB,g1
Z501,4,PLAT:L01:N002:EB,g1
Z501,4,PLAT:L01:N011:EB,g1
Z501,4,SEC:L01:N011_N002:EB,g1
Z501,6,PLAT:L01:N002:EB,g1
Z501,6,PLAT:L01:N011:EB,g1
Z501,6,SEC:L01:N011_N002:EB,g1
Z501,8,PLAT:L01:N002:EB,g1
Z501,8,PLAT:L01:N011:EB,g1
Z501,8,SEC:L01:N011_N002:EB,g1
Z501,13,PLAT:L01:N002:EB,g1
Z501,13,PLAT:L01:N011:EB,g1
Z501,13,SEC:L01:N011_N002:EB,g1
Z501,14,PLAT:L01:N002:EB,g1
Z501,14,PLAT:L01:N011:EB,g1
Z501,14,SEC:L01:N011_N002:EB,g1
Z501,16,PLAT:L01:N002:EB,g1
Z501,16,PLAT:L01:N011:EB,g1
Z501,16,SEC:L01:N011_N002:EB,g1
Z502,22,PLAT:L01:N002:WB,g1
Z502,22,PLAT:L01:N011:WB,g1
Z502,22,SEC:L01:N011_N002:WB,g1
Z502,23,PLAT:L01:N002:WB,g1
Z502,23,PLAT:L01:N011:WB,g1
Z502,23,SEC:L01:N011_N002:WB,g1
Z502,24,PLAT:L01:N002:WB,g1
Z502,24,PLAT:L01:N011:WB,g1
Z502,24,SEC:L01:N011_N002:WB,g1
Z502,25,PLAT:L01:N002:WB,g1
Z502,25,PLAT:L01:N011:WB,g1
Z502,25,SEC:L01:N011_N002:WB,g1
Z502,26,PLAT:L01:N002:WB,g1
Z502,26,PLAT:L01:N011:WB,g1
Z502,26,SEC:L01:N011_N002:WB,g1
Z503,3,PLAT:L02:N005:WB,g1
Z503,3,PLAT:L02:N007:WB,g1
Z503,3,PLAT:L02:N010:WB,g1
Z503,3,SEC:L02:N005_N007:WB,g1
Z503,3,SEC:L02:N007_N010:WB,g1
Z503,4,PLAT:L02:N005:WB,g1
Z503,4,PLAT:L02:N007:WB,g1
Z503,4,PLAT:L02:N010:WB,g1
Z503,4,SEC:L02:N005_N007:WB,g1
Z503,4,SEC:L02:N007_N010:WB,g1
Z503,5,PLAT:L02:N005:WB,g1
Z503,5,PLAT:L02:N007:WB,g1
Z503,5,PLAT:L02:N010:WB,g1
Z503,5,SEC:L02:N005_N007:WB,g1
Z503,5,SEC:L02:N007_N010:WB,g1
Z503,7,PLAT:L02:N005:WB,g1
Z503,7,PLAT:L02:N007:WB,g1
Z503,7,PLAT:L02:N010:WB,g1
Z503,7,SEC:L02:N005_N007:WB,g1
Z503,7,SEC:L02:N007_N010:WB,g1
Z503,11,PLAT:L02:N005:WB,g1
Z503,11,PLAT:L02:N007:WB,g1
Z503,11,PLAT:L02:N010:WB,g1
Z503,11,SEC:L02:N005_N007:WB,g1
Z503,11,SEC:L02:N007_N010:WB,g1
Z503,14,PLAT:L02:N005:WB,g1
Z503,14,PLAT:L02:N007:WB,g1
Z503,14,PLAT:L02:N010:WB,g1
Z503,14,SEC:L02:N005_N007:WB,g1
Z503,14,SEC:L02:N007_N010:WB,g1
Z503,15,PLAT:L02:N005:WB,g1
Z503,15,PLAT:L02:N007:WB,g1
Z503,15,PLAT:L02:N010:WB,g1
Z503,15,SEC:L02:N005_N007:WB,g1
Z503,15,SEC:L02:N007_N010:WB,g1
Z504,8,PLAT:L01:N001:EB,g1
Z504,8,PLAT:L01:N008:EB,g1
Z504,8,PLAT:L01:N017:EB,g1
Z504,8,SEC:L01:N008_N017:EB,g1
Z504,8,SEC:L01:N017_N001:EB,g1
Z504,10,PLAT:L01:N001:EB,g1
Z504,10,PLAT:L01:N008:EB,g1
Z504,10,PLAT:L01:N017:EB,g1
Z504,10,SEC:L01:N008_N017:EB,g1
Z504,10,SEC:L01:N017_N001:EB,g1
Z504,12,PLAT:L01:N001:EB,g1
Z504,12,PLAT:L01:N008:EB,g1
Z504,12,PLAT:L01:N017:EB,g1
Z504,12,SEC:L01:N008_N017:EB,g1
Z504,12,SEC:L01:N017_N001:EB,g1
Z504,13,PLAT:L01:N001:EB,g1
Z504,13,PLAT:L01:N008:EB,g1
Z504,13,PLAT:L01:N017:EB,g1
Z504,13,SEC:L01:N008_N017:EB,g1
Z504,13,SEC:L01:N017_N001:EB,g1
Z504,14,PLAT:L01:N001:EB,g1
Z504,14,PLAT:L01:N008:EB,g1
Z504,14,PLAT:L01:N017:EB,g1
Z504,14,SEC:L01:N008_N017:EB,g1
Z504,14,SEC:L01:N017_N001:EB,g1
Z504,18,PLAT:L01:N001:EB,g1
Z504,18,PLAT:L01:N008:EB,g1
Z504,18,PLAT:L01:N017:EB,g1
Z504,18,SEC:L01:N008_N017:EB,g1
Z504,18,SEC:L01:N017_N001:EB,g1
Z504,19,PLAT:L01:N001:EB,g1
Z504,19,PLAT:L01:N008:EB,g1
Z504,19,PLAT:L01:N017:EB,g1
