activity_id,access_seq,week,eclo,access_night
A001,1,21,0,1
A001,2,23,0,3
A002,1,12,0,3
A002,2,19,0,3
A003,1,12,0,1
A003,2,15,0,2
A003,3,16,0,1
A003,4,17,0,2
A003,5,18,0,3
A004,1,20,0,2
A004,2,21,0,3
A004,3,23,0,2
A006,1,4,0,1
A006,2,6,0,1
A006,3,8,0,1
A006,4,9,0,1
A006,5,16,0,2
A006,6,18,0,3
A006,7,23,0,1
A007,1,17,0,2
A007,2,19,1,3
A007,3,20,0,2
A007,4,21,1,3
A007,5,22,0,3
A007,6,23,0,2
A008,1,18,0,1
A008,2,19,0,2
A008,3,25,1,1
A008,4,26,1,1
A009,1,7,0,2
A009,2,9,0,2
A009,3,11,0,2
A009,4,15,0,2
A009,5,17,0,2
A009,6,19,0,1
A009,7,20,0,3
A011,1,21,0,2
A011,2,22,0,2
A011,3,24,0,2
A011,4,25,0,3
A011,5,26,0,3
A012,1,9,0,1
A012,2,11,0,3
A012,3,12,0,2
A012,4,14,0,1
A012,5,15,0,1
A012,6,16,0,1
A012,7,17,0,1
A012,8,18,0,2
A012,9,19,0,3
A012,10,20,0,1
A013,1,21,0,1
A013,2,22,0,1
A013,3,24,0,1
A013,4,25,0,2
A013,5,26,0,2
A014,1,13,0,2
A014,2,14,0,2
A014,3,15,0,2
A014,4,19,0,3
A014,5,20,0,1
A014,6,22,0,1
A014,7,23,0,3
A017,1,18,0,1
A017,2,20,0,2
A017,3,22,0,2
A017,4,23,0,2
A017,5,24,0,2
A017,6,25,0,1
A017,7,26,0,3
A019,1,11,0,1
A019,2,23,0,1
A019,3,24,0,1
A019,4,26,0,1
A020,1,13,0,1
A020,2,15,0,1
A021,1,11,0,3
A021,2,12,0,2
A021,3,16,0,2
A021,4,19,0,1
A021,5,21,0,2
A021,6,27,0,3
A021,7,28,0,1
A023,1,21,0,1
A023,2,24,0,1
A023,3,25,0,1
A023,4,26,0,3
A023,5,27,0,1
A023,6,28,0,3
A023,7,29,0,2
A025,1,14,0,3
A025,2,16,0,1
A025,3,17,0,2
A025,4,20,0,2
A025,5,23,0,1
A025,6,25,0,3
A025,7,26,0,2
A025,8,29,0,1
A028,1,9,0,1
A028,2,10,0,1
A031,1,5,0,1
A031,2,9,0,1
A035,1,4,0,1
A035,2,9,0,1
A035,3,10,0,3
A035,4,11,0,2
A035,5,13,0,3
A035,6,16,0,2
A035,7,17,0,2
A035,8,19,0,2
A036,1,22,0,2
A036,2,23,1,2
A036,3,24,1,3
A036,4,25,1,3
A036,5,26,1,3
A037,1,9,0,2
A037,2,11,0,3
A037,3,12,0,3
A037,4,14,0,3
A037,5,20,0,2
A037,6,22,0,1
A038,1,23,0,1
A038,2,24,0,2
A038,3,25,0,1
A039,1,10,0,1
A039,2,11,0,1
A039,3,15,0,1
A039,4,16,0,1
A039,5,19,0,1
A039,6,20,0,1
A039,7,21,0,3
A039,8,26,0,2
A040,1,14,0,1
A040,2,18,0,1
A040,3,20,1,1
A040,4,24,1,1
A040,5,25,0,3
A040,6,26,0,3
A041,1,12,0,1
A041,2,14,0,3
A041,3,24,0,2
A042,1,23,0,3
A042,2,24,0,3
A042,3,25,0,1
A043,1,14,0,2
A043,2,19,0,2
A043,3,20,0,3
A043,4,26,0,1
A046,1,11,0,3
A046,2,15,0,2
A046,3,19,0,1
A046,4,23,0,1
A046,5,26,0,2
A046,6,27,0,2
A047,1,13,0,3
A047,2,14,0,1
A047,3,17,0,2
A047,4,18,0,1
A047,5,20,0,3
A047,6,21,0,3
A047,7,23,0,3
A047,8,24,0,1
A047,9,25,0,1
A048,1,4,0,1
A048,2,7,0,1
A048,3,9,0,3
A049,1,16,0,1
A049,2,23,0,2
A049,3,24,0,2
A049,4,26,0,3
A049,5,27,0,3
A049,6,28,0,2
A050,1,18,0,2
A050,2,21,0,2
A050,3,22,0,1
A050,4,23,0,1
A050,5,24,0,3
A050,6,26,0,1
A051,1,27,0,1
A051,2,28,0,1
A054,1,20,0,2
A054,2,21,0,3
A054,3,24,0,2
A054,4,25,0,3
A055,1,25,0,2
A056,1,18,0,3
A056,2,19,0,2
A056,3,21,0,1
A056,4,22,0,1
A056,5,23,0,2
A056,6,24,0,1
A056,7,25,0,1
A057,1,15,0,1
A057,2,17,0,2
A057,3,18,1,2
A057,4,19,1,3
A057,5,23,0,3
A057,6,24,0,3
A058,1,4,0,1
A058,2,6,0,1
A058,3,8,0,1
A058,4,10,0,1
A058,5,11,0,1
A058,6,13,0,1
A058,7,17,0,1
A058,8,19,0,1
