activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,g2
A001,21,PLAT:BET:S16:EB,g2
A001,21,PLAT:BET:S17:EB,g1
A001,21,SEC:BET:S15_S16:EB,g2
A001,21,SEC:BET:S16_S17:EB,g1
A001,22,PLAT:BET:S15:EB,g1
A001,22,PLAT:BET:S16:EB,g2
A001,22,PLAT:BET:S17:EB,g1
A001,22,SEC:BET:S15_S16:EB,g3
A001,22,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g1
A001,23,PLAT:BET:S16:EB,g1
A001,23,PLAT:BET:S17:EB,g2
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g2
A002,16,PLAT:BET:S11:WB,g1
A002,16,PLAT:BET:S12:WB,g1
A002,16,PLAT:BET:S13:WB,g1
A002,16,SEC:BET:S11_S12:WB,g1
A002,16,SEC:BET:S12_S13:WB,g1
A002,18,PLAT:BET:S11:WB,g1
A002,18,PLAT:BET:S12:WB,g2
A002,18,PLAT:BET:S13:WB,g1
A002,18,SEC:BET:S11_S12:WB,g1
A002,18,SEC:BET:S12_S13:WB,g1
A002,23,PLAT:BET:S11:WB,g2
A002,23,PLAT:BET:S12:WB,g1
A002,23,PLAT:BET:S13:WB,g2
A002,23,SEC:BET:S11_S12:WB,g1
A002,23,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g2
A003,11,PLAT:BET:S16:EB,g2
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g1
A003,12,PLAT:BET:S16:EB,g2
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,18,PLAT:BET:H01:EB,g1
A003,18,PLAT:BET:H02:EB,g1
A003,18,PLAT:BET:S15:EB,g1
A003,18,PLAT:BET:S16:EB,g2
A003,18,SEC:BET:H01_H02:EB,g1
A003,18,SEC:BET:H02_S15:EB,g1
A003,18,SEC:BET:S15_S16:EB,g1
A003,19,PLAT:BET:H01:EB,g1
A003,19,PLAT:BET:H02:EB,g1
A003,19,PLAT:BET:S15:EB,g1
A003,19,PLAT:BET:S16:EB,g1
A003,19,SEC:BET:H01_H02:EB,g1
A003,19,SEC:BET:H02_S15:EB,g1
A003,19,SEC:BET:S15_S16:EB,g1
A003,20,PLAT:BET:H01:EB,g1
A003,20,PLAT:BET:H02:EB,g1
A003,20,PLAT:BET:S15:EB,g2
A003,20,PLAT:BET:S16:EB,g3
A003,20,SEC:BET:H01_H02:EB,g1
A003,20,SEC:BET:H02_S15:EB,g2
A003,20,SEC:BET:S15_S16:EB,g1
A004,21,PLAT:ALP:H01:EB,g1
A004,21,PLAT:ALP:S03:EB,g1
A004,21,PLAT:ALP:S04:EB,g1
A004,21,SEC:ALP:S03_S04:EB,g1
A004,21,SEC:ALP:S04_H01:EB,g1
A004,22,PLAT:ALP:H01:EB,g1
A004,22,PLAT:ALP:S03:EB,g1
A004,22,PLAT:ALP:S04:EB,g1
A004,22,SEC:ALP:S03_S04:EB,g1
A004,22,SEC:ALP:S04_H01:EB,g1
A004,23,PLAT:ALP:H01:EB,g1
A004,23,PLAT:ALP:S03:EB,g1
A004,23,PLAT:ALP:S04:EB,g1
A004,23,SEC:ALP:S03_S04:EB,g1
A004,23,SEC:ALP:S04_H01:EB,g1
A006,2,PLAT:ALP:H01:WB,g1
A006,2,PLAT:ALP:H02:WB,g1
A006,2,PLAT:ALP:S03:WB,g1
A006,2,PLAT:ALP:S04:WB,g1
A006,2,SEC:ALP:H01_H02:WB,g1
A006,2,SEC:ALP:S03_S04:WB,g1
A006,2,SEC:ALP:S04_H01:WB,g1
A006,7,PLAT:ALP:H01:WB,g1
A006,7,PLAT:ALP:H02:WB,g1
A006,7,PLAT:ALP:S03:WB,g1
A006,7,PLAT:ALP:S04:WB,g1
A006,7,SEC:ALP:H01_H02:WB,g1
A006,7,SEC:ALP:S03_S04:WB,g1
A006,7,SEC:ALP:S04_H01:WB,g1
A006,20,PLAT:ALP:H01:WB,g1
A006,20,PLAT:ALP:H02:WB,g1
A006,20,PLAT:ALP:S03:WB,g1
