activity_id,access_seq,week,eclo,access_night
A001,1,22,0,2
A001,2,23,0,1
A002,1,3,0,1
A002,2,4,0,1
A002,3,5,0,1
A002,4,6,0,1
A002,5,7,0,1
A003,1,11,0,2
A003,2,12,0,1
A003,3,14,0,1
A003,4,16,0,3
A003,5,20,0,3
A004,1,21,0,2
A004,2,22,0,1
A004,3,23,0,3
A006,1,3,0,1
A006,2,4,0,1
A006,3,5,0,1
A006,4,6,0,1
A006,5,7,0,1
A006,6,8,0,1
A006,7,13,0,1
A006,8,16,0,1
A006,9,17,0,1
A006,10,23,0,2
A007,1,15,1,1
A007,2,16,0,1
A007,3,17,0,2
A007,4,18,0,1
A007,5,21,1,3
A007,6,22,0,2
A008,1,19,0,1
A008,2,22,0,1
A008,3,23,0,2
A008,4,24,0,2
A008,5,25,0,3
A009,1,5,0,3
A009,2,8,0,1
A009,3,9,0,3
A009,4,10,0,1
A009,5,11,0,1
A009,6,12,0,1
A009,7,17,0,1
A011,1,20,0,2
A011,2,21,0,2
A011,3,22,0,2
A012,1,11,0,3
A012,2,12,0,3
A012,3,13,0,2
A012,4,14,0,3
A012,5,16,0,3
A012,6,17,0,3
A012,7,20,0,1
A013,1,21,1,1
A013,2,22,1,3
A013,3,25,0,2
A013,4,26,0,2
A014,1,13,0,2
A014,2,14,0,1
A014,3,22,0,2
A014,4,23,0,3
A014,5,24,0,1
A014,6,25,0,3
A014,7,26,0,1
A017,1,20,0,2
A017,2,21,0,3
A017,3,22,0,3
A017,4,23,0,1
A017,5,24,0,3
A017,6,25,0,1
A017,7,26,0,3
A019,1,19,0,3
A019,2,21,0,1
A020,1,17,0,1
A020,2,21,0,2
A021,1,4,0,1
A021,2,12,0,2
A021,3,20,0,2
A021,4,28,0,1
A023,1,21,0,2
A023,2,22,0,1
A023,3,23,0,3
A023,4,24,0,2
A023,5,25,0,3
A023,6,26,0,1
A023,7,28,0,3
A025,1,8,0,2
A025,2,12,0,1
A025,3,14,0,1
A025,4,16,0,3
A025,5,17,0,1
A025,6,21,0,1
A025,7,29,0,2
A028,1,9,0,1
A028,2,11,0,1
A031,1,8,0,1
A031,2,11,0,1
A035,1,3,0,1
A035,2,5,0,1
A035,3,6,0,1
A035,4,8,0,2
A035,5,9,0,3
A035,6,10,0,3
A035,7,11,0,3
A035,8,18,0,1
A035,9,22,0,2
A035,10,24,0,2
A036,1,22,0,1
A036,2,23,1,3
A036,3,24,1,3
A036,4,25,1,3
A036,5,26,1,2
A037,1,11,0,2
A037,2,12,0,1
A037,3,20,0,3
A038,1,21,0,2
A038,2,22,0,3
A038,3,25,0,2
A039,1,8,0,1
A039,2,10,0,1
A039,3,11,0,1
A039,4,14,0,3
A039,5,17,0,1
A039,6,21,0,3
A039,7,24,0,1
A040,1,13,0,2
A040,2,14,0,3
A040,3,15,0,1
A040,4,17,0,3
A040,5,18,0,2
A040,6,20,0,1
A040,7,25,0,2
A040,8,26,0,1
A041,1,13,0,1
A041,2,16,0,2
A041,3,17,0,2
A041,4,18,0,3
A041,5,24,0,1
A042,1,23,0,1
A042,2,24,0,2
A042,3,26,0,3
A043,1,20,0,2
A043,2,21,0,1
A046,1,13,0,3
A046,2,18,0,1
A046,3,22,0,3
A046,4,25,0,3
A046,5,26,0,2
A047,1,15,0,2
A047,2,16,0,2
A048,1,6,0,1
A048,2,7,0,1
A048,3,10,0,3
A049,1,11,0,3
A049,2,13,0,3
A049,3,14,0,3
A049,4,15,0,3
A049,5,16,0,3
A050,1,18,0,2
A050,2,26,0,3
A051,1,27,0,1
A051,2,28,0,3
A054,1,20,0,2
A054,2,21,0,3
A055,1,23,0,3
A056,1,18,0,2
A056,2,19,0,1
A057,1,16,0,1
A057,2,17,0,1
A057,3,18,0,1
A057,4,21,0,1
A057,5,22,0,3
A057,6,24,0,1
A057,7,25,0,3
A058,1,5,0,3
A058,2,6,0,1
A058,3,10,0,3
A058,4,11,0,1
A058,5,12,0,3
A058,6,15,0,3
A058,7,16,0,3
A059,1,14,1,1
A059,2,15,1,2
A059,3,17,0,2
A059,4,18,1,1
A059,5,19,1,1
A060,1,14,0,1
A060,2,16,0,3
A060,3,17,0,1
A061,1,4,0,1
A061,2,7,0,1
A061,3,9,0,1
A061,4,12,0,2
A061,5,13,0,3
A061,6,15,0,1
A061,7,17,0,3
A063,1,5,0,2
A064,1,18,0,2
A065,1,22,0,3
A066,1,25,0,3
A069,1,12,0,1
A069,2,15,0,3
A069,3,17,0,1
A069,4,27,0,1
A070,1,16,0,3
A070,2,20,0,1
A070,3,23,0,3
A070,4,24,0,1
A070,5,26,0,3
A071,1,25,0,2
A071,2,26,0,2
A072,1,27,0,1
A073,1,24,0,1
A074,1,19,0,1
A075,1,26,0,1
