activity_id,week,location_id,co_share_group
A001,21,PLAT:BET:S15:EB,g2
A001,21,PLAT:BET:S16:EB,g2
A001,21,PLAT:BET:S17:EB,g1
A001,21,SEC:BET:S15_S16:EB,g1
A001,21,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g2
A001,23,PLAT:BET:S16:EB,g2
A001,23,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g1
A002,2,PLAT:BET:S11:WB,g1
A002,2,PLAT:BET:S12:WB,g1
A002,2,PLAT:BET:S13:WB,g1
A002,2,SEC:BET:S11_S12:WB,g1
A002,2,SEC:BET:S12_S13:WB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g1
A003,11,PLAT:BET:S16:EB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g2
A003,14,PLAT:BET:S16:EB,g1
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g1
A003,14,SEC:BET:S15_S16:EB,g2
A003,16,PLAT:BET:H01:EB,g1
A003,16,PLAT:BET:H02:EB,g1
A003,16,PLAT:BET:S15:EB,g1
A003,16,PLAT:BET:S16:EB,g1
A003,16,SEC:BET:H01_H02:EB,g1
A003,16,SEC:BET:H02_S15:EB,g1
A003,16,SEC:BET:S15_S16:EB,g1
A003,17,PLAT:BET:H01:EB,g1
A003,17,PLAT:BET:H02:EB,g1
A003,17,PLAT:BET:S15:EB,g1
A003,17,PLAT:BET:S16:EB,g1
A003,17,SEC:BET:H01_H02:EB,g1
A003,17,SEC:BET:H02_S15:EB,g1
A003,17,SEC:BET:S15_S16:EB,g1
A003,18,PLAT:BET:H01:EB,g1
A003,18,PLAT:BET:H02:EB,g1
A003,18,PLAT:BET:S15:EB,g2
A003,18,PLAT:BET:S16:EB,g1
A003,18,SEC:BET:H01_H02:EB,g1
A003,18,SEC:BET:H02_S15:EB,g1
A003,18,SEC:BET:S15_S16:EB,g1
A004,20,PLAT:ALP:H01:EB,g1
A004,20,PLAT:ALP:S03:EB,g1
A004,20,PLAT:ALP:S04:EB,g1
A004,20,SEC:ALP:S03_S04:EB,g1
A004,20,SEC:ALP:S04_H01:EB,g1
A004,21,PLAT:ALP:H01:EB,g1
A004,21,PLAT:ALP:S03:EB,g1
A004,21,PLAT:ALP:S04:EB,g1
A004,21,SEC:ALP:S03_S04:EB,g1
A004,21,SEC:ALP:S04_H01:EB,g1
A004,22,PLAT:ALP:H01:EB,g1
A004,22,PLAT:ALP:S03:EB,g1
A004,22,PLAT:ALP:S04:EB,g1
A004,22,SEC:ALP:S03_S04:EB,g1
A004,22,SEC:ALP:S04_H01:EB,g1
A006,8,PLAT:ALP:H01:WB,g1
A006,8,PLAT:ALP:H02:WB,g1
A006,8,PLAT:ALP:S03:WB,g1
A006,8,PLAT:ALP:S04:WB,g1
A006,8,SEC:ALP:H01_H02:WB,g1
A006,8,SEC:ALP:S03_S04:WB,g1
A006,8,SEC:ALP:S04_H01:WB,g1
A007,16,PLAT:BET:H01:EB,g1
A007,16,PLAT:BET:H02:EB,g1
A007,16,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,19,PLAT:BET:H01:EB,g1
A007,19,PLAT:BET:H02:EB,g1
A007,19,SEC:BET:H01_H02:EB,g1
A007,21,PLAT:BET:H01:EB,g1
A007,21,PLAT:BET:H02:EB,g1
A007,21,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A008,15,PLAT:BET:S17:EB,g1
A008,15,PLAT:BET:S18:EB,g1
A008,15,SEC:BET:S17_S18:EB,g1
A008,16,PLAT:BET:S17:EB,g1
A008,16,PLAT:BET:S18:EB,g1
A008,16,SEC:BET:S17_S18:EB,g1
A008,20,PLAT:BET:S17:EB,g1
